"","J1_14SC1_1","J1_14SC1_2","J1_14SC1_3","J1_14SC1_4","J1_14SC2_1","J1_14SC2_2","J1_14SC2_3","J1_14SC2_4","J1_14SC3_1","J1_14SC3_2","J1_14SC3_3","J1_14SC3_4","J1_14SS1_1","J1_14SS1_2","J1_14SS1_3","J1_14SS1_4","J1_14SS2_1","J1_14SS2_2","J1_14SS2_3","J1_14SS2_4","J1_14SS3_1","J1_14SS3_2","J1_14SS3_3","J1_14SS3_4"
"MSTRG.22578|LOC111123850",0,0,0,0,0,0,5,0,16,2,20,2,0,28,0,6,0,15,6,0,8,9,0,0
"MSTRG.9735|LOC111119799",20,32,16,37,18,46,20,12,4,20,11,12,0,31,16,21,0,31,36,22,30,9,31,4
"MSTRG.58116",0,0,8,0,0,2,5,0,0,0,5,0,5,0,7,0,0,9,0,0,0,0,1,3
"MSTRG.58114",0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
"MSTRG.73495",0,0,0,2,0,0,10,0,0,0,0,0,2,0,10,23,0,0,0,2,14,0,0,0
"MSTRG.58119",4,5,1,1,6,4,7,2,7,0,0,3,1,0,2,4,1,1,2,5,2,0,0,1
"MSTRG.53045",0,0,0,13,3,7,2,3,0,5,0,0,0,0,23,4,0,0,11,4,4,0,0,2
"MSTRG.25086|LOC111125093",4,4,0,3,1,1,3,0,2,0,6,0,0,6,0,4,2,5,0,4,0,0,0,0
"MSTRG.73496",5,71,21,22,44,57,19,42,250,24,10,51,103,0,52,110,109,51,162,189,10,171,34,42
"MSTRG.24540|LOC111126079",0,10,4,3,0,13,4,53,18,0,14,10,62,7,6,14,4,13,7,20,6,3,5,0
"MSTRG.2686|LOC111116974",381,3,1,0,0,355,469,174,226,0,439,168,476,398,0,500,311,0,167,573,5,235,102,387
"MSTRG.47090|LOC111135972",0,0,0,1,4,7,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"MSTRG.66611",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"MSTRG.43179",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0
"MSTRG.43178",1032,120,721,818,27,60,271,111,207,194,674,712,221,41,99,214,105,140,147,944,972,69,436,232
"MSTRG.19848",29,129,45,45,97,61,37,12,211,67,15,35,52,45,27,74,13,104,49,67,115,40,26,72
"MSTRG.43175",0,1,0,2,1,2,2,0,1,11,1,0,1,2,1,0,0,0,0,3,1,0,2,0
"MSTRG.19847",140,66,124,26,63,202,71,20,28,197,20,45,188,73,143,50,50,31,65,231,47,67,36,252
"MSTRG.61446|LOC111110274",2,0,0,0,0,45,0,0,0,8,12,0,0,0,0,0,0,0,104,0,0,0,50,21
"MSTRG.19843",372,296,91,351,118,177,702,125,222,592,270,115,166,260,158,333,171,306,91,155,316,175,56,174
"MSTRG.43172",11,121,80,78,23,16,139,19,22,120,4,19,5,40,28,0,0,5,17,52,39,53,235,11
"MSTRG.63021|LOC111106249",0,0,0,968,0,0,368,0,0,11,0,0,0,0,17,16,0,22,7,24,0,0,0,0
"MSTRG.10522",11,198,119,141,35,203,50,112,164,12,118,56,113,184,11,211,168,1,2,255,235,187,152,6
"MSTRG.37303",284,476,193,253,304,528,570,172,292,370,310,220,633,463,481,518,213,270,312,572,299,254,137,201
"MSTRG.37302",133,277,112,293,147,164,192,102,180,103,87,74,137,144,142,418,183,178,115,135,303,175,119,125
"MSTRG.2563|LOC111136067",0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,1,0,0,0
"MSTRG.37307",288,546,476,492,388,563,404,91,552,335,395,241,414,325,317,541,329,417,268,491,295,260,104,210
"MSTRG.37308",184,353,491,817,346,748,339,59,215,335,215,830,339,168,635,257,504,614,300,377,553,261,140,257
"MSTRG.10528",84,205,20,390,42,14,5,6,40,62,6,10,21,53,9,150,26,65,242,67,54,357,29,96
"MSTRG.23480|LOC111125720",3,29,41,8,3,6,28,5,4,8,0,4,19,0,2,8,5,0,3,31,0,0,5,4
"MSTRG.10593|LOC111120529",0,10,1,2,2,2,2,0,1,6,0,0,2,7,4,0,0,0,2,2,0,0,0,0
"MSTRG.21410|LOC111123598",0,4,0,18,7,0,0,0,0,2,0,0,3,10,0,0,0,0,0,2,4,0,4,0
"MSTRG.5151|LOC111133529",28,43,27,31,49,31,38,13,31,42,25,29,37,38,47,27,17,38,37,79,15,35,27,28
"MSTRG.54609",4125,8165,357,451,297,752,198,2393,5589,0,3778,268,2398,2210,3372,4330,4,14735,5882,3990,44,6160,188,15970
"MSTRG.143|LOC111104259",4,11,21,10,77,12,11,3,4,4,7,0,13,0,6,0,17,0,234,13,42,0,0,4
"MSTRG.80655",1,23,0,3,4,3,1,0,5,0,0,2,2,0,0,1,0,4,57,3,2,4,2,0
"MSTRG.5661",1595,2725,1680,1673,2292,2494,2507,930,2576,2670,1874,1751,2088,1576,1899,1162,1117,1205,2178,2173,1815,3333,674,1410
"MSTRG.47894|LOC111100821",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0
"MSTRG.75285",163,468,553,160,336,187,382,384,252,393,351,112,274,166,187,403,131,144,165,714,253,337,44,234
"MSTRG.5664",51,29,126,93,20,47,129,23,183,69,56,4,12,6,47,46,29,17,28,35,98,17,205,7
