"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MSTRG.22578|LOC111123850",5.09847609173782,3.42350729750641e-07,0.00144269440090881,0.734391713421428,0.966160665530692
"MSTRG.9735|LOC111119799",19.5129114787257,3.80849145148189e-07,0.00144269046401365,0.925351105447765,0.992312314737774
"MSTRG.39169|LOC111134853",0.612571631267308,-8.41898676269473e-08,0.00144269432820843,0.87711042192117,NA
"MSTRG.58116",1.74439687541442,2.58779493783417e-07,0.00144269462195878,0.645929829980769,NA
"MSTRG.58115",0.817659167940554,4.12522360516593e-07,0.00144269420221113,0.560080613460497,NA
"MSTRG.58114",0,-2.25504766166135e-07,0.0014426949411889,1,NA
"MSTRG.73495",2.14242396832471,3.73387116004064e-07,0.00144269484343767,0.396976775843883,NA
"MSTRG.58119",2.23042563937405,-2.26837659564073e-06,0.00144269310930673,0.123059673778469,NA
"MSTRG.53045",3.09762361029688,5.58825149093287e-08,0.00144269409265736,0.956640991116889,NA
"MSTRG.25086|LOC111125093",1.74289879529846,7.05279858542329e-08,0.00144269396267784,0.935987073419476,NA
"MSTRG.73496",65.6641869668391,1.2811184067957e-06,0.00144269167701215,0.432228218346648,0.889713297747092
"MSTRG.24540|LOC111126079",13.6868581400795,-1.0744377917597e-06,0.00144269326230896,0.36985959070954,0.862866125452013
"MSTRG.72200|LOC111115470",0,NA,NA,NA,NA
"MSTRG.2686|LOC111116974",227.464515346406,2.41338545439491e-07,0.00144269393548856,0.789521127411084,0.973878666922394
"MSTRG.47090|LOC111135972",1.14488603918897,2.5714877199126e-08,0.00144269484586182,0.903807489652908,NA
"MSTRG.43178",355.941597259744,-1.03063567344591e-06,0.00144269097043667,0.55723723086291,0.929120661930546
"MSTRG.19848",56.1677972263317,-2.08690375602054e-07,0.00144268563342792,0.935876801132829,0.993807989364688
"MSTRG.43175",1.11672513449836,-1.05668778308131e-06,0.00144269383269684,0.297127252930385,NA
"MSTRG.19847",87.9793925641315,3.1457235645509e-06,0.00144269015712394,0.152626990456126,0.690525003228628
"MSTRG.61446|LOC111110274",5.11158830676032,2.57310546704775e-07,0.00144269485070944,0.390461198631488,0.871132466350971
"MSTRG.19843",225.958988050328,-4.2184156094315e-06,0.00144268419780689,0.184792000193974,0.729473307865101
"MSTRG.19840",0.78118938755397,-1.18880204078847e-07,0.00144269486315513,0.740289948676414,NA
"MSTRG.43172",47.7176235778929,3.57813650755243e-07,0.0014426928335556,0.777776807652695,0.972702395428686
"MSTRG.63021|LOC111106249",14.4885019777893,-7.77698386527384e-07,0.00144269505758618,0.236771566808989,0.774825853509144
"MSTRG.10522",115.300094689417,3.13099255036072e-06,0.00144269377287723,0.676029499775171,0.955297631171414
"MSTRG.37300",0.200602991448411,-1.85289322046643e-07,0.0014426949814985,0.928766594623562,NA
"MSTRG.37303",328.652270315645,3.05871974436171e-06,0.00144266588433286,0.490491156074277,0.910826275326975
"MSTRG.37302",161.50409406619,4.98146626647468e-06,0.00144267661280754,0.218982999330033,0.759346155126191
"MSTRG.2563|LOC111136067",0.502295707695926,2.39242554164575e-07,0.0014426950247966,0.558935481873721,NA
"MSTRG.37307",337.674299560293,-4.34882074519686e-06,0.00144265283941798,0.447712886218529,0.895982410506154
"MSTRG.37308",379.924054976789,-1.87359115442087e-06,0.00144268423974315,0.479902616722102,0.908016975681176
"MSTRG.10528",79.8172007247698,1.64968825715529e-06,0.00144269280519865,0.242359549087872,0.778884126018664
"MSTRG.23480|LOC111125720",7.77061038648781,-4.80841454854838e-07,0.0014426927706868,0.76218848776213,0.97045388112156
"MSTRG.10593|LOC111120529",1.57298900763848,1.05978163111211e-07,0.00144269400356729,0.906278049383577,NA
"MSTRG.21410|LOC111123598",2.22671589982014,-3.18371251337601e-07,0.00144269457932304,0.925855725517257,NA
"MSTRG.5151|LOC111133529",32.4051486478992,4.06116588028721e-06,0.00144267081656449,0.398890990317471,0.874866481247357
"MSTRG.54609",3589.43492835948,1.62191191860921e-06,0.00144269429314368,0.0961874884222616,0.597340267301188
