"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MSTRG.22578|LOC111123850",5.09874786812509,2.4606712704185e-07,0.00144269439346277,0.734817292799138,NA
"MSTRG.9735|LOC111119799",19.5130452720756,1.91111310947306e-07,0.00144269048587074,0.925580773688752,0.99084552819102
"MSTRG.58116",1.74435068942704,2.54633901320706e-07,0.0014426946288123,0.64845339743089,NA
"MSTRG.58114",0,-3.398688862985e-08,0.00144269492790601,1,NA
"MSTRG.73495",2.14224578278122,3.87504507137675e-07,0.00144269484718133,0.398822207762731,NA
"MSTRG.58119",2.23039043829252,-2.16200170201169e-06,0.0014426931274799,0.12847620750469,NA
"MSTRG.53045",3.09754280238768,5.35079741125082e-08,0.00144269410701896,0.9571282619417,NA
"MSTRG.25086|LOC111125093",1.74291960783111,6.93771066192928e-08,0.00144269399160755,0.936237947498272,NA
"MSTRG.73496",65.6644551050873,1.28106917510048e-06,0.00144269167595334,0.432292496301652,0.874600719731122
"MSTRG.24540|LOC111126079",13.6872204986561,-1.07137095298074e-06,0.00144269326735694,0.370492371223632,0.845831700975392
"MSTRG.2686|LOC111116974",227.465769750772,2.44926493293339e-07,0.0014426939243382,0.788469066047922,0.969226240991503
"MSTRG.47090|LOC111135972",1.14482265754737,2.58290354719517e-08,0.00144269484768556,0.904319535121665,NA
"MSTRG.66611",0.11992752851687,2.55740947050813e-07,0.00144269503633466,0.992466565242801,NA
"MSTRG.43179",0.727494840194048,2.69554310297936e-07,0.0014426950379325,0.351546658272371,NA
"MSTRG.43178",355.942988139508,-1.03469625632569e-06,0.00144269095811173,0.556557467432944,0.9174316287437
"MSTRG.19848",56.1683585950938,6.16237295627738e-07,0.00144268575726211,0.936107310682982,0.992422559197082
"MSTRG.43175",1.11671379394961,-9.99937074955053e-07,0.0014426938686271,0.308528042522835,NA
"MSTRG.19847",87.9787047479823,3.13592788701518e-06,0.00144269016529127,0.153164951685286,0.671691448076018
"MSTRG.61446|LOC111110274",5.11191263187349,2.01464693111591e-07,0.00144269484432151,0.388165989440683,NA
"MSTRG.19843",225.956356670362,-4.19783303486519e-06,0.00144268423608916,0.185928552671669,0.710062662942239
"MSTRG.43172",47.7183085210837,3.58933669759932e-07,0.00144269282860395,0.777392552572738,0.967914930851704
"MSTRG.63021|LOC111106249",14.4864023157425,-7.91391980513991e-07,0.00144269505983124,0.232960078786168,0.751664035942542
"MSTRG.10522",115.301714994801,4.91069047139473e-06,0.00144269624532011,0.675582795472983,0.947074869910481
"MSTRG.37303",328.650703131941,3.2124245837058e-06,0.00144266640584147,0.492967548836142,0.898786870523397
"MSTRG.37302",161.503277073856,4.92726360484143e-06,0.00144267676461125,0.221551380968075,0.742228474243689
"MSTRG.2563|LOC111136067",0.502288347731465,2.3923076022005e-07,0.00144269502479501,0.558937113836065,NA
"MSTRG.37307",337.672484200688,-4.28423437309762e-06,0.00144265345295117,0.451353801275248,0.88348684711967
"MSTRG.37308",379.923004279987,7.27648179288285e-06,0.0014426928321074,0.480438194212161,0.894125251833184
"MSTRG.10528",79.8164328290722,1.7318658325956e-06,0.00144269284781579,0.241906258192308,0.759144052581411
"MSTRG.23480|LOC111125720",7.77037409404965,-3.07419834361488e-07,0.00144269277076944,0.763206562446017,0.96495911026543
"MSTRG.10593|LOC111120529",1.5730271025112,1.00597246590212e-07,0.00144269403185562,0.905851964350501,NA
"MSTRG.21410|LOC111123598",2.22679345219766,-5.20382749866411e-08,0.00144269457151473,0.926488318900612,NA
"MSTRG.5151|LOC111133529",32.4050618219872,3.62189430231209e-06,0.00144267095976376,0.40559399402691,0.861224108006604
"MSTRG.54609",3589.48568236945,1.63422196117435e-06,0.00144269429046794,0.0948908240799435,0.576121875452664
"MSTRG.143|LOC111104259",9.92236056368785,1.17579298979541e-06,0.00144269389067851,0.538338615044962,0.913923089491273
"MSTRG.80655",2.1556456380353,1.75797497867765e-06,0.00144269433004793,NA,NA
"MSTRG.5661",1819.37633545544,-5.14195059716465e-06,0.00144266399544091,0.311071954322662,0.809406587763466
"MSTRG.47894|LOC111100821",0.552490695409539,2.64326596040835e-07,0.00144269503397134,0.422222396119832,NA
"MSTRG.75285",272.557133425972,-2.70175392296118e-06,0.00144268358566898,0.301861193408712,0.802004217806861
"MSTRG.5664",56.0577891656909,-5.97257523109435e-07,0.00144269093340865,0.696518412877258,0.952126293239454
"MSTRG.5666",15.3830824229185,3.44922176792024e-07,0.00144269389004441,0.691728840445526,0.95097492939904
"MSTRG.5669",0.289293333252271,-3.19152846926354e-07,0.00144269502429179,0.511358147999557,NA
"MSTRG.64175|LOC111106363",2.80181357672864,4.54792837651527e-09,0.00144269388642402,0.995718863816601,NA
"MSTRG.31443|LOC111128777",35.9292694781319,2.69218730172047,1.15043996343212,0.00447881816329395,0.170811775302083
"MSTRG.30692|LOC111128796",0.99417541447301,-8.82090179472607e-08,0.00144269488658495,0.282943591791829,NA
"MSTRG.80597|LOC111117055",1.25410665495304,1.64815141204192e-08,0.0014426945400599,0.979247532495394,NA
