"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.22578|LOC111123850",5.09847609173782,0.495876597941721,1.46151507034667,0.339289418222763,0.734391713421428,0.966160665530692
"MSTRG.9735|LOC111119799",19.5129114787257,0.0533029402434768,0.568895875566283,0.0936954239480443,0.925351105447765,0.992312314737774
"MSTRG.39169|LOC111134853",0.612571631267308,-0.224451872456148,1.45151065843343,-0.154633292667924,0.87711042192117,NA
"MSTRG.58116",1.74439687541442,0.810799819843188,1.76481876844734,0.459423842458631,0.645929829980769,NA
"MSTRG.58115",0.817659167940554,0.741735483676046,1.27288101790932,0.58272177308004,0.560080613460497,NA
"MSTRG.58114",0,0,0,0,1,NA
"MSTRG.73495",2.14242396832471,1.78031899545936,2.10182977062049,0.847032914056489,0.396976775843883,NA
"MSTRG.58119",2.23042563937405,-1.14271276776993,0.7410313347089,-1.54205728455306,0.123059673778469,NA
"MSTRG.53045",3.09762361029688,0.0684082320680201,1.25821587558449,0.0543692329714421,0.956640991116889,NA
"MSTRG.25086|LOC111125093",1.74289879529846,0.0947727273178078,1.18001916343389,0.0803145662838357,0.935987073419476,NA
"MSTRG.73496",65.6641869668391,0.485846057974019,0.618609246084233,0.785384410351771,0.432228218346648,0.889713297747092
"MSTRG.24540|LOC111126079",13.6868581400795,-0.780238818658561,0.870087146957833,-0.896736403228783,0.36985959070954,0.862866125452013
"MSTRG.72200|LOC111115470",0,NA,NA,NA,NA,NA
"MSTRG.2686|LOC111116974",227.464515346406,0.303664961514693,1.13760952097678,0.266932507082008,0.789521127411084,0.973878666922394
"MSTRG.47090|LOC111135972",1.14488603918897,-0.348895671824882,2.886943180992,-0.12085297491203,0.903807489652908,NA
"MSTRG.43178",355.941597259744,-0.352160425325795,0.599983600810949,-0.586950084718664,0.55723723086291,0.929120661930546
"MSTRG.19848",56.1677972263317,-0.0322098737782942,0.40035531262121,-0.0804532193351187,0.935876801132829,0.993807989364688
"MSTRG.43175",1.11672513449836,-1.09634675503984,1.05153690268576,-1.04261367550643,0.297127252930385,NA
"MSTRG.19847",87.9793925641315,0.647635425152937,0.452792560799197,1.43031374899321,0.152626990456126,0.690525003228628
"MSTRG.61446|LOC111110274",5.11158830676032,1.98782469669333,2.31470427675507,0.858781277874518,0.390461198631488,0.871132466350971
"MSTRG.19843",225.958988050328,-0.43989759496663,0.331711783151644,-1.32614401209115,0.184792000193974,0.729473307865101
"MSTRG.19840",0.78118938755397,-0.959122135745959,2.89354651352217,-0.331469403123044,0.740289948676414,NA
"MSTRG.43172",47.7176235778929,0.228358752972015,0.809158978129558,0.282217412330869,0.777776807652695,0.972702395428686
"MSTRG.63021|LOC111106249",14.4885019777893,-2.38278755638688,2.0140292198574,-1.18309482945614,0.236771566808989,0.774825853509144
"MSTRG.10522",115.300094689417,0.291665806359541,0.697953224676573,0.417887325464679,0.676029499775171,0.955297631171414
"MSTRG.37300",0.200602991448411,-0.289984458014197,3.2437914189669,-0.0893967646373987,0.928766594623562,NA
"MSTRG.37303",328.652270315645,0.151002569625066,0.218994157398525,0.689527845942814,0.490491156074277,0.910826275326975
"MSTRG.37302",161.50409406619,0.309753201937437,0.251988207524503,1.22923689556908,0.218982999330033,0.759346155126191
"MSTRG.2563|LOC111136067",0.502295707695926,1.88814438944271,3.23078159395852,0.584423407937415,0.558935481873721,NA
"MSTRG.37307",337.674299560293,-0.138768267251037,0.18277416128941,-0.759233505830767,0.447712886218529,0.895982410506154
"MSTRG.37308",379.924054976789,-0.258495073310245,0.365902338400949,-0.706459200124024,0.479902616722102,0.908016975681176
"MSTRG.10528",79.8172007247698,0.808504054544535,0.691555504305715,1.16910942001138,0.242359549087872,0.778884126018664
"MSTRG.23480|LOC111125720",7.77061038648781,-0.246018117420703,0.812992318491108,-0.302608169628596,0.76218848776213,0.97045388112156
"MSTRG.10593|LOC111120529",1.57298900763848,0.141832123303245,1.20467792389373,0.117734475323346,0.906278049383577,NA
"MSTRG.21410|LOC111123598",2.22671589982014,-0.166762619767843,1.79198622157617,-0.0930602131645657,0.925855725517257,NA
"MSTRG.5151|LOC111133529",32.4051486478992,0.197063753716101,0.233597592232129,0.843603531325256,0.398890990317471,0.874866481247357
"MSTRG.54609",3589.43492835948,1.52265834655462,0.915265630610247,1.66362452126537,0.0961874884222616,0.597340267301188
"MSTRG.143|LOC111104259",9.92287413882109,-0.579637701917841,0.939556463681839,-0.616926948324548,0.537282911010178,0.925556979709153
"MSTRG.80655",2.15562174189715,-0.247470197316892,0.978638108895938,-0.252872021912245,NA,NA
"MSTRG.5661",1819.38195901643,-0.209550682076399,0.205744966955335,-1.01849724529052,0.308441709289983,0.825975165160057
"MSTRG.47894|LOC111100821",0.552449405370678,2.58062904551563,3.21560653762453,0.802532590763427,0.422244943897076,NA
"MSTRG.75285",272.560811339925,-0.35795630009112,0.346073766525424,-1.03433526234882,0.300979457355515,0.820390224053004
"MSTRG.5664",56.0570046119142,-0.235929396641728,0.604627365329776,-0.390206282696198,0.696384016217691,0.959352525375461
"MSTRG.5666",15.3835081708347,0.436041050690648,1.10049680737108,0.396222004253044,0.691941259824402,0.958221973803258
"MSTRG.5669",0.289293333252271,-2.11226367671684,3.21638272258778,-0.656720253433458,0.511360809080782,NA
"MSTRG.64175|LOC111106363",2.80193690068505,0.00607810929844468,1.13598128728253,0.00535053646260722,0.995730909933905,NA
