"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MSTRG.22578|LOC111123850",6.04854087935879,0.00944347806114825,0.159416256710313,0.515407461180023,1
"MSTRG.9735|LOC111119799",35.4774411618856,0.00769070888360576,0.0902617501548504,0.692382589638302,1
"MSTRG.39169|LOC111134853",1.55539684530693,-0.00407306008750034,0.134060124964623,0.762299409559011,1
"MSTRG.58116",2.65754312228327,0.0512003423755089,0.318815727743433,0.0664849405734767,0.807102637396941
"MSTRG.58115",4.97541568282785,-0.00488993655489886,0.136861440807888,NA,NA
"MSTRG.58114",1.98851491464763,0.0283457758360556,0.425333352705707,0.265054392866482,1
"MSTRG.73495",2.22315424669335,0.0137679046890521,0.220825597611384,0.404406801199754,1
"MSTRG.58119",4.82718836817262,0.0215446261436856,0.157412200159272,0.212456279721149,1
"MSTRG.53045",2.87330425972295,0.00686811753728974,0.127555690122753,0.618163275858811,1
"MSTRG.25086|LOC111125093",2.91979622622098,-0.00952931872715474,0.115040892919208,0.513802621299901,1
"MSTRG.73496",85.9668731161091,0.00333876426765685,0.0996675337793314,0.82432169411038,1
"MSTRG.24540|LOC111126079",13.7891894904959,-0.0157662651545366,0.152182558779855,0.315847960975054,1
"MSTRG.72200|LOC111115470",1.41101928990411,0.0194888750040182,0.397374343404035,0.417461401781382,1
"MSTRG.2686|LOC111116974",246.980342871492,-0.0014266097237,0.114869282657335,0.915101752510462,1
"MSTRG.47090|LOC111135972",2.57187184277142,-0.0429273331320648,0.427483734920132,0.120314614044848,0.930416853544635
"MSTRG.43178",343.266598341259,-0.00612092515895691,0.0964749725634606,0.707955555987947,1
"MSTRG.19848",64.9771097037597,0.0190780684162073,0.101429143277087,0.31462156384695,1
"MSTRG.43175",2.21810593120166,-0.00348546213658642,0.130304890521781,0.794567885516876,1
"MSTRG.19847",101.498684965398,0.0313016253269836,0.0960571657933176,0.204116271975466,1
"MSTRG.61446|LOC111110274",11.9760599746464,0.0313578387985496,0.390570102948953,0.197861650794493,1
"MSTRG.19843",240.83657662009,-0.00631200628588035,0.0842369500600746,0.786620753825433,1
"MSTRG.19840",1.67168443778342,-0.00189632212015986,0.21000299419438,0.900985430059654,1
"MSTRG.43172",32.976794494076,-0.00787714750035079,0.102798678385634,0.606908928341582,1
"MSTRG.63021|LOC111106249",14.4860028842576,-0.00122043721710848,0.155276169780973,0.928987352272123,1
