"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.50644",208.792592276209,27.1203825646548,2.04476117989944,13.2633496915217,3.77643093980449e-40,7.69089043045883e-36
"MSTRG.6444",24.9433025504448,24.1799964293008,1.81831022703203,13.2980588624687,2.3755582352784e-40,7.69089043045883e-36
"MSTRG.50643|LOC111099595",7.42226909487759,21.5013789720928,1.8542721629456,11.5955895805159,4.33867512946137e-31,5.89061922326971e-27
"MSTRG.68807",411.420523528305,28.0770177279039,2.71023262625183,10.3596338764224,3.78407693919093e-25,3.85323094525464e-21
"MSTRG.50686",80.7255452625167,25.9296158199408,2.6083105036158,9.94115377904419,2.75616100358683e-23,2.24522387674191e-19
"MSTRG.21570|LOC111126571",49.5209751197873,-23.892879506011,2.58153151068904,-9.25531197550006,2.13605695121627e-20,1.45006226133316e-16
"MSTRG.39772",6.19134808908884,22.4012351043331,2.44976995181978,9.14421988386816,6.00617834268578e-20,3.49482357251335e-16
"MSTRG.61596",12.870725125765,-21.9936297350434,2.44777905916282,-8.98513681319164,2.58412595935422e-19,1.31567543063071e-15
"MSTRG.45827|LOC111134583",13.0615951667105,27.7627512109601,3.17282300856828,8.75017331127081,2.13025329944565e-18,9.64081634885788e-15
"MSTRG.1778|LOC111133824",9.64635318142009,23.1511811520688,2.65617623929566,8.71598081842934,2.88252121593542e-18,1.17407971646266e-14
"MSTRG.3776",159.071412147423,26.9778543316397,3.1717929843184,8.50555331480344,1.80731542071244e-17,6.6921604000944e-14
"MSTRG.81651",91.2263959179987,26.8214291846269,3.17186154747622,8.45605294656324,2.76580062509318e-17,9.38781877172253e-14
"MSTRG.59750",10.5276904009023,-21.2880548529142,2.53837695826936,-8.38648286006666,5.00902704451342e-17,1.56940523500059e-13
"MSTRG.16669",135.764546558896,26.4913952146212,3.17183249816306,8.35207887868084,6.70718439404902e-17,1.95135948252865e-13
"MSTRG.10440",10.7323915387661,23.5164922849385,2.83955408490207,8.28175536785012,1.21372727158632e-16,3.29575503326549e-13
"MSTRG.1258",164.954963745956,-26.0893884906368,3.18996061296176,-8.17859267121601,2.87178096260486e-16,7.31065689924116e-13
"MSTRG.34769|LOC111134088",7.07457841980985,22.3819477970455,2.75437842749476,8.12595232870852,4.43863469517713e-16,1.06347076334859e-12
