"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"1","LOC111123850",0.0088825358621667,0.734391713421428,0.966160665530692,"NO"
"2","LOC111119799",0.0046665772816105,0.925351105447765,0.992312314737774,"NO"
"11","MSTRG.73496",0.037802029579783,0.432228218346648,0.889713297747092,"NO"
"12","LOC111126079",-0.0344890541669887,0.36985959070954,0.862866125452013,"NO"
"14","LOC111116974",0.00827244113577738,0.789521127411084,0.973878666922394,"NO"
"16","MSTRG.43178",-0.0285585265554645,0.55723723086291,0.929120661930546,"NO"
"17","MSTRG.19848",-0.00488480557691248,0.935876801132829,0.993807989364688,"NO"
"19","MSTRG.19847",0.0879417804943756,0.152626990456126,0.690525003228628,"NO"
"20","LOC111110274",0.0172596204406054,0.390461198631488,0.871132466350971,"NO"
"21","MSTRG.19843",-0.093586952663272,0.184792000193974,0.729473307865101,"NO"
"23","MSTRG.43172",0.01110616054229,0.777776807652695,0.972702395428686,"NO"
"24","LOC111106249",-0.0271701681561712,0.236771566808989,0.774825853509144,"NO"
"25","MSTRG.10522",0.0182761873637643,0.676029499775171,0.955297631171414,"NO"
"27","MSTRG.37303",0.0510056376230734,0.490491156074277,0.910826275326975,"NO"
"28","MSTRG.37302",0.0929560895725689,0.218982999330033,0.759346155126191,"NO"
"30","MSTRG.37307",-0.0567362838677759,0.447712886218529,0.895982410506154,"NO"
"31","MSTRG.37308",-0.0455287955078095,0.479902616722102,0.908016975681176,"NO"
"32","MSTRG.10528",0.0537491487110468,0.242359549087872,0.778884126018664,"NO"
"33","LOC111125720",-0.0118741161629,0.76218848776213,0.97045388112156,"NO"
"36","LOC111133529",0.0625129110805305,0.398890990317471,0.874866481247357,"NO"
"37","MSTRG.54609",0.0689299307412348,0.0961874884222616,0.597340267301188,"NO"
"38","LOC111104259",-0.0221155498028716,0.537282911010178,0.925556979709153,"NO"
"40","MSTRG.5661",-0.0773426599929611,0.308441709289983,0.825975165160057,"NO"
"42","MSTRG.75285",-0.0697902172513627,0.300979457355515,0.820390224053004,"NO"
"43","MSTRG.5664",-0.0187726486090766,0.696384016217691,0.959352525375461,"NO"
"44","MSTRG.5666",0.0126104275164456,0.691941259824402,0.958221973803258,"NO"
"47","LOC111128777",0.231728910567203,0.00453440089544232,0.182500638857035,"NO"
"50","MSTRG.58111",-0.0696773520014064,0.325873512178769,0.838095792218251,"NO"
"51","LOC111120558",-0.00101442772105356,0.964887845654867,0.997071294291969,"NO"
"53","MSTRG.74627",-0.0372129297809865,0.614223237925625,0.942822212639272,"NO"
"55","MSTRG.74624",-0.0444597369411957,0.391229701256964,0.871327794166967,"NO"
"57","MSTRG.74621",-0.0328472498944072,0.651732537443165,0.950322398792372,"NO"
"58","MSTRG.3842",-0.00438864697898824,0.898792505944628,0.989175304074299,"NO"
"59","MSTRG.3840",0.0392545901080807,0.594228250066908,0.936954359040269,"NO"
"61","MSTRG.3847",-0.0513612157999008,0.488879011869204,0.910529772248361,"NO"
