"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"457","LOC111135642",5.08853443265086,5.83967687043583e-09,1.45422553266028e-05,"UP"
"661","LOC111126062",6.85868047754951,2.81894684784524e-08,5.61590591027729e-05,"UP"
"854","LOC111131917",4.91400678552032,1.18758456133384e-07,0.000169939612247098,"UP"
"1153","MSTRG.68249",2.01355765919833,5.60488872010385e-08,0.000100298556079871,"UP"
"1303","MSTRG.22961",-1.12737330806012,0.000153809497992799,0.0271969776835432,"DOWN"
"1507","MSTRG.63771",-1.65690695845065,2.26306216655631e-08,5.20208359409249e-05,"DOWN"
"1966","LOC111135693",2.42997131472698,2.72969544821076e-05,0.0103255049466939,"UP"
"2613","MSTRG.47103",-1.34401849933681,4.07953590823905e-05,0.0136976147804391,"DOWN"
"3111","MSTRG.23497",2.52750499724081,8.86599502306442e-06,0.00519495155439674,"UP"
"3390","MSTRG.68807",-27.4209564730339,3.6280941487487e-25,3.61394458156858e-21,"DOWN"
"3760","LOC111118956",-1.70560083512449,6.12593924382783e-06,0.00373594780455728,"DOWN"
"3999","MSTRG.35239",1.07263182744021,5.60637421602103e-05,0.016109161605515,"UP"
"4860","LOC111132121",1.29306903366207,0.000149927532961837,0.0266683599255868,"UP"
"5681","MSTRG.52631",-3.71676144308622,1.54606846404056e-06,0.00118464522848523,"DOWN"
"5707","MSTRG.55363",-2.95772441068079,2.36298681216747e-05,0.00954231552810817,"DOWN"
"5898","LOC111137463",-2.10900654908426,3.13359471634004e-05,0.0114196598668768,"DOWN"
"6020","LOC111135408",-2.143983,2.316274e-05,0.009481811,"DOWN"
"6063","MSTRG.30007",-1.326746,8.86176e-05,0.0209747,"DOWN"
"6501","LOC111120972",2.138588,3.82584e-05,0.01317447,"UP"
"6569","LOC111119282",-1.025789,0.0002585277,0.03768577,"DOWN"
"6880","MSTRG.48426",-1.001392,0.0002179514,0.0340997,"DOWN"
"8563","LOC111128694",-2.64136,8.240388e-07,0.0007695234,"DOWN"
"9002","MSTRG.47412",-1.960901,2.651735e-05,0.01025915,"DOWN"
"9696","MSTRG.45988",-2.819599,4.96244e-06,0.003223752,"DOWN"
"10113","MSTRG.25886",1.459912,8.53357e-05,0.02056521,"UP"
"10492","LOC111126343",-1.027528,3.948887e-05,0.01340961,"DOWN"
"10595","LOC111136340",-2.759758,9.553172e-06,0.005489951,"DOWN"
"11578","MSTRG.83927",-2.737672,1.479651e-05,0.007134018,"DOWN"
"11736","MSTRG.63350",-2.465638,5.789179e-06,0.003604126,"DOWN"
"12079","MSTRG.76631",-1.302755,2.427909e-05,0.009673761,"DOWN"
"12184","LOC111128522",2.006969,3.835554e-05,0.01317447,"UP"
"12782","LOC111134449",-1.118759,0.0002172423,0.0340997,"DOWN"
"12807","LOC111120009",-10.77363,1.140769e-07,0.0001699396,"DOWN"
"13329","MSTRG.72274",1.641579,8.292149e-05,0.02029908,"UP"
"13677","MSTRG.46213",-1.835097,8.72501e-07,0.0007900893,"DOWN"
"13904","LOC111121848",-1.413457,0.0001238255,0.02483407,"DOWN"
"13990","MSTRG.17305",1.356968,0.0001419633,0.02602631,"UP"
"13995","MSTRG.25361",23.62756,1.76739e-14,7.544986e-11,"UP"
"14769","MSTRG.4963",-1.002602,0.0002960398,0.04095628,"DOWN"
"15250","MSTRG.68308",-7.451374,2.865897e-07,0.0003460589,"DOWN"
"15488","MSTRG.28060",1.027203,0.0002677955,0.03865958,"UP"
"15977","MSTRG.61596",21.49895,1.902445e-17,1.137015e-13,"UP"
"16056","MSTRG.34514",4.816327,9.850795e-07,0.000865798,"UP"
"16102","MSTRG.80714",-1.74144,1.465006e-05,0.007134018,"DOWN"
"16368","MSTRG.76652",-1.26677,1.735746e-05,0.007409899,"DOWN"
"16854","MSTRG.18749",-1.368996,2.174351e-07,0.0002953461,"DOWN"
"17423","MSTRG.46355",-2.185457,4.82356e-05,0.01455984,"DOWN"
"18009","MSTRG.78335",-2.787012,2.807162e-05,0.0104858,"DOWN"
"18990","MSTRG.11059",-1.35891,9.760927e-05,0.0217676,"DOWN"
"19002","LOC111119231",-3.554604,1.317451e-06,0.001093594,"DOWN"
"19449","LOC111127981",4.081471,4.093511e-07,0.0004369389,"UP"
"19898","MSTRG.17200",23.10544,6.468637e-14,2.416279e-10,"UP"
"20206","MSTRG.26271",-1.391766,1.511678e-05,0.007134018,"DOWN"
"20481","MSTRG.39517",-4.446443,3.417308e-06,0.00237487,"DOWN"
"21387","MSTRG.79839",22.63378,3.573866e-15,1.779964e-11,"UP"
"21419","MSTRG.53838",1.449371,7.71276e-05,0.01956903,"UP"
"21787","LOC111108535",1.39356,0.0001315302,0.02521006,"UP"
"22171","LOC111133035",-4.219353,2.111932e-06,0.001577771,"DOWN"
"22394","MSTRG.1000",-13.00967,7.973841e-11,2.382823e-07,"DOWN"
"23447","MSTRG.82893",3.332437,2.741158e-06,0.001997903,"UP"
"23490","MSTRG.31752",-1.079982,0.0002100231,0.03356213,"DOWN"
"23529","MSTRG.71984",1.390098,0.0001314651,0.02521006,"UP"
"25211","LOC111135509",-2.101169,5.140528e-05,0.01522951,"DOWN"
"25240","MSTRG.25254",-12.82132,7.787501e-11,2.382823e-07,"DOWN"
"25802","MSTRG.1443",-1.004806,3.145523e-06,0.002238039,"DOWN"
"25829","MSTRG.58144",-1.137694,4.322233e-06,0.002935484,"DOWN"
"26477","MSTRG.78895",-1.559372,2.895115e-07,0.0003460589,"DOWN"
"26789","LOC111123808",2.78133,5.465961e-06,0.003475304,"UP"
"27304","LOC111134680",1.695069,6.011898e-05,0.01694845,"UP"
"27415","MSTRG.44868",-2.396117,4.25579e-05,0.01397536,"DOWN"
"27797","LOC111133928",1.676324,2.935932e-05,0.01083142,"UP"
"27953","MSTRG.50686",-25.33707,2.84464e-23,2.12516e-19,"DOWN"
"27954","MSTRG.50685",-5.294039,3.00132e-09,8.153495e-06,"DOWN"
"27984","LOC111134324",2.496473,1.677421e-05,0.007270618,"UP"
"28024","LOC111119460",3.602514,2.345575e-07,0.0003047513,"UP"
"28397","LOC111108395",-1.204059,0.0001045643,0.02231925,"DOWN"
"28564","MSTRG.60791",-1.185851,0.0001109433,0.02318405,"DOWN"
"28612","MSTRG.24999",-1.057022,8.700616e-05,0.02080004,"DOWN"
"28917","LOC111123885",1.379277,5.778535e-05,0.01644571,"UP"
"29318","LOC111125991",2.964471,1.499365e-05,0.007134018,"UP"
"29482","LOC111135036",1.262804,4.64766e-05,0.01446729,"UP"
"29689","MSTRG.44873",-1.529384,8.28723e-05,0.02029908,"DOWN"
"29777","MSTRG.71700",-1.831099,4.755188e-06,0.003157762,"DOWN"
"29876","LOC111125879",-1.172771,4.094063e-07,0.0004369389,"DOWN"
"29947","LOC111130504",-1.015703,7.077253e-05,0.01851684,"DOWN"
"30176","MSTRG.47515",-1.765339,8.969713e-05,0.0209747,"DOWN"
"30182","LOC111126350",1.190636,0.0001839449,0.0303692,"UP"
"31571","LOC111103611",3.302119,1.36229e-06,0.001100252,"UP"
"32605","LOC111135796",-3.516158,7.643619e-07,0.0007368202,"DOWN"
"32885","MSTRG.22193",-1.125859,0.000117825,0.02411619,"DOWN"
"34146","MSTRG.83892",3.270535,1.964397e-05,0.008153067,"UP"
"34702","LOC111105688",3.782122,5.608758e-07,0.0005586884,"UP"
"35090","MSTRG.12283",-1.576476,8.985527e-08,0.0001491747,"DOWN"
"35091","MSTRG.12284",-2.051547,1.194235e-07,0.0001699396,"DOWN"
"35109","MSTRG.32725",-1.160573,1.52149e-05,0.007134018,"DOWN"
"35194","MSTRG.63425",1.489492,8.114128e-05,0.02020621,"UP"
"35318","MSTRG.71895",1.970496,6.570098e-05,0.01800829,"UP"
"35767","LOC111134940",1.418623,9.539323e-05,0.02143335,"UP"
"35831","MSTRG.53817",-12.58194,5.705838e-08,0.0001002986,"DOWN"
"36617","MSTRG.50646",-5.678628,2.609749e-08,5.570508e-05,"DOWN"
"36618","MSTRG.50644",-26.67455,6.067918e-40,1.813276e-35,"DOWN"
"37437","MSTRG.6444",-23.87985,1.651334e-37,2.46734e-33,"DOWN"
"37587","MSTRG.54066",-1.098431,0.0001340362,0.0254033,"DOWN"
"37653","MSTRG.76140",-1.104293,4.592694e-05,0.01444668,"DOWN"
"38232","MSTRG.8783",-2.230928,3.605111e-07,0.0004143521,"DOWN"
