"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"71","MSTRG.44250",23.6960783898525,1.97672621924274e-13,2.64062388789737e-10,"UP"
"655","MSTRG.43796",-2.87304505229119,1.43049741143202e-06,0.000504269410828605,"DOWN"
"697","MSTRG.58567",27.571380872633,1.15228328992012e-10,8.58158922832481e-08,"UP"
"737","MSTRG.4716",15.9600231594329,5.06010515153341e-06,0.00158321408341794,"UP"
"764","LOC111133635",15.6806128565351,1.08612546128163e-10,8.20443657374126e-08,"UP"
"981","LOC111099481",17.2102863965806,2.27706606890692e-09,1.43338598244751e-06,"UP"
"1104","LOC111135214",-1.85110837854325,0.000243734245853953,0.0386781548224658,"DOWN"
"1145","MSTRG.28762",-2.10463514878482,0.000111964040036294,0.0209198676501736,"DOWN"
"1253","MSTRG.49084",3.77159792423231,0.000101139173136163,0.0191968355362832,"UP"
"1254","LOC111111285",-5.24429571836221,9.5144282381175e-09,5.40961744028967e-06,"DOWN"
"1648","MSTRG.82270",1.9725497271238,0.000162120220539299,0.0287050051324347,"UP"
"1711","MSTRG.10897",1.63629859991614,0.000140598236578044,0.0256359067432318,"UP"
"1728","MSTRG.74530",-1.9998279804317,0.000165338424501408,0.0291419995745365,"DOWN"
"1757","LOC111130818",19.2146575867905,1.4741814867883e-23,1.55900588953809e-19,"UP"
"1825","MSTRG.57053",-20.5141328329823,6.88486348798771e-16,1.73357584121108e-12,"DOWN"
"1956","MSTRG.33590",2.5456329305206,8.61424123533743e-06,0.00244889910645665,"UP"
"2411","MSTRG.28537",4.236073331736,2.68464385360509e-07,0.000110903057068028,"UP"
"2549","LOC111122647",28.8236009935974,3.01584686768346e-21,1.44971758929544e-17,"UP"
"2559","MSTRG.50564",2.10835705584281,9.50271569801783e-05,0.0186101888134848,"UP"
"2647","MSTRG.42871",-10.7926633114724,4.60433349647462e-05,0.0101022133731572,"DOWN"
"2715","MSTRG.78439",-13.6776128740017,6.74464242576812e-06,0.00200357560419854,"DOWN"
"2823","MSTRG.46584",11.6108968833482,0.000100918125837435,0.0191968355362832,"UP"
"2831","LOC111108749",16.1189885528929,2.36340478514014e-07,9.9182345098298e-05,"UP"
"2906","MSTRG.45690",-1.96562983768585,0.000295883210881804,0.0450876557400494,"DOWN"
"2934","MSTRG.18042",20.3942904987781,1.25427865260293e-06,0.0004511734170999,"UP"
"3134","LOC111133031",3.51313088497736,2.58711453452546e-05,0.00630409471161765,"UP"
"3177","MSTRG.56142",22.2040301739975,4.20063415996422e-09,2.52087388555831e-06,"UP"
"3413","MSTRG.20211",1.56076956865821,0.00019475152451682,0.0326916709900822,"UP"
"3422","MSTRG.37910",2.27669168054503,1.75102783677547e-07,7.53588000234556e-05,"UP"
"3551","MSTRG.68073",19.125462374389,3.89081465518081e-06,0.00123521630941804,"UP"
"3939","MSTRG.6366",2.34318837515098,7.94114651972517e-06,0.0022945574017678,"UP"
"3962","MSTRG.68277",-2.32177012787789,7.45039964462175e-05,0.0152695651941343,"DOWN"
"4122","MSTRG.54902",-17.2348429927949,1.75442300364843e-09,1.11769427908335e-06,"DOWN"
"4201","MSTRG.75652",-18.0504024057925,8.04955146027356e-06,0.00230100382012767,"DOWN"
"4333","MSTRG.83078",-13.6667060863079,5.54171236845354e-05,0.0119603724451722,"DOWN"
"4385","LOC111118346",28.1017870400073,1.99755953469173e-13,2.64062388789737e-10,"UP"
"4484","MSTRG.23492",-17.9550113763812,4.13355961137317e-10,2.91426975427439e-07,"DOWN"
"4519","MSTRG.41916",4.41504806014134,3.14001449965026e-08,1.58128139712387e-05,"UP"
"4577","MSTRG.8190",16.156637630215,2.99718915856904e-08,1.52386895324668e-05,"UP"
