"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"1","LOC111123850",0.0490070596351472,0.316473888619238,0.878607518140448,"NO"
"2","LOC111119799",0.0201682458027413,0.536757552048067,0.951605883218446,"NO"
"8","MSTRG.58119",0.021539595463259,0.431909169653644,0.925323425907486,"NO"
"11","MSTRG.73496",-0.029787521235863,0.294107325374685,0.863845419434494,"NO"
"12","LOC111126079",0.0243485903463321,0.428903185221167,0.924344214320943,"NO"
"14","LOC111116974",0.00670926941888059,0.789827896612738,0.98919987209415,"NO"
"16","MSTRG.43178",-0.037837392550023,0.216855113036148,0.804296150630404,"NO"
"17","MSTRG.19848",-0.00679919833457751,0.814162076615266,0.990648618148967,"NO"
"19","MSTRG.19847",0.067004584379186,0.115894219338755,0.675529189640792,"NO"
"20","LOC111110274",0.0163248193038846,0.85408152219344,0.993858127967497,"NO"
"21","MSTRG.19843",0.016459664482632,0.681096846946595,0.974013898587086,"NO"
"23","MSTRG.43172",0.00227647139165349,0.926157749477398,0.998647381726651,"NO"
"24","LOC111106249",0.516530817946188,0.0357757742090514,0.432804482817084,"NO"
"25","MSTRG.10522",-0.0248454476971034,0.370100083980277,0.902502859123255,"NO"
"27","MSTRG.37303",-0.0854658461419124,0.0801545262454426,0.595244421482596,"NO"
"28","MSTRG.37302",0.00227153106450252,0.951258678593932,1,"NO"
"30","MSTRG.37307",0.0277225027775858,0.625607662582667,0.965187956921602,"NO"
"31","MSTRG.37308",-0.0474938108499864,0.241924567594901,0.825717567990118,"NO"
"32","MSTRG.10528",0.0107216816386797,0.674331726736127,0.973001982730312,"NO"
"33","LOC111125720",0.0225367993468201,0.398550812522217,0.913140093655003,"NO"
"34","LOC111120529",-0.038763365933536,0.284263144214142,0.856249177220769,"NO"
"36","LOC111133529",0.0210545205144645,0.504840904152525,0.945173091037194,"NO"
"37","MSTRG.54609",-0.0410911975673322,0.293793072654751,0.863423616815233,"NO"
"38","LOC111104259",-3.64143104287302,0.00184601835583602,0.0867567249269385,"NO"
"40","MSTRG.5661",-0.09740750249684,0.0752609566507938,0.581099662194153,"NO"
"42","MSTRG.75285",0.000969300372186506,0.979954292631139,1,"NO"
"43","MSTRG.5664",0.0222700830886383,0.403174793326887,0.914489490292689,"NO"
"44","MSTRG.5666",0.00440757288013089,0.885543375370462,0.995530013536728,"NO"
"45","MSTRG.5669",-0.00583964145231484,0.943541428524442,0.999883402498046,"NO"
"47","LOC111128777",0.0248093811613148,0.439031338345011,0.927270001743693,"NO"
"48","LOC111128796",-0.121937282438225,0.402307762375578,0.914149448224315,"NO"
"50","MSTRG.58111",-0.0283399055257622,0.514560189040141,0.946877351025487,"NO"
"51","LOC111120558",-0.0288958027167505,0.610804455465954,0.963416509241495,"NO"
"52","LOC111117203",0.139875944975345,0.356228826816077,0.896369280553017,"NO"
