"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"168","MSTRG.17320",5.10755648339406,6.29951244845502e-05,0.00877563040652266,"UP"
"171","MSTRG.17326",-10.66176867483,0.000778199783582575,0.0467141276258816,"DOWN"
"225","LOC111115807",-11.9871522739984,0.000145955870498415,0.0150284447344318,"DOWN"
"273","LOC111128348",-23.1486015772179,6.6989396943953e-08,7.72885873048746e-05,"DOWN"
"366","MSTRG.6314",-15.5430653747217,0.000294043004625247,0.0245468627757284,"DOWN"
"421","MSTRG.84341",-19.0335423918445,2.01894089728518e-06,0.000796879514160034,"DOWN"
"587","MSTRG.24794",-11.2945253456115,0.000541050391572224,0.0370549519317866,"DOWN"
"589","LOC111100580",-18.7422139102592,0.000137404375703406,0.0144117652427749,"DOWN"
"675","MSTRG.33703",-20.9455478483479,1.90453306983339e-07,0.000162465917453808,"DOWN"
"680","MSTRG.44681",1.19030444684124,0.000770173298403104,0.0465163996442229,"UP"
"792","LOC111135801",-16.458217191378,8.22623561398064e-06,0.00207948144767794,"DOWN"
"831","MSTRG.6596",-25.3454809290531,1.59951071924544e-06,0.000678977210595924,"DOWN"
"921","LOC111131462",-24.8560603913117,4.12357101120964e-06,0.00133485036849201,"DOWN"
"1046","MSTRG.38524",-24.16219,1.015304e-05,0.002330848,"DOWN"
"1062","LOC111135528",-4.740325,0.0007981833,0.04758233,"DOWN"
"1066","LOC111124305",-18.29594,6.709954e-05,0.009094009,"DOWN"
"1104","LOC111135214",-8.192239,0.000348064,0.02752459,"DOWN"
"1111","MSTRG.77617",-13.13529,0.0002348236,0.02112301,"DOWN"
"1176","MSTRG.70903",-13.7746,0.0002885876,0.02424288,"DOWN"
"1257","MSTRG.2588",-6.126333,0.0003703054,0.02882744,"DOWN"
"1280","MSTRG.63404",-17.62314,4.21742e-05,0.006505944,"DOWN"
"1346","MSTRG.84031",-17.43727,5.312043e-05,0.007779284,"DOWN"
"1360","MSTRG.73125",-15.05647,0.000326393,0.02641435,"DOWN"
"1519","LOC111099801",-17.0043,2.565862e-05,0.004512949,"DOWN"
"1524","MSTRG.10440",-24.90493,3.805921e-06,0.001277994,"DOWN"
"1544","MSTRG.17946",-16.79718,0.0001338775,0.01429514,"DOWN"
"1545","MSTRG.17949",-24.09614,6.396283e-06,0.001723396,"DOWN"
"1728","MSTRG.74530",-6.302125,0.0007198333,0.04467534,"DOWN"
"1764","LOC111117040",-9.306401,0.0006191721,0.04073813,"DOWN"
"1875","LOC111105568",-6.734043,0.000778638,0.04671413,"DOWN"
"1903","LOC111128671",-16.36341,0.0002457309,0.02189486,"DOWN"
"1946","MSTRG.12380",-22.79961,2.926601e-05,0.004977678,"DOWN"
"2067","MSTRG.81125",-12.35826,0.0003429309,0.02731065,"DOWN"
