"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MSTRG.22578|LOC111123850",6.04846932581862,0.0473031242645332,0.415263170281298,0.200033873836114,0.823380771498933
"MSTRG.9735|LOC111119799",35.4769095215178,-0.0116412847256683,0.153402964315178,0.735115262875355,0.976253770633146
"MSTRG.73495",2.22310209523521,0.0120331936567941,0.349015809971888,0.695380392472402,0.973388771627567
"MSTRG.73496",85.9660691452006,-0.0171478768270801,0.176350634977805,0.520761935641122,0.948873427065522
"MSTRG.24540|LOC111126079",13.789147005494,0.00674407786180369,0.208008065062199,0.774395812899314,0.980419007107166
"MSTRG.72200|LOC111115470",1.41103371354643,0.0299641984313004,0.720322048141921,0.605594092976469,0.962423943242484
"MSTRG.2686|LOC111116974",246.97696132671,0.0139023832503144,0.208867631327019,0.569204931386674,0.959094221679909
"MSTRG.47090|LOC111135972",2.57171609165328,-0.00333335234202256,0.390798306334223,0.921454636369468,0.994786150722947
"MSTRG.43178",343.258131113607,-0.00768058748496474,0.161499522330039,0.785481190017215,0.981201336014456
"MSTRG.19848",64.9756606596799,-0.0166381250395887,0.158732873498172,0.597140865509628,0.962116199708573
"MSTRG.19847",101.497869244257,0.0536089952143305,0.156277448005487,0.21525964945641,0.834401017193581
"MSTRG.61446|LOC111110274",11.9759510043535,25.7876767972896,5.03784064104681,4.62953609899514e-08,2.94934916032007e-05
"MSTRG.19843",240.831907259556,0.0231937107839527,0.147451173387776,0.593146791182243,0.961874143534005
"MSTRG.43172",32.9766642548408,0.00509636569421345,0.167538103934567,0.843733177352445,0.98876690510579
"MSTRG.63021|LOC111106249",14.4858800457111,0.136721231089153,0.850197957441502,0.0613550127652831,0.596975473203913
"MSTRG.10522",91.5235799779063,-0.0151133076903459,0.167113798818828,0.587972817858324,0.960992981137598
"MSTRG.37300",4.02998808042931,0.0168307108584855,0.44907271773678,0.654029005778586,0.970356164369297
"MSTRG.37303",408.716773646392,-0.0372921370595991,0.145443116203994,0.438725561690507,0.931031056724175
"MSTRG.37302",260.771563082351,-0.0537938476128303,0.159417515788628,0.200186668362097,0.823380771498933
"MSTRG.2563|LOC111136067",3.72563188030542,-0.0230663608848552,0.302766251444201,0.419416110302288,0.92602795547559
"MSTRG.37307",338.720530107671,-0.00707732747348824,0.134490156384954,0.905281877387759,0.99419025458531
"MSTRG.37308",406.594043119101,-0.0448496505111873,0.152346321885212,0.298746469171981,0.882117385800383
"MSTRG.10528",83.1947245314837,0.0160918121816026,0.210916337210683,0.516671708878407,0.94802645251982
"MSTRG.23480|LOC111125720",14.0384019825167,0.0159653893193536,0.178755108596517,0.540798704626043,0.953670605453102
"MSTRG.10593|LOC111120529",4.48279892294283,-0.0127957152742683,0.221594043622614,0.600088035776243,0.962116199708573
"MSTRG.5151|LOC111133529",38.9645352816549,-0.0178668591391256,0.156029946445299,0.593449957800014,0.961874143534005
"MSTRG.54609",3488.36844842753,-0.00814989773580621,0.220103949472663,0.733001207404666,0.976253770633146
"MSTRG.143|LOC111104259",15.4958694384259,-0.145927596379588,0.669538072205484,0.0348684819416101,0.48952660177921
"MSTRG.5661",1877.85067496209,-0.059503287263389,0.14313055427781,0.272804914135216,0.869644197494546
"MSTRG.47894|LOC111100821",1.59266072482231,-0.0010319694787387,0.633874800614406,0.984462144782401,0.999770305721935
"MSTRG.75285",381.008601758606,0.0618712736437715,0.160390285550015,0.159379995493371,0.787693805187681
"MSTRG.5664",75.2006095777008,0.0282543385638279,0.197654837230925,0.315780942689796,0.889627072056155
"MSTRG.5666",15.5733351916351,0.0125721523300623,0.246926506951604,0.617361131044418,0.964307502865498
"MSTRG.5669",6.57144846682652,0.0206110380999883,0.476637795363186,0.600561946154456,0.962116199708573
"MSTRG.31443|LOC111128777",64.6286805493886,0.014502125185241,0.229426008969245,0.558815988430009,0.957266938601031
"MSTRG.30692|LOC111128796",4.4603700887928,0,0.635935977127847,1,1
"MSTRG.58111",466.778824187167,-0.0420524005211769,0.147192891602494,0.371295108824117,0.910954892972222
"MSTRG.10609|LOC111120558",5.99700096908603,-0.0441077671067276,0.496592207344577,0.275541499485177,0.871031636463443
"MSTRG.81500|LOC111117203",9.12222708287013,0.120873348254144,1.22964092728746,0.191595696436465,0.817205006876681
"MSTRG.74627",675.478375378403,0.0249960567409218,0.131198868916142,0.691301609908188,0.973388771627567
"MSTRG.3848",6.16321447797117,-0.10972314868932,0.613151654531398,0.0588822302799497,0.58797879930259
"MSTRG.74624",51.2237492779956,-0.0220037372885193,0.160766211864945,0.490985159457682,0.943241756925843
"MSTRG.74621",287.868944367137,0.0778882646958506,0.148566626500557,0.145534941081688,0.770582016043679
"MSTRG.3842",10.6468584151035,0.0371068309472578,0.391011197627909,0.27915259462331,0.87290075374907
"MSTRG.3840",1123.27629399719,-0.0264993392506572,0.123489475153079,0.696322118987908,0.973388771627567
"MSTRG.3846",18.4160762565909,0.0965656956696033,0.514132442348312,0.0612642854687862,0.5965877758256
"MSTRG.3847",2735.60673962902,0.00251928517892604,0.126448023002348,0.969508470720275,0.998677247561995
"MSTRG.74629",2177.00551721351,-0.0083321056572548,0.132157049913768,0.892594685393545,0.992718415326274
"MSTRG.73938",5.80825998004477,-0.0158328120313285,0.400510283954639,0.642482838451666,0.969148906939152
"MSTRG.18714",44.0892440327386,-0.00456168202058501,0.337689266994219,0.879456334677534,0.99201519657405
