"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.39528",15.1984712883453,29.9842785051717,2.39182748635026,12.5361376087058,4.73517398020244e-36,3.34828887314095e-31
"MSTRG.82356",44.5188770904395,29.9952468805562,2.53811208112471,11.8179362935243,3.15335794034823e-32,1.11488546659982e-27
"MSTRG.68428|LOC111106852",20.4805827360961,24.0926254937111,2.08291157807733,11.5668018495294,6.07034447941501e-31,1.43080042827971e-26
"MSTRG.45938",21.1358447970257,20.6697322891937,1.9160428202863,10.7877193924639,3.93431668659036e-27,6.95498668063727e-23
"MSTRG.28014|LOC111130818",8.16471226377214,19.5072013377951,1.93237182023438,10.0949522930991,5.81593468935071e-24,8.22501115637357e-20
"MSTRG.30224|LOC111127836",18.0413372228757,-21.0693419106446,2.11516850233222,-9.96107018774776,2.25620782965153e-23,2.65897853070815e-19
"MSTRG.45883",1.56606418346431,17.6063528863894,1.79792870394151,9.79257567210087,1.21169201365076e-22,1.08107379850024e-18
"MSTRG.55316",29.9126911368623,29.9289161735774,3.05658185366307,9.79162921408761,1.22308981459772e-22,1.08107379850024e-18
"MSTRG.50412",46.3930052895061,29.9896657063648,3.09617535208568,9.68603593015581,3.45686033373585e-22,2.71597834509773e-18
"MSTRG.21577|LOC111122647",7.38862595386274,29.9777077108659,3.09920407410735,9.67271176535873,3.93802352627676e-22,2.78461581566556e-18
"MSTRG.44384",7.79192560590297,25.5563669817317,2.6863938002044,9.51326159991406,1.84776353050454e-21,1.18779279095915e-17
"MSTRG.59229",24.2899757538474,21.5619636401516,2.28208651028781,9.448355065835,3.4419702271792e-21,2.02820963945057e-17
"MSTRG.62159|LOC111106409",4.83051699300309,27.6731483985833,2.93930254137344,9.41486900686738,4.73672656606381e-21,2.57645132471491e-17
"MSTRG.24360|LOC111123599",2.23738275044467,17.0573945748056,1.87342854861268,9.10490799739173,8.63395834593107e-20,4.36082734713666e-16
"MSTRG.4172",3.66230357509886,19.372525900137,2.18846327767213,8.8521137630162,8.58770982204118e-19,4.04830366150902e-15
"MSTRG.11624",26.8727528665015,26.9816152317239,3.08338328362869,8.75065236780116,2.12122880990881e-18,9.37463814859136e-15
"MSTRG.48713",9.52968524732488,-21.6925069129313,2.5438978605487,-8.52727118071179,1.49840325143298e-17,6.23256425365162e-14
"MSTRG.69224",29.9473879086719,17.2560030763856,2.03963309539516,8.46034667477409,2.66583835666872e-17,1.04724497799112e-13
"MSTRG.749",25.9870146008547,29.937074295487,3.59916265153963,8.31778866194909,8.96196275641136e-17,3.33531236036107e-13
"MSTRG.65867",12.8553513488546,29.9754376433836,3.61579185612693,8.29014468645103,1.13110792213435e-16,3.99908861410209e-13
"MSTRG.64071|LOC111105842",15.7968921040111,-18.4835918833467,2.2421781105964,-8.2435876953728,1.67122333873276e-16,5.62732730976821e-13
"MSTRG.57053",15.0730922748286,-21.1068642597162,2.57087694772669,-8.20998619882604,2.2121392143278e-16,6.84857674388083e-13
"MSTRG.80374",14.5359618309861,-20.9797091328206,2.55564975833107,-8.2091487945207,2.22762038592665e-16,6.84857674388083e-13
"MSTRG.35097",14.2196667204395,19.4942870765398,2.39964891032321,8.12380802569745,4.51780158921986e-16,1.30993314240766e-12
"MSTRG.51772|LOC111100354",5.61530767866719,28.4105383307781,3.49849105226463,8.12079776862299,4.63129195743117e-16,1.30993314240766e-12
"MSTRG.40179",25.7095749153537,17.5074676583539,2.17876772857706,8.03549062560602,9.32051867025794e-16,2.53485844497158e-12
"MSTRG.21777",21.2496592809037,29.9942651393985,3.7366781682588,8.0269864807156,9.98960882231401e-16,2.61620455346165e-12
"MSTRG.82324",13.2555822289186,29.9592016320292,3.74946806285144,7.99025385196786,1.34661179818214e-15,3.40072381647348e-12
"MSTRG.34646",30.0469394624279,22.043909488537,2.78438525117237,7.91697538235964,2.43357906925138e-15,5.93382101951153e-12
"MSTRG.67897",21.9607215985859,19.0492574493101,2.41369711878571,7.89214906089521,2.97026652421511e-15,7.00101720645915e-12
"MSTRG.39527",20.8039633016037,29.9635357523003,3.82153871553488,7.84069925302496,4.48044362799957e-15,1.0219891915467e-11
"MSTRG.47341",31.9620615612117,26.1973165715977,3.35542114624849,7.80746005635907,5.83519604387494e-15,1.25034105290437e-11
"MSTRG.81225",233.160292962231,30,3.84144990359307,7.8095512769644,5.73919457286893e-15,1.25034105290437e-11
"MSTRG.51961",16.6408202627361,19.2330212561752,2.47999683716129,7.75526039710201,8.81623853828912e-15,1.83354424494400e-11
"MSTRG.23707",2.97715936637678,17.7601304477531,2.32243069638605,7.64721654574656,2.05376310343094e-14,4.14924693733444e-11
"MSTRG.69715",1.37496943175755,16.7982706021149,2.1986236219986,7.64035755553509,2.16619329523203e-14,4.23605946878506e-11
