"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.14461",1889.99659597121,-24.9431572222664,3.5182298555226,-7.08968948777262,1.344132438407e-12,3.22235590121502e-08
"MSTRG.17442",178.277239286235,-25.4640653112118,3.54588699149178,-7.18129635047927,6.9053486414103e-13,3.22235590121502e-08
"MSTRG.53826",127.491857950112,-20.7060572668795,3.00108508431889,-6.89952356734957,5.21772322962727e-12,8.33913918969796e-08
"MSTRG.23300",275.072319148404,-28.2932403954688,4.15687069348486,-6.80637972208599,1.00085331277691e-11,1.19969784469287e-07
"MSTRG.14832",5735.48355514535,-30,4.51795968407322,-6.64016549456084,3.13331146428092e-11,3.00465769555754e-07
"MSTRG.14460",636.201506300666,-26.5222360895667,4.06905127836386,-6.51803928610876,7.1232338530656e-11,5.69229489254894e-07
"MSTRG.81171",1044.95632201059,-25.0396913292034,3.97327569580678,-6.30202715498178,2.93777679918963e-10,2.01225120272493e-06
"MSTRG.79721",99.1361818540141,-21.0712662682705,3.38511336281218,-6.22468555994402,4.8252275481322e-10,2.89193981562868e-06
"MSTRG.59227",50.3183061043254,-24.6837190839316,3.99006785419261,-6.18629055593499,6.15964294549166e-10,3.28151555897209e-06
"MSTRG.32117",94.0810288600917,-21.9191589039015,3.59129493184778,-6.10341376017919,1.03826600650024e-09,4.64813086694765e-06
"MSTRG.59816",13.4717708037638,-29.9559131052007,4.92273325740486,-6.08521964096684,1.16331721282607e-09,4.64813086694765e-06
"MSTRG.43079",137.159579469484,-21.7386667826447,3.57071246812304,-6.08804740698478,1.14296031785483e-09,4.64813086694765e-06
"MSTRG.56797",57.2315749129997,-24.5688037452116,4.05361853698472,-6.06095603743887,1.35314817074395e-09,4.99072271866616e-06
"MSTRG.67421",94.5162014607406,-21.2630193098215,3.5652373135574,-5.9639842848512,2.4616042432588e-09,7.84528138750798e-06
"MSTRG.77321",8.26375762034916,-30,5.02166714314697,-5.97411161369801,2.3134737861499e-09,7.84528138750798e-06
"MSTRG.53901",184.074227096037,-21.4087834794595,3.59574728141519,-5.95391772667447,2.61798448704043e-09,7.84528138750798e-06
"MSTRG.54852|LOC111102883",356.8213188862,-22.275296496756,3.74888620096436,-5.94184387112788,2.81833786592494e-09,7.94887327397076e-06
"MSTRG.57139",125.359482314025,-20.1263708102989,3.40602283459831,-5.9090533997176,3.44079161544602e-09,8.68292818872581e-06
"MSTRG.4658",33.8608439002857,-21.3566195945378,3.60886169820716,-5.91782711017924,3.26222612776439e-09,8.68292818872581e-06
"MSTRG.57095",157.7572761958,-30,5.10580468597235,-5.87566541321523,4.2114819083365e-09,1.00963961529505e-05
"MSTRG.69035|LOC111115132",14.7969481710231,-29.9113370297755,5.13471132824291,-5.82532008474391,5.70032397272256e-09,1.30149254057204e-05
"MSTRG.12131|LOC111120197",9.07095971953786,-30,5.20196149480952,-5.76705537515681,8.06685527311472e-09,1.75809777172742e-05
"MSTRG.53416",8.9945840748665,-30,5.22111345091423,-5.74590080871484,9.14328971961263e-09,1.87091395358006e-05
"MSTRG.56325",80.1346099899702,-25.634515749916,4.46450648861123,-5.74184757381552,9.36491018956797e-09,1.87091395358006e-05
"MSTRG.21796",441.615642364892,-23.7553452281357,4.14274248781864,-5.7342075443951,9.79693086486429e-09,1.87893377671059e-05
"MSTRG.46318",313.811248347232,-26.1274233336389,4.56245451944543,-5.72661562373551,1.02453942734425e-08,1.88936892011056e-05
"MSTRG.24406",32.3508620619406,-26.4947995306457,4.64054753612785,-5.70941237523738,1.13366905144482e-08,1.94306067699838e-05
"MSTRG.46238|LOC111136991",31.331418361531,-30,5.25462428040832,-5.70925691335419,1.13470496498122e-08,1.94306067699838e-05
"MSTRG.65238",7192.80813367047,-16.4407049754748,2.88816502183741,-5.69243961171422,1.25236898999552e-08,2.07059779183845e-05
"MSTRG.4090",115.761918122905,-22.396449640758,4.01177738730631,-5.58267507853818,2.36846984124077e-08,3.78536744926571e-05
"MSTRG.50478",159.262020955769,-24.0806908364924,4.38196246866717,-5.49541238855404,3.8979842829596e-08,6.02892427145368e-05
"MSTRG.5026|LOC111122940",582.922575520512,-23.0527208717117,4.20364137737012,-5.48398847623246,4.15841871669018e-08,6.23074069403576e-05
"MSTRG.64938",78.9828257748757,-25.5454716519796,4.68329372548283,-5.45459523774498,4.90845224754706e-08,6.77673510076486e-05
"MSTRG.63385",71.252543626614,-24.8915419390368,4.56456608183893,-5.45321099371809,4.9468314707233e-08,6.77673510076486e-05
"MSTRG.31814|LOC111129694",41.105251823231,-29.8103600493969,5.45885775333716,-5.46091534097457,4.73685906727353e-08,6.77673510076486e-05
"MSTRG.48267",24.4115331681807,-29.9964912667819,5.57235611429472,-5.38308942420823,7.32181398851611e-08,9.75163931409394e-05
"MSTRG.10253",33.9886566512567,-30,5.60513138948184,-5.35223849637062,8.68727948412722e-08,0.000112575402547418
"MSTRG.71128",319.816909707592,-29.8688422860844,5.58905341886665,-5.34416833184272,9.08331277907262e-08,0.000114609894162683
"MSTRG.33703",67.5717445025226,-23.2288460213922,4.35478417475991,-5.33409810663529,9.6020601053691e-08,0.000115568121037214
"MSTRG.26788|LOC111130251",16.7486248901416,-21.7228241158415,4.07301105792682,-5.33335751042584,9.64132237989561e-08,0.000115568121037214
"MSTRG.84223",19.9631216253871,-27.8742889124658,5.25349275287276,-5.30585844954736,1.12143959207919e-07,0.000128023009812907
"MSTRG.44291",173.837420309889,-21.1772290360515,3.99032827686663,-5.30713955511468,1.11358919782265e-07,0.000128023009812907
"MSTRG.67412",79.8346037103085,-30,5.66180681574728,-5.29866188944499,1.166544204104e-07,0.000130075104544592
"MSTRG.15999",351.819095864607,-21.9319954596843,4.14819829113773,-5.28711356603665,1.24261499959003e-07,0.000132399247522984
