"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111101076","GO:0006357","regulation of transcription by RNA polymerase II",904,5,1.89,0.0382,"Biological Processes",0.00553097345132743
"2","LOC111102644","GO:0034772","histone H4-K20 dimethylation",1,1,0,0.0021,"Biological Processes",1
"3","LOC111102644","GO:0034773","histone H4-K20 trimethylation",1,1,0,0.0021,"Biological Processes",1
"4","LOC111103835","GO:0006357","regulation of transcription by RNA polymerase II",904,5,1.89,0.0382,"Biological Processes",0.00553097345132743
"5","LOC111118959","GO:0006357","regulation of transcription by RNA polymerase II",904,5,1.89,0.0382,"Biological Processes",0.00553097345132743
"6","LOC111125988","GO:0035434","copper ion transmembrane transport",5,1,0.01,0.0104,"Biological Processes",0.2
"7","LOC111131872","GO:0030100","regulation of endocytosis",13,1,0.03,0.0269,"Biological Processes",0.0769230769230769
"8","LOC111131872","GO:0097320","plasma membrane tubulation",5,1,0.01,0.0104,"Biological Processes",0.2
"9","LOC111133398","GO:0006689","ganglioside catabolic process",23,1,0.05,0.0472,"Biological Processes",0.0434782608695652
"10","LOC111134230","GO:0030866","cortical actin cytoskeleton organization",15,1,0.03,0.031,"Biological Processes",0.0666666666666667
"11","LOC111134230","GO:0051639","actin filament network formation",6,1,0.01,0.0125,"Biological Processes",0.166666666666667
"12","LOC111135214","GO:0006357","regulation of transcription by RNA polymerase II",904,5,1.89,0.0382,"Biological Processes",0.00553097345132743
"13","LOC111135403","GO:0006481","C-terminal protein methylation",2,1,0,0.0042,"Biological Processes",0.5
"14","LOC111135901","GO:0015874","norepinephrine transport",2,1,0,0.0042,"Biological Processes",0.5
"15","LOC111135901","GO:0051583","dopamine uptake involved in synaptic transmission",2,1,0,0.0042,"Biological Processes",0.5
"16","LOC111136140","GO:0099536","synaptic signaling",344,2,0.72,0.0083,"Biological Processes",0.00581395348837209
"17","LOC111138001","GO:0006357","regulation of transcription by RNA polymerase II",904,5,1.89,0.0382,"Biological Processes",0.00553097345132743
"18","LOC111127376","GO:0031462","Cul2-RING ubiquitin ligase complex",7,1,0.01,0.0148,"Cellular Components",0.142857142857143
"19","LOC111128085","GO:0005871","kinesin complex",13,1,0.03,0.0274,"Cellular Components",0.0769230769230769
"20","LOC111128085","GO:0043227","membrane-bounded organelle",5646,12,12.05,0.018,"Cellular Components",0.00212539851222104
"21","LOC111130384","GO:0032589","neuron projection membrane",18,1,0.04,0.0378,"Cellular Components",0.0555555555555556
"22","LOC111135433","GO:0005844","polysome",12,1,0.03,0.0253,"Cellular Components",0.0833333333333333
"23","LOC111135901","GO:0032809","neuronal cell body membrane",3,1,0.01,0.0064,"Cellular Components",0.333333333333333
"24","LOC111135901","GO:0042734","presynaptic membrane",10,1,0.02,0.0211,"Cellular Components",0.1
"25","LOC111102644","GO:0042799","histone methyltransferase activity (H4-K20 specific)",3,1,0.01,0.0057,"Molecular Functions",0.333333333333333
"26","LOC111102913","GO:0005179","hormone activity",13,1,0.02,0.0243,"Molecular Functions",0.0769230769230769
"27","LOC111103835","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",4,1,0.01,0.0075,"Molecular Functions",0.25
"28","LOC111103835","GO:0042826","histone deacetylase binding",12,1,0.02,0.0224,"Molecular Functions",0.0833333333333333
"29","LOC111107019","GO:0005096","GTPase activator activity",86,2,0.16,0.0115,"Molecular Functions",0.0232558139534884
"30","LOC111122333","GO:0000026","alpha-1,2-mannosyltransferase activity",5,1,0.01,0.0094,"Molecular Functions",0.2
"31","LOC111123483","GO:0005096","GTPase activator activity",86,2,0.16,0.0115,"Molecular Functions",0.0232558139534884
"32","LOC111125452","GO:0030695","GTPase regulator activity",92,3,0.17,0.0107,"Molecular Functions",0.0326086956521739
"33","LOC111125988","GO:0005375","copper ion transmembrane transporter activity",6,1,0.01,0.0113,"Molecular Functions",0.166666666666667
"34","LOC111128085","GO:0019894","kinesin binding",8,1,0.02,0.015,"Molecular Functions",0.125
"35","LOC111128450","GO:0004499","N,N-dimethylaniline monooxygenase activity",9,1,0.02,0.0169,"Molecular Functions",0.111111111111111
"36","LOC111128450","GO:0050661","NADP binding",26,1,0.05,0.048,"Molecular Functions",0.0384615384615385
"37","LOC111131538","GO:0001784","phosphotyrosine residue binding",2,1,0,0.0038,"Molecular Functions",0.5
"38","LOC111132623","GO:0005220","inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",5,1,0.01,0.0094,"Molecular Functions",0.2
"39","LOC111132623","GO:0070679","inositol 1,4,5 trisphosphate binding",14,1,0.03,0.0261,"Molecular Functions",0.0714285714285714
"40","LOC111133398","GO:0004563","beta-N-acetylhexosaminidase activity",18,1,0.03,0.0335,"Molecular Functions",0.0555555555555556
"41","LOC111135403","GO:0018423","protein C-terminal leucine carboxyl O-methyltransferase activity",1,1,0,0.0019,"Molecular Functions",1
"42","LOC111135901","GO:0005330","dopamine:sodium symporter activity",2,1,0,0.0038,"Molecular Functions",0.5
