"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111103611","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",31,1,0.03,0.02692,"Biological Processes",0.032258064516129
"2","LOC111103611","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle",2,1,0,0.00176,"Biological Processes",0.5
"3","LOC111105688","GO:0000245","spliceosomal complex assembly",21,1,0.02,0.01831,"Biological Processes",0.0476190476190476
"4","LOC111105688","GO:0050684","regulation of mRNA processing",32,1,0.03,0.02778,"Biological Processes",0.03125
"5","LOC111108535","GO:0055088","lipid homeostasis",22,1,0.02,0.01917,"Biological Processes",0.0454545454545455
"6","LOC111119460","GO:0043484","regulation of RNA splicing",36,1,0.03,0.0312,"Biological Processes",0.0277777777777778
"7","LOC111126062","GO:0032468","Golgi calcium ion homeostasis",2,1,0,0.00176,"Biological Processes",0.5
"8","LOC111126062","GO:0032472","Golgi calcium ion transport",2,1,0,0.00176,"Biological Processes",0.5
"9","LOC111126062","GO:0071421","manganese ion transmembrane transport",2,1,0,0.00176,"Biological Processes",0.5
"10","LOC111127981","GO:0006470","protein dephosphorylation",354,2,0.31,0.03744,"Biological Processes",0.00564971751412429
"11","LOC111131917","GO:0018105","peptidyl-serine phosphorylation",50,1,0.04,0.04309,"Biological Processes",0.02
"12","LOC111133928","GO:0001666","response to hypoxia",8,1,0.01,0.00701,"Biological Processes",0.125
"13","LOC111133928","GO:0035331","negative regulation of hippo signaling",1,1,0,0.00088,"Biological Processes",1
"14","LOC111133928","GO:2000637","positive regulation of gene silencing by miRNA",1,1,0,0.00088,"Biological Processes",1
"15","LOC111134680","GO:0006890","retrograde vesicle-mediated transport, Golgi to ER",23,1,0.02,0.02004,"Biological Processes",0.0434782608695652
"16","LOC111134940","GO:0006470","protein dephosphorylation",354,2,0.31,0.03744,"Biological Processes",0.00564971751412429
"17","LOC111135642","GO:0007417","central nervous system development",33,1,0.03,0.02863,"Biological Processes",0.0303030303030303
"18","LOC111103611","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",25,1,0.02,0.0183,"Cellular Components",0.04
"19","LOC111103611","GO:0005634","nucleus",3481,6,2.56,0.0067,"Cellular Components",0.00172364263142775
"20","LOC111119460","GO:0005634","nucleus",3481,6,2.56,0.0067,"Cellular Components",0.00172364263142775
"21","LOC111127981","GO:0000159","protein phosphatase type 2A complex",7,1,0.01,0.0051,"Cellular Components",0.142857142857143
"22","LOC111127981","GO:0005634","nucleus",3481,6,2.56,0.0067,"Cellular Components",0.00172364263142775
"23","LOC111133928","GO:0000932","P-body",39,1,0.03,0.0283,"Cellular Components",0.0256410256410256
"24","LOC111133928","GO:0005634","nucleus",3481,6,2.56,0.0067,"Cellular Components",0.00172364263142775
"25","LOC111133928","GO:0005912","adherens junction",48,1,0.04,0.0348,"Cellular Components",0.0208333333333333
"26","LOC111134680","GO:0030134","COPII-coated ER to Golgi transport vesicle",40,1,0.03,0.0291,"Cellular Components",0.025
"27","LOC111135642","GO:0005634","nucleus",3481,6,2.56,0.0067,"Cellular Components",0.00172364263142775
"28","LOC111103611","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",36,1,0.02,0.02362,"Molecular Functions",0.0277777777777778
"29","LOC111105688","GO:0005524","ATP binding",1286,3,0.85,0.04911,"Molecular Functions",0.00233281493001555
"30","LOC111123885","GO:0005524","ATP binding",1286,3,0.85,0.04911,"Molecular Functions",0.00233281493001555
"31","LOC111125991","GO:0008048","calcium sensitive guanylate cyclase activator activity",1,1,0,0.00066,"Molecular Functions",1
"32","LOC111126062","GO:0005384","manganese ion transmembrane transporter activity",5,1,0,0.00331,"Molecular Functions",0.2
"33","LOC111127981","GO:0072542","protein phosphatase activator activity",6,1,0,0.00397,"Molecular Functions",0.166666666666667
"34","LOC111131917","GO:0005524","ATP binding",1286,3,0.85,0.04911,"Molecular Functions",0.00233281493001555
"35","LOC111133928","GO:0003714","transcription corepressor activity",69,1,0.05,0.04482,"Molecular Functions",0.0144927536231884
"36","LOC111135642","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",31,1,0.02,0.02037,"Molecular Functions",0.032258064516129
