"gene_id"	"GO_Annotation"
"LOC111118956"	"GO:0004768; GO:0005506; GO:0005789; GO:0006636"
"LOC111119231"	"GO:0030833; GO:0031267; GO:0031267"
"LOC111121848"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006364; GO:0006412; GO:0006412; GO:0022627; GO:0030686; GO:0032040; GO:0042274"
"LOC111126343"	"GO:0016020; GO:0016020"
"LOC111128694"	"GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0022625"
"LOC111133035"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111134449"	"GO:0003729; GO:0005634; GO:0005737; GO:0017148"
"LOC111135408"	"GO:0005484; GO:0005886; GO:0006906; GO:0016192; GO:0019905; GO:0031201"
"LOC111135509"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111135796"	"GO:0006511; GO:0006511; GO:0019902; GO:0031464; GO:0031464"
"LOC111137463"	"GO:0005886; GO:0006508; GO:0006508; GO:0008237; GO:0008237; GO:0008241; GO:0008241"
