"gene_id"	"GO_Annotation"
"LOC111103611"	"GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0016538; GO:0044772; GO:1900087"
"LOC111105688"	"GO:0000245; GO:0004672; GO:0005524; GO:0006468; GO:0050684"
"LOC111106005"	"GO:0005509"
"LOC111108535"	"GO:0005783; GO:0016020; GO:0055088"
"LOC111117941"	"GO:0004714; GO:0005515; GO:0005524; GO:0006468; GO:0007169; GO:0007275; GO:0033674; GO:0043235"
"LOC111119460"	"GO:0003729; GO:0005634; GO:0043484"
"LOC111123885"	"GO:0005524; GO:0140662"
"LOC111125333"	"GO:0005516; GO:0005516; GO:0007026; GO:0030507; GO:0031122; GO:0031175; GO:0036449; GO:0051011"
"LOC111125991"	"GO:0005509; GO:0005509; GO:0008048"
"LOC111126062"	"GO:0005384; GO:0005794; GO:0015085; GO:0032468; GO:0032472; GO:0070588; GO:0071421"
"LOC111126571"	"GO:0005509"
"LOC111127649"	"GO:0000209; GO:0043161; GO:0061630"
"LOC111127981"	"GO:0000159; GO:0000159; GO:0005634; GO:0005829; GO:0006470; GO:0007165; GO:0007165; GO:0072542"
"LOC111128293"	"GO:0042981"
"LOC111131917"	"GO:0004674; GO:0004674; GO:0005524; GO:0018105; GO:0035556"
"LOC111133928"	"GO:0000932; GO:0001666; GO:0003714; GO:0005634; GO:0005667; GO:0005912; GO:0006355; GO:0007010; GO:0035331; GO:2000637"
"LOC111134324"	"GO:0006486; GO:0006486; GO:0008194; GO:0016020; GO:0016020; GO:0016758; GO:0016758"
"LOC111134680"	"GO:0000139; GO:0005783; GO:0005789; GO:0006888; GO:0006890; GO:0030134"
"LOC111134940"	"GO:0004725; GO:0006470"
"LOC111135642"	"GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0007417"
"LOC111135693"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111137023"	"GO:0003854; GO:0006694"
"LOC111137455"	"GO:0005737"
"LOC111138032"	"GO:0006487; GO:0008375"
