"gene_id"	"GO_Annotation"
"LOC111100621"	"GO:0043066"
"LOC111101076"	"GO:0000978; GO:0001228; GO:0005634; GO:0006357"
"LOC111102770"	"GO:0005634; GO:0005737; GO:0005876; GO:0051726"
"LOC111102870"	"GO:0004930; GO:0004930; GO:0005886; GO:0007186; GO:0007186"
"LOC111103835"	"GO:0000978; GO:0001227; GO:0005634; GO:0005737; GO:0006357; GO:0042826; GO:0045165"
"LOC111104021"	"GO:0005515; GO:0044782"
"LOC111105796"	"GO:0005576; GO:0030414"
"LOC111105842"	"GO:0004867; GO:0005615; GO:0010951"
"LOC111107019"	"GO:0005096; GO:0005634; GO:0005829; GO:0006913; GO:0031267; GO:0048471; GO:0090630"
"LOC111109956"	"GO:0002224; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0016020"
"LOC111117921"	"GO:0005515; GO:0005634; GO:0006355; GO:0008270"
"LOC111118959"	"GO:0000978; GO:0000981; GO:0005634; GO:0005634; GO:0006357"
"LOC111123483"	"GO:0005096; GO:0005515; GO:0007264; GO:0035091"
"LOC111123901"	"GO:0005515; GO:0007165"
"LOC111124698"	"GO:0003723; GO:1990904"
"LOC111125367"	"GO:0042254; GO:1990904"
"LOC111125452"	"GO:0005515; GO:0030695"
"LOC111125988"	"GO:0005375; GO:0005375; GO:0016020; GO:0016020; GO:0035434; GO:0035434"
"LOC111128085"	"GO:0005737; GO:0005871; GO:0005871; GO:0007018; GO:0019894; GO:0043227"
"LOC111128450"	"GO:0004499; GO:0050660; GO:0050661"
"LOC111131538"	"GO:0001784"
"LOC111131872"	"GO:0005515; GO:0005543; GO:0005737; GO:0005768; GO:0005886; GO:0007010; GO:0030100; GO:0097320"
"LOC111132623"	"GO:0005220; GO:0005783; GO:0016020; GO:0070588; GO:0070679"
"LOC111133260"	"GO:0004725; GO:0004725; GO:0006470; GO:0006470"
"LOC111133398"	"GO:0004563; GO:0004563; GO:0005975; GO:0005975; GO:0006689; GO:0016020; GO:0030203"
"LOC111134230"	"GO:0005737; GO:0005856; GO:0030866; GO:0035556; GO:0051015; GO:0051639"
"LOC111135214"	"GO:0000977; GO:0000981; GO:0005634; GO:0005667; GO:0005667; GO:0006357; GO:0051726"
"LOC111135403"	"GO:0005829; GO:0006481; GO:0018423"
"LOC111135433"	"GO:0003723; GO:0005737; GO:0005844"
"LOC111135901"	"GO:0005330; GO:0015874; GO:0032809; GO:0035725; GO:0042734; GO:0043005; GO:0051583"
"LOC111136140"	"GO:0005886; GO:0008270; GO:0099536"
