"gene_id"	"GO_Annotation"
"LOC111099481"	"GO:0000978; GO:0003700; GO:0006357"
"LOC111100354"	"GO:0008270"
"LOC111100470"	"GO:0005634; GO:0005737; GO:0005876; GO:0043027; GO:0043066; GO:0051726"
"LOC111100935"	"GO:0005515"
"LOC111103265"	"GO:0002224; GO:0004888; GO:0006954; GO:0006955; GO:0016020"
"LOC111103848"	"GO:0005515"
"LOC111106409"	"GO:0005044"
"LOC111106852"	"GO:0005515; GO:0005615"
"LOC111107894"	"GO:0005515; GO:0005615"
"LOC111108150"	"GO:0000724; GO:0016579; GO:0043130"
"LOC111108225"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111109364"	"GO:0005615"
"LOC111109812"	"GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC111109928"	"GO:0005515"
"LOC111113280"	"GO:0005509"
"LOC111115122"	"GO:0004725; GO:0004725; GO:0005856; GO:0006470; GO:0008092"
"LOC111115369"	"GO:0005515"
"LOC111115487"	"GO:0004674; GO:0005524; GO:0005737; GO:0005794; GO:0006468"
"LOC111116824"	"GO:0008270"
"LOC111117305"	"GO:0000978; GO:0003700; GO:0006357"
"LOC111118237"	"GO:0004930; GO:0007166; GO:0007186; GO:0016020"
"LOC111119666"	"GO:0016020; GO:0016192; GO:0090161"
"LOC111120602"	"GO:0000139; GO:0005096; GO:0005096; GO:0030100; GO:0032012"
"LOC111121630"	"GO:0005509"
"LOC111121716"	"GO:0000724; GO:0005524; GO:0005634; GO:0007131; GO:0015616; GO:0140658"
"LOC111121921"	"GO:0004252; GO:0004252; GO:0016020"
"LOC111122623"	"GO:0005524; GO:0005737; GO:0016887; GO:0016887"
"LOC111123512"	"GO:0005509"
"LOC111125099"	"GO:0005515; GO:0005737; GO:0016020; GO:0061024"
"LOC111126571"	"GO:0005509"
"LOC111126611"	"GO:0030431; GO:0032222; GO:1903818"
"LOC111127041"	"GO:0008028; GO:0015718; GO:0055085"
"LOC111128971"	"GO:0003725; GO:0003726; GO:0005730; GO:0005737; GO:0006382; GO:0006396; GO:0006396; GO:0008251"
"LOC111129820"	"GO:0003729; GO:0005634; GO:0005737; GO:1990904"
"LOC111129947"	"GO:0000724; GO:0000724; GO:0006355"
"LOC111130818"	"GO:0051726"
"LOC111131487"	"GO:0000717; GO:0003678; GO:0003678; GO:0003684; GO:0005524; GO:0005634; GO:0005634; GO:0006289; GO:0006289; GO:0006366; GO:0008168; GO:0008270; GO:0016818; GO:0045951"
"LOC111132730"	"GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111133031"	"GO:0003714; GO:0003723; GO:0003950; GO:0005634; GO:0005737; GO:0008270; GO:0010629"
"LOC111133035"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111133635"	"GO:0005516; GO:0005516; GO:0005886; GO:0016286; GO:0016286; GO:0043005; GO:0043025; GO:0071805"
"LOC111134680"	"GO:0000139; GO:0005783; GO:0005789; GO:0006888; GO:0006890; GO:0030134"
"LOC111135898"	"GO:0005615; GO:0031012"
"LOC111136017"	"GO:0004713; GO:0004713; GO:0005524; GO:0006468"
"LOC111136999"	"GO:0001591; GO:0004930; GO:0004930; GO:0016020; GO:0071880"
