"gene_id"	"GO_Annotation"
"LOC111100621"	"GO:0043066"
"LOC111100653"	"GO:0033178; GO:0046961; GO:0046983; GO:1902600"
"LOC111103658"	"GO:0005515"
"LOC111104020"	"GO:0023041; GO:0023041; GO:0030867; GO:0030867"
"LOC111105102"	"GO:0005737; GO:0006446"
"LOC111105213"	"GO:0000723; GO:0003678; GO:0006281"
"LOC111105298"	"GO:0005783; GO:0005829; GO:0006979; GO:0008379; GO:0033554; GO:0042744; GO:0045454"
"LOC111105842"	"GO:0004867; GO:0005615; GO:0010951"
"LOC111106359"	"GO:0000151; GO:0005515; GO:0005737"
"LOC111106442"	"GO:0005515; GO:0008270"
"LOC111106613"	"GO:0101030"
"LOC111106627"	"GO:0005515; GO:0008270"
"LOC111107407"	"GO:0008270"
"LOC111108040"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111108101"	"GO:0005615; GO:0062023"
"LOC111108955"	"GO:0005576; GO:0030414"
"LOC111109956"	"GO:0002224; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0016020"
"LOC111110122"	"GO:0005515; GO:0005615"
"LOC111110849"	"GO:0005515"
"LOC111110896"	"GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111111685"	"GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111112412"	"GO:0004379; GO:0004379; GO:0005737; GO:0018008"
"LOC111112602"	"GO:0046592"
"LOC111113398"	"GO:0001514; GO:0003730; GO:0035368; GO:0043021; GO:1990904"
"LOC111115870"	"GO:0005515"
"LOC111117921"	"GO:0005515; GO:0005634; GO:0006355; GO:0008270"
"LOC111118300"	"GO:0000786; GO:0003677; GO:0004402; GO:0005634; GO:0006334; GO:0006355; GO:0008270; GO:0043966"
"LOC111118776"	"GO:0008270; GO:0031462"
"LOC111118959"	"GO:0000978; GO:0000981; GO:0005634; GO:0005634; GO:0006357"
"LOC111120197"	"GO:0004930; GO:0007186; GO:0016020"
"LOC111120385"	"GO:0004713; GO:0005524; GO:0006468"
"LOC111121910"	"GO:0005515"
"LOC111121973"	"GO:0003700; GO:0003700; GO:0006355; GO:0006355; GO:0043565"
"LOC111122156"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111122534"	"GO:0004888; GO:0004888; GO:0005230; GO:0007165; GO:0007268; GO:0016020; GO:0016020; GO:0030594; GO:0034220; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877"
"LOC111122592"	"GO:0007155; GO:0030246"
"LOC111124011"	"GO:0004714; GO:0005509; GO:0005524; GO:0006468; GO:0007169; GO:0007275; GO:0033674; GO:0043235"
"LOC111124843"	"GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565"
"LOC111125215"	"GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0008061"
"LOC111125377"	"GO:0003714; GO:0003950; GO:0005634; GO:0005737; GO:0010629"
"LOC111125896"	"GO:0005524; GO:0015421; GO:0016020; GO:0016887; GO:0055085"
"LOC111125988"	"GO:0005375; GO:0005375; GO:0016020; GO:0016020; GO:0035434; GO:0035434"
"LOC111125992"	"GO:0004857; GO:0005515; GO:0005737; GO:0019208"
"LOC111126370"	"GO:0005576; GO:0005615"
"LOC111128450"	"GO:0004499; GO:0050660; GO:0050661"
"LOC111129413"	"GO:0005802"
"LOC111129466"	"GO:0005929; GO:0030991; GO:0030991; GO:0035721"
"LOC111129694"	"GO:0005515"
"LOC111129886"	"GO:0005764; GO:0005770; GO:0005829; GO:0016197; GO:0030119"
"LOC111129928"	"GO:0003746; GO:0005634; GO:0005737; GO:0006414; GO:0006414"
"LOC111131462"	"GO:0003824; GO:0005975"
"LOC111131607"	"GO:0000151; GO:0000209; GO:0000422; GO:0001933; GO:0005737; GO:0005783; GO:0005794; GO:0005829; GO:0006511; GO:0008270; GO:0010821; GO:0031624; GO:0032436; GO:0042981; GO:0061630; GO:1900407"
"LOC111134230"	"GO:0005737; GO:0005856; GO:0030866; GO:0035556; GO:0051015; GO:0051639"
"LOC111135084"	"GO:0000281; GO:0005515; GO:0005768"
"LOC111135214"	"GO:0000977; GO:0000981; GO:0005634; GO:0005667; GO:0005667; GO:0006357; GO:0051726"
"LOC111135790"	"GO:0005634"
"LOC111135860"	"GO:0004930; GO:0004930; GO:0016020; GO:0071880"
"LOC111135901"	"GO:0005330; GO:0015874; GO:0032809; GO:0035725; GO:0042734; GO:0043005; GO:0051583"
"LOC111136629"	"GO:0000462; GO:0005730; GO:0032040"
"LOC111136991"	"GO:0003677; GO:0003899; GO:0003899; GO:0005665; GO:0006351; GO:0006351; GO:0032549; GO:0032549"
"LOC111138063"	"GO:0005524; GO:0007018; GO:0007018; GO:0008569; GO:0008569; GO:0016887; GO:0030286; GO:0030286; GO:0045505; GO:0051959"
