"gene_id"	"GO_Annotation"
"LOC111099481"	"GO:0000978; GO:0003700; GO:0006357"
"LOC111099655"	"GO:0016624"
"LOC111099985"	"GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231"
"LOC111100471"	"GO:0005634; GO:0005737; GO:0005876; GO:0043027; GO:0043066; GO:0051726"
"LOC111103265"	"GO:0002224; GO:0004888; GO:0006954; GO:0006955; GO:0016020"
"LOC111103270"	"GO:0005634; GO:0005737; GO:0031398; GO:0043027; GO:0043066; GO:0051726; GO:0061630"
"LOC111103848"	"GO:0005515"
"LOC111106522"	"GO:0000209; GO:0008270; GO:0043161; GO:0061630"
"LOC111108594"	"GO:0005044"
"LOC111111233"	"GO:0008270"
"LOC111111716"	"GO:0016491"
"LOC111114538"	"GO:0016567; GO:0019005; GO:0031146; GO:0031462; GO:0031625; GO:0031625"
"LOC111114780"	"GO:0005524; GO:0140662"
"LOC111115369"	"GO:0005515"
"LOC111116824"	"GO:0008270"
"LOC111116908"	"GO:0038023"
"LOC111117570"	"GO:0006486; GO:0006486; GO:0016020; GO:0016020; GO:0016758; GO:0016758"
"LOC111118237"	"GO:0004930; GO:0007166; GO:0007186; GO:0016020"
"LOC111118714"	"GO:0005737; GO:0009143; GO:0009143; GO:0047429; GO:0047429"
"LOC111118900"	"GO:0007165"
"LOC111122190"	"GO:0005789; GO:0006616; GO:0006616; GO:0045048"
"LOC111123608"	"GO:0000254; GO:0005506; GO:0016126"
"LOC111124666"	"GO:0004115; GO:0004118; GO:0005634; GO:0005741; GO:0005743; GO:0005759; GO:0005829; GO:0010628; GO:0010754; GO:0010821; GO:0019933; GO:0019934; GO:0042803; GO:0043951; GO:0046069; GO:0047555; GO:0048471; GO:0097060"
"LOC111125014"	"GO:0005025; GO:0005524; GO:0005524; GO:0005886; GO:0006468; GO:0006468; GO:0009953; GO:0030509; GO:0043235; GO:0046332; GO:0071363"
"LOC111126520"	"GO:0005515"
"LOC111126611"	"GO:0030431; GO:0032222; GO:1903818"
"LOC111126683"	"GO:0004930; GO:0004930; GO:0005886; GO:0007186; GO:0007186"
"LOC111127317"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008270"
"LOC111127320"	"GO:0015252; GO:0015252; GO:0016020; GO:0016020; GO:1902600; GO:1902600"
"LOC111129947"	"GO:0000724; GO:0000724; GO:0006355"
"LOC111130818"	"GO:0051726"
"LOC111131487"	"GO:0000717; GO:0003678; GO:0003678; GO:0003684; GO:0005524; GO:0005634; GO:0005634; GO:0006289; GO:0006289; GO:0006366; GO:0008168; GO:0008270; GO:0016818; GO:0045951"
"LOC111133635"	"GO:0005516; GO:0005516; GO:0005886; GO:0016286; GO:0016286; GO:0043005; GO:0043025; GO:0071805"
"LOC111133803"	"GO:0004930; GO:0007186; GO:0016020"
"LOC111133837"	"GO:0004970; GO:0016020"
"LOC111134064"	"GO:0005615; GO:0030510"
"LOC111134224"	"GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893"
"LOC111134455"	"GO:0003921; GO:0003921; GO:0003922; GO:0005524; GO:0005829; GO:0006177; GO:0006177"
"LOC111136074"	"GO:0015015; GO:0016020; GO:0016020; GO:0017095"
