"gene_id"	"GO_Annotation"
"LOC111099801"	"GO:0005524; GO:0042981; GO:0140662"
"LOC111100400"	"GO:0005634; GO:0005737; GO:0005876; GO:0043027; GO:0043066; GO:0051726"
"LOC111100580"	"GO:0003676; GO:0005515"
"LOC111100621"	"GO:0043066"
"LOC111100653"	"GO:0033178; GO:0046961; GO:0046983; GO:1902600"
"LOC111100706"	"GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231"
"LOC111101179"	"GO:0000209; GO:0008270; GO:0043161; GO:0061630"
"LOC111102252"	"GO:0005506; GO:0005737; GO:0006082; GO:0006805; GO:0016712; GO:0020037; GO:0020037; GO:0043231"
"LOC111103347"	"GO:0004672; GO:0004672; GO:0005515; GO:0005524; GO:0005525; GO:0006468; GO:0008270"
"LOC111103361"	"GO:0002224; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0016020"
"LOC111103444"	"GO:0005634; GO:0010468"
"LOC111103658"	"GO:0005515"
"LOC111104287"	"GO:0005615; GO:0050728"
"LOC111104324"	"GO:0000723; GO:0000724; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0006268; GO:0009378; GO:0043138; GO:0044806"
"LOC111105102"	"GO:0005737; GO:0006446"
"LOC111105298"	"GO:0005783; GO:0005829; GO:0006979; GO:0008379; GO:0033554; GO:0042744; GO:0045454"
"LOC111106359"	"GO:0000151; GO:0005515; GO:0005737"
"LOC111106442"	"GO:0005515; GO:0008270"
"LOC111106627"	"GO:0005515; GO:0008270"
"LOC111106631"	"GO:0005515; GO:0008270"
"LOC111106716"	"GO:0005044"
"LOC111106800"	"GO:0003779; GO:0004672; GO:0005524; GO:0005769; GO:0005770; GO:0006468; GO:0006622; GO:0008333; GO:0031313; GO:0035091; GO:0035091; GO:0045022"
"LOC111107262"	"GO:0005515; GO:0008270"
"LOC111107786"	"GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630"
"LOC111108277"	"GO:0008168; GO:0008270; GO:0009086"
"LOC111108357"	"GO:0005545; GO:0005769; GO:0006897; GO:0046872"
"LOC111108387"	"GO:0005515"
"LOC111108955"	"GO:0005576; GO:0030414"
"LOC111109956"	"GO:0002224; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0016020"
"LOC111110122"	"GO:0005515; GO:0005615"
"LOC111110849"	"GO:0005515"
"LOC111110896"	"GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111111461"	"GO:0002020; GO:0005615; GO:0008191; GO:0008191; GO:0010033; GO:0010951; GO:0031012; GO:0051045"
"LOC111111685"	"GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111112151"	"GO:0002224; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0016020"
