GeneID	Annotation_GO_ID
ATP6	unknown
COX1	GO:0005622;GO:0006091;GO:0016491;GO:0022857;GO:0032991
COX2	GO:0005622;GO:0006091;GO:0016491;GO:0022857;GO:0032991;GO:0043167
COX3	GO:0005622;GO:0006091;GO:0016491;GO:0022857;GO:0032991
CYTB	unknown
gene20306	unknown
gene38282	unknown
LOC111099035	unknown
LOC111099035	unknown
LOC111099040	GO:0003674
LOC111099040	unknown
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	unknown
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099040	GO:0003674
LOC111099042	unknown
LOC111099043	GO:0005575;GO:0022857
LOC111099043	GO:0005575;GO:0022857
LOC111099045	unknown
LOC111099045	unknown
LOC111099047	GO:0005575;GO:0022857
LOC111099047	GO:0005575;GO:0022857
LOC111099047	GO:0005575;GO:0022857
LOC111099047	GO:0005575;GO:0022857
LOC111099047	GO:0005575;GO:0022857
LOC111099047	GO:0005575;GO:0022857
LOC111099047	GO:0005575;GO:0022857
LOC111099048	GO:0003674
LOC111099049	unknown
LOC111099049	unknown
LOC111099050	GO:0003674
LOC111099053	GO:0005840;GO:0008135
LOC111099054	GO:0003674
LOC111099057	GO:0003674;GO:0005576;GO:0007165
LOC111099058	GO:0003674;GO:0005575;GO:0007165
LOC111099059	GO:0003674;GO:0005575;GO:0007165
LOC111099059	GO:0003674;GO:0005575;GO:0007165
LOC111099059	GO:0003674;GO:0005575;GO:0007165
LOC111099060	unknown
LOC111099060	unknown
LOC111099061	unknown
LOC111099063	GO:0006457;GO:0006464;GO:0016853
LOC111099067	GO:0005634;GO:0008168;GO:0034641;GO:0042254
LOC111099068	unknown
LOC111099068	unknown
LOC111099069	GO:0003674
LOC111099071	unknown
LOC111099072	GO:0005575;GO:0022857
LOC111099073	GO:0043167
LOC111099077	GO:0003674
LOC111099079	GO:0003729;GO:0005634;GO:0006397;GO:0016779
LOC111099080	GO:0003674
LOC111099081	GO:0006457;GO:0030234
LOC111099081	GO:0006457;GO:0030234
LOC111099082	unknown
LOC111099084	unknown
LOC111099084	unknown
LOC111099087	GO:0005575;GO:0022857
LOC111099087	GO:0005575;GO:0022857
LOC111099087	GO:0005575;GO:0022857
LOC111099087	GO:0005575;GO:0022857
LOC111099088	unknown
LOC111099088	unknown
LOC111099090	unknown
LOC111099091	unknown
LOC111099092	GO:0005634
LOC111099093	unknown
LOC111099095	unknown
LOC111099095	unknown
LOC111099097	GO:0008168;GO:0034641
LOC111099097	GO:0008168;GO:0034641
LOC111099097	GO:0008168;GO:0034641
LOC111099098	GO:0003674;GO:0005576;GO:0007165
LOC111099099	GO:0003674;GO:0005575;GO:0007165
LOC111099099	GO:0003674;GO:0005575;GO:0007165
LOC111099099	GO:0003674;GO:0005575;GO:0007165
LOC111099100	unknown
LOC111099101	GO:0006464;GO:0006520;GO:0016301;GO:0043167
LOC111099101	GO:0006464;GO:0006520;GO:0016301;GO:0043167
