name	term	lev	seq	value
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136306	0.42485291105062
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111125446	-1.99704350427571
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111126391	-0.00404039723645191
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104407	-1.96291569877077
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122105	3.73416317943985
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104164	-1.47093246519487
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111123422	-1.70578968409973
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111112269	0.0775295202566149
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111124079	1.72606027056471
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135137	-1.93020672344892
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119368	0.0179473106769135
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128742	1.13195056473019
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111113658	-0.0542371426395895
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111114232	-0.054441540686677
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136505	0.297467665097222
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128236	-0.0564483277702989
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111132573	0.196195626433474
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122544	0.150942598102528
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111100475	1.26620203027255
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111105213	-9.26558277469401
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122653	1.463081821024
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136684	0.0400279018668611
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122069	0.220115345422138
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111131268	0.0550574474834105
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111106200	-0.506414261824884
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111123256	-0.286342857856761
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111137527	-4.53761709918552
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118090	2.92240955361525
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111130452	0.658159120839092
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119277	0.373947560203192
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111114518	0.0598154423242496
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119248	-0.0288644360239801
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111099882	-0.805000022020728
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128529	-0.0769628191962652
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104099	0.684328440677971
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111107103	0.363412468324146
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135257	-0.130122032223963
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122164	-0.583733958668218
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111120276	-0.037296109938382
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111127920	-0.490764637515427
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111100760	-0.46765306335971
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118384	-1.45672308182811
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135252	-0.297543840417797
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128544	-0.729771501577316
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111102695	-0.215109601000912
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111137832	-0.397803076369892
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111127260	4.0793554198886
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111124944	-7.00040991083821
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111133856	-1.78952783884288
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111100667	0.310535891765765
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118627	-0.00125443200168597
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111108305	0.0319463668869228
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135700	-0.427831142023353
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128755	0.590935438406028
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118161	0.426946452630955
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104153	-2.13328179360855
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111105298	-17.7099558053842
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136613	0.0155537964730227
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111117101	-0.750547894745912
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111133973	-0.0250404981238319
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111120826	0.865615109321351
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111120063	0.0700490608627979
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119172	0.8360077385816
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118247	-2.374082018661
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111108359	6.91482278164924
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111137450	-0.39993516767713
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111100466	0.287041153606931
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122791	1.64371976076417
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111107339	0.0236125819712616
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111133323	0.532219924186849
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111129098	-0.103415439835848
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111137219	0.226370739062713
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111129829	-1.03299156754113
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111115975	-0.826852179866747
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118698	-0.346551004557162
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111131225	0.44364036781397
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111126790	1.9963969302337
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135414	-3.10664058031918
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122879	0.46850189183653
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111125951	-0.640609936916207
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135925	1.04775695118815
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111138040	0.361099234671914
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111132090	-0.506303013971203
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118503	-2.29453572461817
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111127513	-3.79936595520754
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111110723	-0.109023357962197
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111115433	-1.8964377660619
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111116431	0.0769272307937959
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111120591	0.257369429650807
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111134368	-3.96593079547818
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111126865	0.017533049637387
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122117	0.104434927682172
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118232	0.602977797793563
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118013	0.775812736705154
"obsolete cofactor metabolic process"	GO:0051186	-1	LOC111133693	-1.02255436074621
"obsolete cofactor metabolic process"	GO:0051186	-1	LOC111127311	-0.216392647665667
"obsolete cofactor metabolic process"	GO:0051186	-1	LOC111128327	-1.38176847898977
