name	term	lev	seq	value
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136306	1.38203118103983
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111125446	-1.83944730268586
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111126391	0.164388541257671
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104407	-0.381660315775916
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122105	1.81103036498214
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104164	-1.12774729429773
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111123422	-0.265983663469818
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111112269	0.0193260791247052
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111124079	0.388242269545664
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135137	0.013602185907916
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119368	0.23043568955497
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128742	0.506599375836961
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111113658	-0.163084296501247
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111114232	-0.376865076412313
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136505	-0.106073379981079
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128236	-0.23189787428468
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111103517	-0.816647519133987
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111132573	-0.0692461438547222
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122544	0.540028741170765
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111100475	0.2800970077152
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111105213	-5.57967427973791
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122653	0.104441764939239
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111136684	-0.464751667444534
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122069	0.00285630972112869
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111131268	-3.59171581581141
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111106200	-0.220834573667748
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111123256	0.351824489358432
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111137527	-0.812524941414269
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118090	-1.65403972418877
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111130452	0.598704862785265
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119277	0.931006334483864
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111114518	-0.0284650793020611
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111119248	-1.31801489725724
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111099882	-0.175421121796418
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128529	-0.312858920690788
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111104099	-0.333376079975663
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111107103	-0.697650959912501
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135257	-2.90758112627444
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111122164	-0.463784823338047
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111120276	-0.201760984800877
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111127920	0.350127879110339
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111100760	-0.586574672159272
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111118384	-1.39019389612801
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111135252	0.0729974975161915
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111128544	1.07531620936797
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111102695	-0.356015112268216
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111137832	-0.603299696911531
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111127260	2.58578975997473
"homeostatic process"	GO:0042592;GO:0065008	3	LOC111124944	-1.78827322061538
