name	term	lev	seq	value
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111135710	-0.488493475074576
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111133749	0.356946163377905
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111101365	-0.0255348361092564
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111120675	1.04591225635267
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111104610	0.790039839208722
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111106750	-1.26967819661158
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111135709	3.13901162251765
"protein-macromolecule adaptor activity"	GO:0030674;GO:0060090	2	LOC111117924	-2.20548929344246
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111100355	0.355205559612438
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111111107	-0.0114011224311082
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111121997	1.24583607493613
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111100612	0.607315072638379
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111101025	-1.17049630255102
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111121263	4.04659542591379
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111119083	0.145643526931622
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111129928	-2.73207322560707
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111123114	1.20275477681774
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111105429	-3.34762050661365
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111119444	0.211408979970902
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111112048	0.355406980641196
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111133922	-1.67925630114268
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111120722	0.886721193305634
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111108413	0.557434322487459
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111118049	0.473696875726656
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111123093	-0.430903728525205
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111131638	2.66071295721642
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111138196	3.46084337463753
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111136666	0.851337900015493
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111137076	-0.789240762079311
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111128159	-0.576804501913762
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111133477	-0.185280018413122
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111133045	0.397195687985116
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111100042	-0.603945524987724
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111099053	0.574047354943973
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111118029	1.08881666757262
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111135733	0.7902494271528
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111105223	0.199687390708071
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111122903	2.18407233749877
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111122210	0.184159738212899
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111127225	0.244877096157292
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111133033	0.182593293416165
"translation regulator activity, nucleic acid binding"	GO:0008135;GO:0090079;GO:0045182	3	LOC111130699	0.648433594807645
"hydrolase activity"	GO:0016787	2	LOC111113850	0.088981502488257
"hydrolase activity"	GO:0016787	2	LOC111104450	0.0373079270656205
"hydrolase activity"	GO:0016787	2	LOC111119014	-1.90747814299925
"hydrolase activity"	GO:0016787	2	LOC111109747	0.294587191135922
