name	term	lev	seq	value
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111125947	0.99813435276255
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111127814	0.296039559984437
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111114532	0.263094133715389
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111125867	-0.967388862694935
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111099110	-0.911093145864852
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111126171	0.166241100924488
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111119955	2.64527887806417
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111132411	0.412683838496163
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111119805	0.141831112955494
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111112817	9.42391824217727
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111116634	-0.12424871816972
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111124652	-0.0224095096021163
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111135070	1.01283984332228
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111120008	-2.05344442263338
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111125442	-0.433794619446368
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111103936	-0.109432239356837
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111119719	-0.502182061101814
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111112166	0.528830019982768
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111135356	0.305061863982403
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111135506	-0.0343398462120241
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111120344	0.0294865829987337
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111116992	0.314338236051852
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111122952	0.105753125727168
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111130356	0.659345084645957
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111109786	-0.146854031275655
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111102277	-1.5288790100479
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111117328	-0.0983507248095167
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111113093	0.348419955449212
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111138128	-0.899215706622286
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111130824	-0.0949317263418719
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111115154	0.0236170183875515
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111115122	2.76751402561847
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111116881	0.163593381766279
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111125643	-0.301934579656323
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111136528	0.793428258696077
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111127219	-1.06370594158155
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111132549	0.911381056754898
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111109633	-0.0633293132717276
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111129147	-0.251188885513554
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111127462	1.11024159069199
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111116874	-0.689129271587752
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111118576	0.490194857419906
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111111945	0.0101822587622144
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111135505	-0.862777698883667
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111113430	0.425846003166223
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111106154	0.626902402118272
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111113169	-1.68975131341422
"phosphoric ester hydrolase activity"	GO:0016791;GO:0042578	4	LOC111111127	-0.0276221300220464
