name	term	lev	seq	value
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111104970	-0.19552809025438
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111132110	0.149279764416886
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111121377	-0.395611576183458
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111105303	-0.0496518154564733
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130033	0.0555144253903792
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111129637	-0.114647938345249
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111118950	-0.419745718798277
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137861	0.0187294950199117
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111128471	-1.35165861716514
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111127968	0.439729094213835
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130840	-1.26578077562951
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111111616	0.214870821313986
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111136759	-0.125939997011676
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111100518	-0.28595010984655
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111105944	-0.0901390818272713
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137319	-0.18634172990249
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111107230	-0.666645191705085
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123835	-1.14137938809812
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111131860	1.09128887976612
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130090	0.171729006877596
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111121469	0.0515937153078124
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111125490	1.10569252410514
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111099746	0.750866961363145
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111113311	0.132844947315194
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111121830	-0.033593218212401
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111134580	1.17876708951194
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111110315	-1.58160632056039
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111115477	0.0126423705501064
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111125836	-0.0439037054501991
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111105096	-0.167172023207426
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130898	-0.169090316367234
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111132332	-0.318499097430043
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111104158	-0.740978262713201
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111100268	-0.185180668359536
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111115194	0.511609544624544
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130739	-0.862780004573457
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111111407	0.010331949698635
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111100545	-0.319218451438103
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126041	-1.34311626664362
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111129174	-0.0279534686772215
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137299	0.0939687987351471
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111104198	-0.0388906190347849
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111128256	-0.0261958760936529
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111133634	-1.14118527300334
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111125149	-1.20539641188997
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111132075	0.615289760463141
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111118923	-2.95936357491677
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111106467	-1.5087282584922
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111105532	0.0384306570457094
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126101	-0.389816421796167
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111118567	0.549419255181962
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122871	-0.765372603809524
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111135843	-0.978995508427327
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111129241	0.823571104687915
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123292	-0.0608696277932994
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111101788	-0.892957682772593
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126335	1.41663084026481
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111136019	0.860470901374527
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111136055	-0.87487894841298
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137326	-3.0476344180267
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111129005	-1.08917080922095
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111113315	-0.70351798136262
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111133425	1.07629308374462
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111133837	4.31556658690837
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111116772	0.166888910474745
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111100679	-0.840670733581515
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111138394	-0.647483061868745
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111112921	-0.0833861598731609
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123879	-1.04247387550117
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111117766	-0.0864713025116756
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111125667	3.84952613435588
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111114996	-0.798145779234784
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111127581	-1.56403845024695
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111112765	-1.16996185462684
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111129191	0.258456237877695
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122184	0.559349251613082
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111120179	-0.153563083279501
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111133944	-1.66771698431971
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126119	-0.435155574786087
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111128759	-0.221302855455265
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123400	-0.474333591060456
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111106907	-0.0401952096990261
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111136206	-2.9981560774217
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111119904	-0.579443625119979
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111104042	-0.164403516704315
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122821	0.0591769853931705
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122902	-0.81443989208977
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111127290	-0.375485548957049
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111108239	-0.62821513641969
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130820	0.710150536367778
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137109	-2.39762086205979
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111120537	0.00814217707841862
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137670	0.225157716788649
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126297	-0.197488934754103
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137615	-0.108693684141909
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111103311	-0.980098700536877
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111135174	-1.98845019065808
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137014	-3.98123185334607
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111132161	0.205756661748639
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111136111	0.359646731972259
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111132231	-1.22223069438089
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111119830	-1.3948510279061
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111116637	0.269099444380968
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130673	-1.39125777142824
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111108086	-0.506566068545153
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111133938	-0.998060273421279
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126753	-0.466795039726509
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122893	0.0783749002074906
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111119874	-0.00785737283335794
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130036	-0.324155623799177
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111118467	0.293336109170367
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111134588	0.361115461074437
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111109646	-1.15932323607849
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111131274	1.31016673176631
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111126238	-0.45320584479965
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111121838	0.0243253206788816
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111106308	-0.523835477228812
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123258	0.454760466843298
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123969	-0.866829220310973
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137194	-0.103273223827211
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111125666	-0.051769172654378
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111103306	1.58899438976995
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111109003	0.741681197237416
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111105973	-2.1859516652477
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130744	-1.37052702478166
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111131822	0.205004700902854
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123552	-0.648625281903086
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123839	-0.969609131838253
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111138111	-0.934726426542153
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137800	2.27699692805464
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111136112	-1.46954625826746
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111112991	-0.0678391989074157
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122544	0.540028741170765
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111128530	-3.68275786906969
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111110350	-1.02034480554493
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111118953	0.154333097613405
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111122539	-2.15422224786097
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111131644	-0.16841125261611
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111131188	-0.415531660630684
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111130147	0.5494910735135
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111132217	-2.47133972058293
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111135175	-0.899870771371096
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111125788	0.609498951615129
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111105753	0.107182015603729
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111123844	0.487952615454277
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111137078	-1.29571680679499
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111115741	1.95945269912668
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111099166	0.389668837380687
"transmembrane transporter activity"	GO:0022857;GO:0005215	2	LOC111131854	-0.171773204629401
