"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
719 0.47437561903509 1 11 "GO:0000003" "reproduction" 0.775351841432186
-439 0.576294980200447 3 18 "GO:0000278" "mitotic cell cycle" 0.811517421098589
-1470 0.212269991821885 2 8 "GO:0000902;GO:0009653" "cell morphogenesis" 0.542467756878151
-334 0.344123168167253 1 90 "GO:0002376" "immune system process" 0.742015581360639
1642 0.270897973010682 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.667570004919181
-900 0.0402680226363783 5 58 "GO:0003674;unknown" "GO:0003674;unknown" 0.3087215068789
-717 0.456556029307225 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.775351841432186
-117 0.603626884447596 2 222 "GO:0005975" "carbohydrate metabolic process" 0.833005100537683
446 0.206314306956999 2 90 "GO:0006091" "generation of precursor metabolites and energy" 0.542467756878151
49 0.81145952014961 2 273 "GO:0006259" "DNA metabolic process" 0.928550205785767
11 0.976403832381036 5 82 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 0.990762712268992
377 0.332417897783156 6 74 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.739897901517347
-128 0.65237933180941 3 140 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271" "translation" 0.834502133225851
827 0.0893951817478001 2 47 "GO:0006457" "protein folding" 0.386750519434458
257 0.0289048308122793 4 870 "GO:0006464;GO:0036211;GO:0043412" "cellular protein modification process" 0.249304165755909
144 0.416837704433798 5 366 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.775351841432186
1604 0.0185150264001358 5 24 "GO:0006605;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0006811" "ion transport" 0.249304165755909
392 0.0828041944412858 3 222 "GO:0006629" "lipid metabolic process" 0.386750519434458
494 0.203883786022136 2 74 "GO:0006790" "sulfur compound metabolic process" 0.542467756878151
329 0.0278008180426753 3 521 "GO:0006810;GO:0051234;GO:0051179" "transport" 0.249304165755909
-828 0.197279642930409 4 27 "GO:0006913;GO:0051169" "nuclear transport" 0.542467756878151
57 0.951234568900052 3 13 "GO:0006914;GO:0061919" "autophagy" 0.982050006108652
43 0.835076146395043 2 262 "GO:0006950;GO:0050896" "response to stress" 0.929358937117064
-11 0.953584788540285 2 301 "GO:0006996" "organelle organization" 0.982050006108652
1022 0.0208627537726912 2 57 "GO:0007005" "mitochondrion organization" 0.249304165755909
-510 0.473214003816198 3 22 "GO:0007009" "plasma membrane organization" 0.775351841432186
-520 0.100104719072726 3 112 "GO:0007010" "cytoskeleton organization" 0.386750519434458
775 0.368259938398103 3 15 "GO:0007034" "vacuolar transport" 0.747351051454974
-252 0.505664244412295 2 78 "GO:0007049" "cell cycle" 0.775351841432186
645 0.28210312429501 2 31 "GO:0007059" "chromosome segregation" 0.6712108819433
0 0.999958396424577 2 134 "GO:0007155;GO:0022610" "cell adhesion" 0.999958396424577
-245 0.435073496967158 2 114 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 0.775351841432186
78 0.769128926392154 2 160 "GO:0008219" "cell death" 0.921148232990681
1843 0.00128552328315637 2 34 "GO:0008283" "cell population proliferation" 0.0887011065377895
292 0.106496519844271 2 350 "GO:0009056" "catabolic process" 0.386750519434458
-59 0.568195455674439 2 1175 "GO:0009058" "biosynthetic process" 0.811517421098589
-82 0.56275784816188 3 578 "GO:0016043;GO:0071840" "cellular component organization or biogenesis" 0.811517421098589
186 0.489259657057285 4 156 "GO:0016070" "RNA metabolic process" 0.775351841432186
242 0.38136075949915 3 147 "GO:0016192" "vesicle-mediated transport" 0.751825497298324
-101 0.664811141132222 2 210 "GO:0022607" "cellular component assembly" 0.834502133225851
519 0.445926334762618 3 24 "GO:0022618;GO:0034622;GO:0071826" "ribonucleoprotein complex assembly" 0.775351841432186
-1155 0.0897890281406505 2 24 "GO:0030154;GO:0048869" "cell differentiation" 0.386750519434458
-2105 0.121886085043469 4 6 "GO:0030705" "cytoskeleton-dependent intracellular transport" 0.400482850857112
-748 0.026170295416394 1 99 "GO:0032502" "developmental process" 0.249304165755909
1030 0.0641905760278772 1 36 "GO:0040007" "growth" 0.383058893548523
