"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-45 0.959843246331516 1 15 "GO:0000003" "reproduction" 0.962587505657359
1844 0.0146256224450152 3 21 "GO:0000278" "mitotic cell cycle" 0.133458804810764
302 0.782320114137696 2 10 "GO:0000902;GO:0009653" "cell morphogenesis" 0.962587505657359
-362 0.339581336054136 1 84 "GO:0002376" "immune system process" 0.761403562584015
1066 0.490757053166002 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.833145694909724
660 0.669517235914704 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.962587505657359
524 0.734811280509684 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.962587505657359
319 0.454350531603163 5 66 "GO:0003674;unknown" "GO:0003674;unknown" 0.80896558065929
2765 0.00563857207171209 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.0823231522469965
195 0.39568554355573 2 231 "GO:0005975" "carbohydrate metabolic process" 0.790046869506329
-226 0.520314450305659 2 98 "GO:0006091" "generation of precursor metabolites and energy" 0.863248974370753
521 0.00828467641128806 2 315 "GO:0006259" "DNA metabolic process" 0.0920288499561999
-31 0.936160530591622 5 79 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 0.962587505657359
-79 0.83677314614535 6 81 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.962587505657359
-765 0.00882468424237533 3 142 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271" "translation" 0.0920288499561999
408 0.405631799375134 2 50 "GO:0006457" "protein folding" 0.790046869506329
131 0.267416347962436 4 932 "GO:0006464;GO:0036211;GO:0043412" "cellular protein modification process" 0.715726755269549
193 0.27766169676405 5 392 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.715726755269549
949 0.127133601582372 5 31 "GO:0006605;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0006811" "ion transport" 0.464037645775658
-57 0.802495879950124 3 232 "GO:0006629" "lipid metabolic process" 0.962587505657359
-292 0.449470635883455 2 81 "GO:0006790" "sulfur compound metabolic process" 0.80896558065929
466 0.00211345033666899 3 545 "GO:0006810;GO:0051234;GO:0051179" "transport" 0.0385704686442091
-31 0.962587505657359 4 27 "GO:0006913;GO:0051169" "nuclear transport" 0.962587505657359
665 0.472008636369214 3 14 "GO:0006914;GO:0061919" "autophagy" 0.820395963213158
37 0.862471319783885 2 268 "GO:0006950;GO:0050896" "response to stress" 0.962587505657359
-34 0.862248111994717 2 317 "GO:0006996" "organelle organization" 0.962587505657359
641 0.155282094254082 2 59 "GO:0007005" "mitochondrion organization" 0.539790137168952
-1630 0.0595956869733417 3 16 "GO:0007009" "plasma membrane organization" 0.290032343270263
-399 0.219905224296762 3 114 "GO:0007010" "cytoskeleton organization" 0.697960059724505
70 0.939382005355045 3 14 "GO:0007034" "vacuolar transport" 0.962587505657359
680 0.0644850023643923 2 89 "GO:0007049" "cell cycle" 0.29421282328754
1366 0.0196604721236162 2 35 "GO:0007059" "chromosome segregation" 0.159468273891554
-646 0.03225077448304 2 133 "GO:0007155;GO:0022610" "cell adhesion" 0.217427645356493
337 0.28827257471372 2 120 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 0.715726755269549
146 0.594907208319526 2 161 "GO:0008219" "cell death" 0.913211726149426
-450 0.441724793302736 2 35 "GO:0008283" "cell population proliferation" 0.80896558065929
351 0.0590195728750309 2 357 "GO:0009056" "catabolic process" 0.290032343270263
-357 0.000592959938518462 2 1238 "GO:0009058" "biosynthetic process" 0.0232375737342086
-312 0.0327630698482387 3 591 "GO:0016043;GO:0071840" "cellular component organization or biogenesis" 0.217427645356493
-56 0.838695411050708 4 160 "GO:0016070" "RNA metabolic process" 0.962587505657359
907 0.000954968783597614 3 161 "GO:0016192" "vesicle-mediated transport" 0.0232375737342086
-223 0.354626316819952 2 210 "GO:0022607" "cellular component assembly" 0.761403562584015
