"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-231 0.797128297666475 1 15 "GO:0000003" "reproduction" 0.91992284251635
-280 0.712874428203705 3 21 "GO:0000278" "mitotic cell cycle" 0.885593768108945
702 0.524158720375588 2 10 "GO:0000902;GO:0009653" "cell morphogenesis" 0.831817099726477
172 0.656844676754353 1 82 "GO:0002376" "immune system process" 0.884235914086731
-382 0.806507697548581 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.91992284251635
1784 0.252336273110796 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.558198422336003
-2144 0.168934840927228 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.440447578895794
564 0.193110376943394 5 65 "GO:0003674;unknown" "GO:0003674;unknown" 0.454743790866702
2064 0.040321753933127 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.183968002319892
117 0.614619679029231 2 231 "GO:0005975" "carbohydrate metabolic process" 0.862831472483343
-975 0.00582538897979018 2 98 "GO:0006091" "generation of precursor metabolites and energy" 0.0425253395524683
55 0.783202322197886 2 314 "GO:0006259" "DNA metabolic process" 0.91992284251635
-527 0.177758541403941 5 80 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 0.447461155947852
556 0.154674142324474 6 80 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.440447578895794
-1434 1.07987219330721e-06 3 142 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271" "translation" 1.97076675278566e-05
-1607 0.00113303489181552 2 50 "GO:0006457" "protein folding" 0.0103389433878166
-15 0.899206971290749 4 937 "GO:0006464;GO:0036211;GO:0043412" "cellular protein modification process" 0.96532513094448
90 0.613876693285091 5 396 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.862831472483343
-406 0.517200069020181 5 31 "GO:0006605;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0006811" "ion transport" 0.831817099726477
-524 0.0229159468917877 3 233 "GO:0006629" "lipid metabolic process" 0.128681855623116
-352 0.361617742853879 2 82 "GO:0006790" "sulfur compound metabolic process" 0.700277083183966
-34 0.82353151201945 3 549 "GO:0006810;GO:0051234;GO:0051179" "transport" 0.924667105109294
-950 0.149643181394339 4 28 "GO:0006913;GO:0051169" "nuclear transport" 0.440447578895794
1790 0.0640811530671492 3 13 "GO:0006914;GO:0061919" "autophagy" 0.246206535468521
-258 0.228157179037497 2 270 "GO:0006950;GO:0050896" "response to stress" 0.52048356467929
-527 0.00762320110641209 2 320 "GO:0006996" "organelle organization" 0.0505903346152802
-256 0.570689085491754 2 60 "GO:0007005" "mitochondrion organization" 0.850210270222409
-1757 0.0438337756594267 3 16 "GO:0007009" "plasma membrane organization" 0.188227389596362
-291 0.374120633481845 3 114 "GO:0007010" "cytoskeleton organization" 0.700277083183966
59 0.949668370105493 3 14 "GO:0007034" "vacuolar transport" 0.976135320903362
197 0.595475906651308 2 89 "GO:0007049" "cell cycle" 0.862831472483343
-435 0.460936186626316 2 35 "GO:0007059" "chromosome segregation" 0.801150991040978
-320 0.290133548450882 2 134 "GO:0007155;GO:0022610" "cell adhesion" 0.605135686768983
798 0.0125917270901242 2 120 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 0.0765996731315889
-378 0.168938797384688 2 163 "GO:0008219" "cell death" 0.440447578895794
-28 0.962763604178658 2 35 "GO:0008283" "cell population proliferation" 0.976135320903362
131 0.482948889003492 2 358 "GO:0009056" "catabolic process" 0.819889974354765
-571 4.56178268543397e-08 2 1239 "GO:0009058" "biosynthetic process" 1.11003378678893e-06
-947 1.01269421719813e-10 3 595 "GO:0016043;GO:0071840" "cellular component organization or biogenesis" 7.39266778554635e-09
15 0.957276096126259 4 160 "GO:0016070" "RNA metabolic process" 0.976135320903362
-164 0.551175621021209 3 162 "GO:0016192" "vesicle-mediated transport" 0.850210270222409
-835 0.000563963593430598 2 211 "GO:0022607" "cellular component assembly" 0.00686155705340561
