"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
503 0.578763111357352 1 15 "GO:0000003" "reproduction" 0.913070925809516
1472 0.0544509671824569 3 21 "GO:0000278" "mitotic cell cycle" 0.322856541679868
2428 0.0376949355756795 2 9 "GO:0000902;GO:0009653" "cell morphogenesis" 0.307888586416654
-649 0.0887963401478537 1 85 "GO:0002376" "immune system process" 0.432142188719555
-1024 0.513710310202219 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.913070925809516
770 0.623189308623069 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.913070925809516
-3334 0.0333924624299475 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.307888586416654
88 0.835632372875479 5 68 "GO:0003674;unknown" "GO:0003674;unknown" 0.953813781560346
1347 0.183266457489982 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.637069114131842
79 0.734345433765652 2 229 "GO:0005975" "carbohydrate metabolic process" 0.953813781560346
82 0.816778879552607 2 98 "GO:0006091" "generation of precursor metabolites and energy" 0.953813781560346
-41 0.835968244833457 2 319 "GO:0006259" "DNA metabolic process" 0.953813781560346
-218 0.578601281099997 5 80 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 0.913070925809516
1410 0.000281574744327747 6 82 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.0205549563359255
-293 0.319875232786273 3 143 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271" "translation" 0.690675457944308
1314 0.0081312435324781 2 50 "GO:0006457" "protein folding" 0.28099422747788
17 0.884702101757687 4 945 "GO:0006464;GO:0036211;GO:0043412" "cellular protein modification process" 0.963929155646435
194 0.274536555913562 5 401 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.690675457944308
1237 0.0496402977068529 5 31 "GO:0006605;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0006811" "ion transport" 0.322856541679868
-298 0.200817743636582 3 230 "GO:0006629" "lipid metabolic process" 0.637378055890021
5 0.988840045472528 2 83 "GO:0006790" "sulfur compound metabolic process" 0.988840045472528
188 0.218402857873845 3 550 "GO:0006810;GO:0051234;GO:0051179" "transport" 0.651591094688654
-55 0.934439685802447 4 28 "GO:0006913;GO:0051169" "nuclear transport" 0.974487100908266
-51 0.95856806627792 3 13 "GO:0006914;GO:0061919" "autophagy" 0.985569983637861
-407 0.0574950005731271 2 274 "GO:0006950;GO:0050896" "response to stress" 0.322856541679868
234 0.237663096668133 2 322 "GO:0006996" "organelle organization" 0.651591094688654
1155 0.011547707978543 2 59 "GO:0007005" "mitochondrion organization" 0.28099422747788
-1778 0.042573958810012 3 16 "GO:0007009" "plasma membrane organization" 0.310789899313088
448 0.176285302093507 3 113 "GO:0007010" "cytoskeleton organization" 0.637069114131842
-902 0.33551631384848 3 14 "GO:0007034" "vacuolar transport" 0.699791168883973
824 0.0262594743909183 2 90 "GO:0007049" "cell cycle" 0.307888586416654
-223 0.70757773110874 2 35 "GO:0007059" "chromosome segregation" 0.953813781560346
95 0.753405100828148 2 136 "GO:0007155;GO:0022610" "cell adhesion" 0.953813781560346
272 0.39690381199854 2 120 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 0.762473112523511
-105 0.703006432546335 2 165 "GO:0008219" "cell death" 0.953813781560346
288 0.626743026611858 2 35 "GO:0008283" "cell population proliferation" 0.913070925809516
207 0.271321767277102 2 356 "GO:0009056" "catabolic process" 0.690675457944308
-160 0.128769974189064 2 1239 "GO:0009058" "biosynthetic process" 0.494747795568509
-125 0.394961120408911 3 598 "GO:0016043;GO:0071840" "cellular component organization or biogenesis" 0.762473112523511
610 0.027753861001651 4 162 "GO:0016070" "RNA metabolic process" 0.307888586416654
493 0.0754476328877084 3 162 "GO:0016192" "vesicle-mediated transport" 0.393405514343051
-46 0.849286243855103 2 211 "GO:0022607" "cellular component assembly" 0.953813781560346
725 0.321684459864472 3 23 "GO:0022618;GO:0034622;GO:0071826" "ribonucleoprotein complex assembly" 0.690675457944308
249 0.717417492420563 2 26 "GO:0030154;GO:0048869" "cell differentiation" 0.953813781560346
914 0.490133028199666 4 7 "GO:0030705" "cytoskeleton-dependent intracellular transport" 0.89449277646439
-81 0.814603993066641 1 104 "GO:0032502" "developmental process" 0.953813781560346
-317 0.592508936738852 1 35 "GO:0040007" "growth" 0.913070925809516
864 0.309912639379248 1 17 "GO:0040011" "locomotion" 0.690675457944308
