"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
687 0.11521988006707 6 39 "GO:0000228" "nuclear chromosome" 0.444649148322963
1356 0.264669383169595 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.598379939586113
-711 0.0470364109970386 5 58 "GO:0003674;unknown" "GO:0003674;unknown" 0.411568596224088
-559 0.476544727829646 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.79424121304941
72 0.740232674858649 2 157 "GO:0005576" "extracellular region" 0.835746568388797
-1024 0.110014394673796 2 18 "GO:0005615" "extracellular space" 0.444649148322963
-20 0.967648493664436 -1 31 "GO:0005623" "obsolete cell" 0.967648493664436
-55 0.678266242812129 3 442 "GO:0005634" "nucleus" 0.826959482727873
-241 0.685194999974523 2 21 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.826959482727873
-351 0.181924752206006 2 108 "GO:0005654" "nucleoplasm" 0.489797409785401
56 0.793984226105465 2 161 "GO:0005694" "chromosome" 0.868420247302852
-21 0.965713942286238 3 32 "GO:0005730" "nucleolus" 0.967648493664436
235 0.212967643864254 2 212 "GO:0005737" "cytoplasm" 0.532419109660635
585 0.0126555218758405 3 136 "GO:0005739" "mitochondrion" 0.274948326220774
566 0.581509500494366 6 7 "GO:0005764;GO:0000323" "lysosome" 0.826959482727873
292 0.622672841447857 3 21 "GO:0005768" "endosome" 0.826959482727873
898 0.273545115239366 2 11 "GO:0005773" "vacuole" 0.598379939586113
1707 0.0235669993903521 4 13 "GO:0005777;GO:0042579" "peroxisome" 0.274948326220774
281 0.436896234756943 2 57 "GO:0005783" "endoplasmic reticulum" 0.79424121304941
-140 0.676816799502654 3 66 "GO:0005794" "Golgi apparatus" 0.826959482727873
256 0.606267674514008 2 30 "GO:0005815" "microtubule organizing center" 0.826959482727873
1158 0.0989347600248383 2 15 "GO:0005829" "cytosol" 0.444649148322963
167 0.464520141970529 3 143 "GO:0005840" "ribosome" 0.79424121304941
-41 0.839540855085149 4 181 "GO:0005856" "cytoskeleton" 0.890422119029703
-503 0.021928976880845 2 156 "GO:0005886;GO:0016020" "plasma membrane" 0.274948326220774
-1024 0.0652444091543353 2 24 "GO:0005929;GO:0120025;GO:0042995" "cilium" 0.444649148322963
773 0.139746875187217 2 27 "GO:0031012" "extracellular matrix" 0.444649148322963
327 0.425681672652309 4 44 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.79424121304941
119 0.170922094838467 1 1097 "GO:0032991" "protein-containing complex" 0.489797409785401
-238 0.65499973543293 5 26 "GO:0043167;unknown" "GO:0043167;unknown" 0.826959482727873
164 0.111109261276858 2 753 "GO:0043231;GO:0043227" "membrane-bounded organelle" 0.444649148322963
57 0.642508063042662 2 516 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.826959482727873
-56 0.395401050003125 5 7151 "unknown" "unknown" 0.79424121304941
-1428 0.137408275357019 5 8 "unknown;GO:0003674" "unknown;GO:0003674" 0.444649148322963
-417 0.731314163087268 5 5 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.835746568388797
