"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
129 0.768262053384154 6 41 "GO:0000228" "nuclear chromosome" 0.916694354594237
883 0.481939714287654 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.916694354594237
574 0.647617125123019 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.916694354594237
471 0.707553210016503 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.916694354594237
293 0.397229066406676 5 66 "GO:0003674;unknown" "GO:0003674;unknown" 0.916694354594237
2268 0.00514604842016218 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.183907195599244
-115 0.610282352492307 2 157 "GO:0005576" "extracellular region" 0.916694354594237
-437 0.520846174800447 2 17 "GO:0005615" "extracellular space" 0.916694354594237
498 0.308503393120502 -1 33 "GO:0005623" "obsolete cell" 0.916694354594237
-16 0.902547653613881 3 468 "GO:0005634" "nucleus" 0.952689189925763
47 0.938975019829434 2 21 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.959877799444071
-439 0.099406786999675 2 112 "GO:0005654" "nucleoplasm" 0.75549158119753
204 0.336197009530858 2 178 "GO:0005694" "chromosome" 0.916694354594237
350 0.474902289041823 3 33 "GO:0005730" "nucleolus" 0.916694354594237
483 0.00967932608417071 2 231 "GO:0005737" "cytoplasm" 0.183907195599244
40 0.866203427579792 3 139 "GO:0005739" "mitochondrion" 0.94044943565806
587 0.580263520224773 6 7 "GO:0005764;GO:0000323" "lysosome" 0.916694354594237
800 0.214374215132335 3 19 "GO:0005768" "endosome" 0.916694354594237
-183 0.82897180662213 2 11 "GO:0005773" "vacuole" 0.926497901518851
-362 0.595315253457308 4 17 "GO:0005777;GO:0042579" "peroxisome" 0.916694354594237
430 0.248230645727654 2 57 "GO:0005783" "endoplasmic reticulum" 0.916694354594237
17 0.959877799444071 3 72 "GO:0005794" "Golgi apparatus" 0.959877799444071
500 0.321913798376167 2 31 "GO:0005815" "microtubule organizing center" 0.916694354594237
-855 0.20955022658969 2 17 "GO:0005829" "cytosol" 0.916694354594237
-434 0.0639498198380348 3 146 "GO:0005840" "ribosome" 0.607523288461331
168 0.414735786694738 4 190 "GO:0005856" "cytoskeleton" 0.916694354594237
-160 0.467555765189606 2 165 "GO:0005886;GO:0016020" "plasma membrane" 0.916694354594237
461 0.422047561248753 2 24 "GO:0005929;GO:0120025;GO:0042995" "cilium" 0.916694354594237
162 0.769234395101036 2 26 "GO:0031012" "extracellular matrix" 0.916694354594237
851 0.0424970105291855 4 45 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.538295466703016
-23 0.796076676358153 1 1162 "GO:0032991" "protein-containing complex" 0.916694354594237
145 0.785094935900493 5 28 "GO:0043167;unknown" "GO:0043167;unknown" 0.916694354594237
63 0.542691104196793 2 794 "GO:0043231;GO:0043227" "membrane-bounded organelle" 0.916694354594237
36 0.771018104448072 2 545 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.916694354594237
-17 0.791372414241895 5 7315 "unknown" "unknown" 0.916694354594237
290 0.756488844413521 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.916694354594237
1288 0.224856031362258 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.916694354594237
1250 0.275328614888538 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.916694354594237
