"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-962 0.027874585602044 6 42 "GO:0000228" "nuclear chromosome" 0.114575405674279
-285 0.821852198198942 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.915682717379696
1476 0.243756348245209 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.478107338140797
-1704 0.178200241084882 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.398329950660325
493 0.161676526419839 5 65 "GO:0003674;unknown" "GO:0003674;unknown" 0.398316862051389
1699 0.0376877474582442 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.130194036673935
38 0.867488890149186 2 156 "GO:0005576" "extracellular region" 0.915682717379696
-378 0.582531619509798 2 17 "GO:0005615" "extracellular space" 0.76331729453008
-417 0.391342682730795 -1 34 "GO:0005623" "obsolete cell" 0.64656617146827
-213 0.109995842604346 3 472 "GO:0005634" "nucleus" 0.298560144211796
-42 0.94618099732854 2 21 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.950018628642759
-773 0.00422678667469891 2 111 "GO:0005654" "nucleoplasm" 0.0229454133769369
-725 0.000662272123837811 2 180 "GO:0005694" "chromosome" 0.00503326814116736
-99 0.838211851218341 3 34 "GO:0005730" "nucleolus" 0.915682717379696
-190 0.313402547184687 2 231 "GO:0005737" "cytoplasm" 0.549228412623558
-437 0.0718621576950432 3 138 "GO:0005739" "mitochondrion" 0.210058614800895
764 0.47503713226933 6 7 "GO:0005764;GO:0000323" "lysosome" 0.706531719497958
-41 0.950018628642759 3 19 "GO:0005768" "endosome" 0.950018628642759
-146 0.863941184243666 2 11 "GO:0005773" "vacuole" 0.915682717379696
-136 0.842700041041363 4 17 "GO:0005777;GO:0042579" "peroxisome" 0.915682717379696
-814 0.0288749862848791 2 58 "GO:0005783" "endoplasmic reticulum" 0.114575405674279
-222 0.507997963188184 3 72 "GO:0005794" "Golgi apparatus" 0.706531719497958
-327 0.520602319630074 2 31 "GO:0005815" "microtubule organizing center" 0.706531719497958
-348 0.612353269020072 2 17 "GO:0005829" "cytosol" 0.775647474092091
-1331 1.69053793424117e-08 3 146 "GO:0005840" "ribosome" 1.60601103752911e-07
-445 0.0301514225458628 4 194 "GO:0005856" "cytoskeleton" 0.114575405674279
-254 0.251635441126735 2 166 "GO:0005886;GO:0016020" "plasma membrane" 0.478107338140797
-726 0.209211804595979 2 24 "GO:0005929;GO:0120025;GO:0042995" "cilium" 0.441669365258178
-782 0.167712362969006 2 25 "GO:0031012" "extracellular matrix" 0.398316862051389
-304 0.47158534106229 4 45 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.706531719497958
-514 6.098328251673e-09 1 1165 "GO:0032991" "protein-containing complex" 7.7245491187858e-08
1061 0.0517569156513735 5 27 "GO:0043167;unknown" "GO:0043167;unknown" 0.163896899562683
-305 0.00356389250981016 2 798 "GO:0043231;GO:0043227" "membrane-bounded organelle" 0.0225713192287977
-773 4.6030352789928e-10 2 552 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 8.74576703008632e-09
440 3.22002253490088e-11 5 7389 "unknown" "unknown" 1.22360856326233e-09
658 0.485903737438157 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.706531719497958
-249 0.815914475779427 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.915682717379696
1154 0.317974344150481 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.549228412623558
