"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
367 0.404743497228104 6 42 "GO:0000228" "nuclear chromosome" 0.809486994456208
-819 0.520234242146411 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.969776575996641
641 0.61515130684478 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.969776575996641
-2702 0.033945572714948 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.257986352633605
82 0.812017000581803 5 68 "GO:0003674;unknown" "GO:0003674;unknown" 0.969776575996641
1101 0.180693078723271 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.586490610961905
-735 0.00120930606220137 2 160 "GO:0005576" "extracellular region" 0.0209181789941054
-1018 0.140825560812762 2 17 "GO:0005615" "extracellular space" 0.586490610961905
600 0.22000674002253 -1 34 "GO:0005623" "obsolete cell" 0.597161151489724
170 0.205792323147175 3 471 "GO:0005634" "nucleus" 0.597161151489724
-24 0.969776575996641 2 21 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.969776575996641
-52 0.846773904391042 2 112 "GO:0005654" "nucleoplasm" 0.969776575996641
-197 0.354640127566827 2 183 "GO:0005694" "chromosome" 0.789792485693717
435 0.374112230065445 3 34 "GO:0005730" "nucleolus" 0.789792485693717
662 0.00048394230278387 2 231 "GO:0005737" "cytoplasm" 0.0183898075057871
670 0.00571051940975939 3 140 "GO:0005739" "mitochondrion" 0.0542499343927142
239 0.824760734979052 6 7 "GO:0005764;GO:0000323" "lysosome" 0.969776575996641
92 0.887732301614048 3 19 "GO:0005768" "endosome" 0.969776575996641
185 0.829837941555166 2 11 "GO:0005773" "vacuole" 0.969776575996641
785 0.256067127880518 4 17 "GO:0005777;GO:0042579" "peroxisome" 0.648703390630646
751 0.0452337322522539 2 58 "GO:0005783" "endoplasmic reticulum" 0.286480304264275
54 0.872005297721961 3 72 "GO:0005794" "Golgi apparatus" 0.969776575996641
204 0.690380294422156 2 31 "GO:0005815" "microtubule organizing center" 0.969776575996641
48 0.944894778619265 2 17 "GO:0005829" "cytosol" 0.969776575996641
-126 0.595313060252487 3 147 "GO:0005840" "ribosome" 0.969776575996641
211 0.306211145979458 4 194 "GO:0005856" "cytoskeleton" 0.727251471701213
-123 0.578862274985144 2 167 "GO:0005886;GO:0016020" "plasma membrane" 0.969776575996641
814 0.161973617284286 2 24 "GO:0005929;GO:0120025;GO:0042995" "cilium" 0.586490610961905
21 0.969723410213334 2 26 "GO:0031012" "extracellular matrix" 0.969776575996641
250 0.556705188951651 4 45 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.969776575996641
155 0.0802560358665563 1 1167 "GO:0032991" "protein-containing complex" 0.435675623275591
714 0.185207561356391 5 28 "GO:0043167;unknown" "GO:0043167;unknown" 0.586490610961905
331 0.00165143518374516 2 799 "GO:0043231;GO:0043227" "membrane-bounded organelle" 0.0209181789941054
9 0.944599957644886 2 556 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.969776575996641
-92 0.167251677903366 5 7436 "unknown" "unknown" 0.586490610961905
-63 0.947535265164656 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.969776575996641
-501 0.641631116883332 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.969776575996641
147 0.899197721910008 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.969776575996641
