"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1717 0.264243012652342 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.708217575301914
-888 0.0496386356398315 5 58 "GO:0003674;unknown" "GO:0003674;unknown" 0.405382191058624
-18 0.889823642243322 2 792 "GO:0003676;GO:0097159;GO:1901363" "organic cyclic compound binding" 0.960153101204216
-171 0.254518283425271 3 552 "GO:0003677" "DNA binding" 0.708217575301914
-695 0.483730500060536 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.828243890246477
-572 0.0210938726318552 2 195 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.344533252986968
321 0.152639934300001 2 240 "GO:0003723" "RNA binding" 0.575335136976927
-1671 0.107148438870313 3 11 "GO:0003729" "mRNA binding" 0.573618569203038
-269 0.431892310401066 2 102 "GO:0003735" "structural constituent of ribosome" 0.822333952103103
-592 0.0321755944571392 7 157 "GO:0003924" "GTPase activity" 0.394151032099955
317 0.519404773922674 2 49 "GO:0004386" "helicase activity" 0.848361130740368
317 0.372860469037011 2 94 "GO:0004518" "nuclease activity" 0.806140709090775
-87 0.747397923768134 1 163 "GO:0005198" "structural molecule activity" 0.896544747194884
142 0.490185159533629 2 284 "GO:0005515" "protein binding" 0.828243890246477
84 0.77586280349061 3 137 "GO:0008092" "cytoskeletal protein binding" 0.896544747194884
-1237 0.378392577736486 3 6 "GO:0008134" "transcription factor binding" 0.806140709090775
1211 0.0402914970704414 3 34 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.394856671290326
-45 0.901368217457019 3 90 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.960153101204216
281 0.117065014123069 2 381 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.573618569203038
-393 0.271997224479596 2 93 "GO:0008289" "lipid binding" 0.708217575301914
-21 0.985721264759179 -1 9 "GO:0008565" "obsolete protein transporter activity" 0.985721264759179
241 0.150619308009724 4 438 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.575335136976927
189 0.199804643512713 2 570 "GO:0016491" "oxidoreductase activity" 0.699316252294495
92 0.453122789934363 2 840 "GO:0016740" "transferase activity" 0.822333952103103
69 0.852829973116475 2 87 "GO:0016746" "transferase activity, transferring acyl groups" 0.949742470061529
-197 0.417702486061797 2 204 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.822333952103103
438 0.568753118845673 2 20 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.892199811428004
406 0.346084459667184 3 64 "GO:0016779" "nucleotidyltransferase activity" 0.806140709090775
29 0.786763757742449 2 1134 "GO:0016787" "hydrolase activity" 0.896544747194884
108 0.609849324147327 3 270 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.896544747194884
-6 0.980842515239282 4 176 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.985721264759179
-576 0.0787017334893713 3 111 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.482048117622399
211 0.6414741160296 3 58 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.896544747194884
628 0.0719090484210542 2 98 "GO:0016829" "lyase activity" 0.482048117622399
1440 0.00121250065897812 2 60 "GO:0016853" "isomerase activity" 0.0594125322899279
451 0.267531142093056 2 72 "GO:0016874" "ligase activity" 0.708217575301914
279 0.303841969698745 7 163 "GO:0016887" "ATPase activity" 0.744412825761925
-150 0.439988408307847 3 320 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.822333952103103
-554 0.692999941800223 4 6 "GO:0019843" "rRNA binding" 0.896544747194884
-358 0.274614978178293 3 111 "GO:0019899" "enzyme binding" 0.708217575301914
-51 0.722614170885568 2 609 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.896544747194884
-138 0.582661101340737 2 191 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.892199811428004
336 0.782011991420807 2 8 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity" 0.896544747194884
96 0.950302535957237 2 5 "GO:0032182" "ubiquitin-like protein binding" 0.985721264759179
-291 0.666558759114587 5 26 "GO:0043167;unknown" "GO:0043167;unknown" 0.896544747194884
1639 0.0103268254002798 2 29 "GO:0051082" "unfolded protein binding" 0.253007222306855
-26 0.691265723301082 5 7151 "unknown" "unknown" 0.896544747194884
-1794 0.139990700187773 5 8 "unknown;GO:0003674" "unknown;GO:0003674" 0.575335136976927
-526 0.732484957730632 5 5 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.896544747194884
