"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1130 0.478563516928277 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.772949096636366
739 0.643183226765844 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.846577943865431
606 0.703881947120607 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.846577943865431
381 0.386560324997725 5 66 "GO:0003674;unknown" "GO:0003674;unknown" 0.765913405825658
79 0.530477044999396 2 869 "GO:0003676;GO:0097159;GO:1901363" "organic cyclic compound binding" 0.785660957264112
-21 0.888976320708459 3 608 "GO:0003677" "DNA binding" 0.918690280645761
2885 0.0050906706037612 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.132357435697791
-650 0.00840469781906152 2 213 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.145681428863733
274 0.219832536166302 2 261 "GO:0003723" "RNA binding" 0.643461089576599
-1145 0.230025595411792 3 14 "GO:0003729" "mRNA binding" 0.643461089576599
-1069 0.00233366970087216 2 104 "GO:0003735" "structural constituent of ribosome" 0.121350824445352
-93 0.73999816441094 7 163 "GO:0003924" "GTPase activity" 0.846577943865431
-554 0.2685469019207 2 51 "GO:0004386" "helicase activity" 0.643461089576599
255 0.485327677628895 2 96 "GO:0004518" "nuclease activity" 0.772949096636366
-640 0.0228524720707333 1 163 "GO:0005198" "structural molecule activity" 0.295439114343416
-258 0.219311277971879 2 295 "GO:0005515" "protein binding" 0.643461089576599
-657 0.0284076071484054 3 143 "GO:0008092" "cytoskeletal protein binding" 0.295439114343416
1024 0.44776778671787 3 7 "GO:0008134" "transcription factor binding" 0.772949096636366
664 0.251954411785949 3 38 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.643461089576599
-304 0.397685806871015 3 99 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.765913405825658
310 0.0883513595423989 2 398 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.574283837025593
270 0.452505801878712 2 99 "GO:0008289" "lipid binding" 0.772949096636366
2099 0.0774906600042868 -1 9 "GO:0008565" "obsolete protein transporter activity" 0.574283837025593
133 0.42332077012382 4 483 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.772949096636366
-220 0.147830390217233 2 577 "GO:0016491" "oxidoreductase activity" 0.643461089576599
42 0.734522360046316 2 909 "GO:0016740" "transferase activity" 0.846577943865431
474 0.201661271276956 2 93 "GO:0016746" "transferase activity, transferring acyl groups" 0.643461089576599
-272 0.272233537897792 2 210 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.643461089576599
633 0.39511467429403 2 23 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.765913405825658
93 0.819931488887934 3 76 "GO:0016779" "nucleotidyltransferase activity" 0.888259112961928
177 0.102970810045132 2 1191 "GO:0016787" "hydrolase activity" 0.594942458038541
269 0.203909384410353 3 291 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.643461089576599
271 0.291739284895222 4 195 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.659584470197893
223 0.505389793954547 3 115 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.772949096636366
-186 0.689797027586382 3 59 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.846577943865431
153 0.660928018537252 2 105 "GO:0016829" "lyase activity" 0.846577943865431
678 0.135278626312669 2 62 "GO:0016853" "isomerase activity" 0.643461089576599
282 0.492552234661483 2 76 "GO:0016874" "ligase activity" 0.772949096636366
34 0.901023159864112 7 171 "GO:0016887" "ATPase activity" 0.918690280645761
-28 0.885598907054288 3 334 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.918690280645761
523 0.69813382217425 4 7 "GO:0019843" "rRNA binding" 0.846577943865431
-204 0.54391912425977 3 114 "GO:0019899" "enzyme binding" 0.785660957264112
-67 0.64268849528757 2 648 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.846577943865431
-456 0.08480334840454 2 184 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.574283837025593
-655 0.581904103680786 2 9 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity" 0.817811172740564
-2153 0.177179086276863 2 5 "GO:0032182" "ubiquitin-like protein binding" 0.643461089576599
199 0.768458830823784 5 28 "GO:0043167;unknown" "GO:0043167;unknown" 0.850209770273123
657 0.313696762844284 2 30 "GO:0051082" "unfolded protein binding" 0.679676319495949
2 0.977490730517424 5 7315 "unknown" "unknown" 0.977490730517424
381 0.74889587341942 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.846577943865431
1644 0.222693211013388 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.643461089576599
1612 0.268208938448031 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.643461089576599
