"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-391 0.807933734655014 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.875261545876265
1846 0.250770540169841 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.449657520304543
-2196 0.171825863365183 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.44035074368822
587 0.188699617365063 5 65 "GO:0003674;unknown" "GO:0003674;unknown" 0.441697744938587
-246 0.0509276530998476 2 871 "GO:0003676;GO:0097159;GO:1901363" "organic cyclic compound binding" 0.264823796119208
-209 0.159097196407103 3 615 "GO:0003677" "DNA binding" 0.435423905956282
2119 0.0411432033006468 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.23771628573707
-404 0.103403026287343 2 213 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.384068383352988
-320 0.157974637611019 2 256 "GO:0003723" "RNA binding" 0.435423905956282
-834 0.385279361823195 3 14 "GO:0003729" "mRNA binding" 0.572415051851604
-2141 1.71983621711102e-09 2 103 "GO:0003735" "structural constituent of ribosome" 4.47157416448865e-08
131 0.641371091143195 7 165 "GO:0003924" "GTPase activity" 0.791999404864179
-537 0.282109533519836 2 52 "GO:0004386" "helicase activity" 0.488989858101049
106 0.775406213689716 2 94 "GO:0004518" "nuclease activity" 0.875261545876265
-1841 7.04784033646122e-11 1 164 "GO:0005198" "structural molecule activity" 3.66487697495983e-09
-725 0.00061744820067405 2 295 "GO:0005515" "protein binding" 0.00802682660876265
-769 0.0106656626831815 3 144 "GO:0008092" "cytoskeletal protein binding" 0.0924357432542397
-510 0.707427667444661 3 7 "GO:0008134" "transcription factor binding" 0.836050879707327
-756 0.195366310261298 3 38 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.441697744938587
-520 0.151310880140395 3 99 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.435423905956282
96 0.598813515331111 2 398 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.759470799932141
-516 0.154319042278898 2 99 "GO:0008289" "lipid binding" 0.435423905956282
-1104 0.3567867683845 -1 9 "GO:0008565" "obsolete protein transporter activity" 0.562209453211939
-149 0.368174779449876 4 488 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.563090839158634
-69 0.654922584791533 2 576 "GO:0016491" "oxidoreductase activity" 0.791999404864179
-201 0.102386773419159 2 917 "GO:0016740" "transferase activity" 0.384068383352988
-622 0.0961238142598748 2 93 "GO:0016746" "transferase activity, transferring acyl groups" 0.384068383352988
4 0.988669749224946 2 212 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.988669749224946
489 0.505199848135783 2 24 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.694063570123685
-125 0.761750235541228 3 77 "GO:0016779" "nucleotidyltransferase activity" 0.875261545876265
136 0.214001094303334 2 1195 "GO:0016787" "hydrolase activity" 0.449657520304543
249 0.241353987212419 3 293 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.449657520304543
313 0.222754675816401 4 199 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.449657520304543
210 0.534383558637581 3 114 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.694698626228855
998 0.0332067070355936 3 59 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.23771628573707
-403 0.24789264702571 2 107 "GO:0016829" "lyase activity" 0.449657520304543
-1262 0.00580803813358252 2 62 "GO:0016853" "isomerase activity" 0.0604035965892582
35 0.933091452469621 2 76 "GO:0016874" "ligase activity" 0.951387363302359
-400 0.146735122946505 7 172 "GO:0016887" "ATPase activity" 0.435423905956282
-142 0.474279155961848 3 337 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.685069891944892
-1830 0.177833954181781 4 7 "GO:0019843" "rRNA binding" 0.44035074368822
-706 0.0377148464141029 3 113 "GO:0019899" "enzyme binding" 0.23771628573707
-91 0.529778479606675 2 654 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.694698626228855
-45 0.86627485254806 2 184 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.919312088418349
-135 0.910471113928597 2 9 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity" 0.946889958485741
-1628 0.311169401045254 2 5 "GO:0032182" "ubiquitin-like protein binding" 0.521961575946878
1300 0.0604062714397118 5 27 "GO:0043167;unknown" "GO:0043167;unknown" 0.285556919533183
-796 0.225308902362498 2 30 "GO:0051082" "unfolded protein binding" 0.449657520304543
250 0.000138381086691489 5 7389 "unknown" "unknown" 0.00239860550265248
795 0.507200301244231 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.694063570123685
-352 0.795773931504299 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.875261545876265
1414 0.335099576214697 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.544536811348883
