"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1005 0.53383123633579 5 5 "GO:0003674;GO:0005575;GO:0007165;unknown" "GO:0003674;GO:0005575;GO:0007165;unknown" 0.908143428492476
815 0.613952933188097 5 5 "GO:0003674;GO:0006259;unknown" "GO:0003674;GO:0006259;unknown" 0.908143428492476
-3399 0.035275173272349 5 5 "GO:0003674;GO:0007165;unknown" "GO:0003674;GO:0007165;unknown" 0.458577252540537
119 0.785475396082282 5 68 "GO:0003674;unknown" "GO:0003674;unknown" 0.928289104460879
150 0.236570228816583 2 872 "GO:0003676;GO:0097159;GO:1901363" "organic cyclic compound binding" 0.908143428492476
-45 0.763600979912631 3 611 "GO:0003677" "DNA binding" 0.925338041219893
1405 0.177893407571684 5 12 "GO:0003677;GO:0006259;unknown" "GO:0003677;GO:0006259;unknown" 0.908143428492476
-269 0.281691681839133 2 212 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.908143428492476
553 0.0142443912865777 2 261 "GO:0003723" "RNA binding" 0.458577252540537
-928 0.336434751178946 3 14 "GO:0003729" "mRNA binding" 0.908143428492476
-763 0.0319166575490805 2 104 "GO:0003735" "structural constituent of ribosome" 0.458577252540537
175 0.53828009798084 7 164 "GO:0003924" "GTPase activity" 0.908143428492476
-4 0.992845574505557 2 55 "GO:0004386" "helicase activity" 0.992845574505557
153 0.681107571369357 2 95 "GO:0004518" "nuclease activity" 0.908143428492476
-547 0.0533357941682588 1 165 "GO:0005198" "structural molecule activity" 0.460443442426674
43 0.840934471125461 2 295 "GO:0005515" "protein binding" 0.931075318857895
10 0.973000098587539 3 143 "GO:0008092" "cytoskeletal protein binding" 0.992078531893177
335 0.805850072956447 3 7 "GO:0008134" "transcription factor binding" 0.931075318857895
1180 0.044194807447436 3 38 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.459625997453334
233 0.52381802670813 3 98 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.908143428492476
78 0.671022094754728 2 400 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.908143428492476
-340 0.351165614758696 2 99 "GO:0008289" "lipid binding" 0.908143428492476
1485 0.217439568182721 -1 9 "GO:0008565" "obsolete protein transporter activity" 0.908143428492476
95 0.571808362964722 4 485 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.908143428492476
-103 0.503291325962965 2 580 "GO:0016491" "oxidoreductase activity" 0.908143428492476
52 0.672883988603595 2 913 "GO:0016740" "transferase activity" 0.908143428492476
-155 0.679812633168079 2 93 "GO:0016746" "transferase activity, transferring acyl groups" 0.908143428492476
-124 0.620768452327461 2 212 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.908143428492476
920 0.212201478795067 2 24 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.908143428492476
209 0.614089308516996 3 76 "GO:0016779" "nucleotidyltransferase activity" 0.908143428492476
75 0.491400869900873 2 1202 "GO:0016787" "hydrolase activity" 0.908143428492476
80 0.707968815398761 3 296 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.9139079238722
43 0.865748653514716 4 201 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.937894374640942
121 0.720581247668465 3 114 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.9139079238722
-459 0.329725917909608 3 59 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.908143428492476
-357 0.311127843916289 2 106 "GO:0016829" "lyase activity" 0.908143428492476
858 0.0619827710958984 2 62 "GO:0016853" "isomerase activity" 0.460443442426674
397 0.335838974621191 2 77 "GO:0016874" "ligase activity" 0.908143428492476
55 0.84154884589079 7 175 "GO:0016887" "ATPase activity" 0.931075318857895
114 0.564803197220908 3 339 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.908143428492476
651 0.633245349758074 4 7 "GO:0019843" "rRNA binding" 0.908143428492476
-435 0.199924436065398 3 114 "GO:0019899" "enzyme binding" 0.908143428492476
-43 0.765183380239527 2 652 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.925338041219893
-296 0.265630568955096 2 187 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.908143428492476
-662 0.582125990784303 2 9 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity" 0.908143428492476
1164 0.470795836803399 2 5 "GO:0032182" "ubiquitin-like protein binding" 0.908143428492476
911 0.182024752446689 5 28 "GO:0043167;unknown" "GO:0043167;unknown" 0.908143428492476
1455 0.0273991009713758 2 30 "GO:0051082" "unfolded protein binding" 0.458577252540537
-32 0.629879390547583 5 7436 "unknown" "unknown" 0.908143428492476
-66 0.956421442489053 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.992078531893177
-613 0.6530627722013 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.908143428492476
204 0.889820909824629 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.944299741038382
