GO:0042592;GO:0065008	GO:0006259	GO:0009058	GO:0000902;GO:0009653	GO:0006397;GO:0006396;GO:0016071	GO:0022607	GO:0032502	GO:0003674;GO:0006259;unknown	GO:0016043;GO:0071840	GO:0005975	GO:0016070	GO:0042254;GO:0022613;GO:0044085	GO:0055085	GO:0003674;unknown	GO:0071554	GO:0006457	GO:0048856	GO:0061024	GO:0007049	GO:0007155;GO:0022610	GO:0006790	GO:0051301	GO:0046907;GO:0051641;GO:0051649	GO:0030705	GO:0006464;GO:0036211;GO:0043412	GO:0006996	GO:0007059	GO:0003677;GO:0006259;unknown	unknown	GO:0043167;unknown	GO:0051276	GO:0090304;GO:0006139;GO:0006725;GO:0046483;GO:1901360	GO:0006914;GO:0061919	GO:0044267;GO:0019538;GO:1901564;GO:0044260	GO:0008219	GO:0006629	GO:0008283	GO:0048646	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	GO:0007034	GO:0030154;GO:0048869	GO:0002376	GO:0007009	unknown;GO:0003674	GO:0000278	GO:0140014;GO:0000280;GO:1903047;GO:0048285;GO:0022402	GO:0044281	GO:0065003;GO:0043933	unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192	GO:0006810;GO:0051234;GO:0051179	GO:0040007	GO:0006913;GO:0051169	GO:0006605;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0006811	GO:0006520;GO:0019752;GO:0043436;GO:0006082	GO:0009056	GO:0007010	GO:0022618;GO:0034622;GO:0071826	GO:0044248;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:1901575	GO:0051186	GO:0016192	GO:0006091	GO:0007267;GO:0007154;GO:0023052	GO:0050877;GO:0003008;GO:0032501	GO:0007005	GO:0006399;GO:0034660	GO:0051604	GO:0006950;GO:0050896	GO:0048870;GO:0006928;GO:0040011	GO:0000003
0	0.831	0.904	1.000	1.000	0.988	1.000	1.000	0.819	0.940	1.000	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	0.976	0.831	1.000	1.000	1	1.000	0.831	0.831	1.000	0.795	1.000	0.976	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.831	0.988	1.000	0.916	0.972	1.000	0.958	0.976	0.952	1.000	1.000	1.000	0.988	0.988	0.940	1.000	0.947	1.000	1.000	1.000	0.867	1.000	1.000
0.831	0	0.853	1.000	0.988	0.995	1.000	1.000	0.894	1.000	0.994	0.986	1.000	1.000	1.000	1.000	1.000	1.000	0.897	0.993	0.986	0.867	1.000	1.000	0.952	0.901	0.871	1.000	1	1.000	0.803	0.000	1.000	0.000	0.988	1.000	1.000	1.000	0.986	1.000	1.000	0.911	1.000	1.000	0.944	0.950	0.993	0.993	1.000	0.996	1.000	1.000	1.000	0.993	0.927	1.000	1.000	0.743	1.000	0.993	1.000	1.000	1.000	0.982	1.000	1.000	0.496	1.000	0.636
0.904	0.853	0	1.000	1.000	0.971	0.798	1.000	0.772	0.788	0.788	0.312	0.947	1.000	0.000	1.000	0.794	1.000	0.859	1.000	0.676	0.867	0.982	1.000	0.818	0.890	1.000	1.000	1	1.000	0.750	0.816	1.000	0.661	0.906	0.577	0.882	0.941	0.000	1.000	0.667	0.822	1.000	1.000	0.944	1.000	0.611	0.957	1.000	0.981	1.000	0.963	1.000	0.730	0.829	1.000	1.000	0.814	0.443	1.000	0.589	0.974	0.947	1.000	0.554	0.957	0.828	1.000	1.000
1.000	1.000	1.000	0	1.000	0.875	0.000	1.000	0.625	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	0.625	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.250	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	0.875	1.000	1.000	1.000	1.000	1.000	0.625	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000
1.000	0.988	1.000	1.000	0	0.793	1.000	1.000	0.793	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	1.000	0.902	1.000	1.000	1.000	1	1.000	1.000	0.000	1.000	0.902	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.988	0.793	1.000	0.963	1.000	0.926	1.000	0.988	0.939	1.000	0.292	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.988	1.000	1.000
0.988	0.995	0.971	0.875	0.793	0	0.939	1.000	0.000	1.000	0.891	0.964	1.000	1.000	1.000	0.936	0.921	0.432	0.808	0.993	0.919	0.933	0.946	0.500	0.957	0.629	0.968	1.000	1	1.000	0.841	0.914	0.846	0.948	0.994	1.000	1.000	1.000	1.000	1.000	0.917	1.000	0.136	1.000	0.889	0.950	0.990	0.000	1.000	0.943	1.000	1.000	1.000	0.990	0.990	0.545	0.000	0.971	0.992	0.959	1.000	0.991	0.947	0.895	1.000	0.957	0.995	0.812	1.000
1.000	1.000	0.798	0.000	1.000	0.939	0	1.000	0.869	1.000	1.000	1.000	1.000	1.000	1.000	0.979	0.000	1.000	0.987	0.899	1.000	1.000	1.000	1.000	0.929	0.909	1.000	1.000	1	1.000	0.980	1.000	1.000	0.919	0.980	0.990	0.941	0.000	1.000	1.000	0.000	0.967	1.000	1.000	1.000	1.000	0.970	0.990	1.000	0.919	0.806	1.000	1.000	0.990	1.000	0.929	1.000	1.000	1.000	0.970	1.000	0.798	0.842	1.000	1.000	0.957	0.929	0.688	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.819	0.894	0.772	0.625	0.793	0.000	0.869	1.000	0	1.000	0.891	0.000	0.982	1.000	1.000	0.936	0.841	0.000	0.667	0.970	0.919	0.800	0.768	0.500	0.907	0.000	0.226	1.000	1	1.000	0.000	0.900	0.846	0.689	0.988	0.995	0.912	1.000	0.321	1.000	0.792	0.978	0.000	1.000	0.667	0.000	0.983	0.000	1.000	0.940	0.944	0.963	0.625	0.973	0.889	0.000	0.000	0.957	0.992	0.939	1.000	0.982	0.895	0.000	1.000	0.826	0.916	0.750	0.818
0.940	1.000	0.788	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.932	1.000	1.000	1.000	0.995	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	0.968	1.000	0.829	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.653	1.000	1.000	1.000	1.000	1.000	1.000	0.968	0.797	1.000	1.000	1.000	0.951	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
