GO:0005929;GO:0120025;GO:0042995	GO:0003674;GO:0006259;unknown	GO:0005694	GO:0031410;GO:0097708;GO:0031982	GO:0032991	GO:0005783	GO:0005615	GO:0003674;unknown	GO:0005773	GO:0005794	GO:0005829	GO:0005654	GO:0005840	GO:0005764;GO:0000323	GO:0005856	GO:0005576	GO:0043232;GO:0043228	GO:0005815	GO:0005768	GO:0005635;GO:0031967;GO:0031975	GO:0003677;GO:0006259;unknown	GO:0005886;GO:0016020	GO:0005737	unknown;GO:0003674	GO:0005623	GO:0005634	GO:0043167;unknown	unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192	GO:0005730	unknown	GO:0005739	GO:0000228	GO:0005777;GO:0042579	GO:0043231;GO:0043227	GO:0031012
0	1.000	1.000	1.000	0.375	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.583	1.000	0.583	0.833	1.000	1.000	1.000	1.000	0.667	1.000	0.667	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0	1.000	0.286	1.000	1.000	1.000	1.000	1.000	1.000	0.880	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.994	1.000	1.000	1.000	0.658	1.000	1.000	0.969	1	1.000	0.000	1.000	0.658	1.000
1.000	1.000	1.000	0	0.250	1.000	1.000	1.000	1.000	0.659	1.000	1.000	1.000	1.000	0.977	1.000	0.977	1.000	0.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
0.375	1.000	0.286	0.250	0	0.719	0.611	1.000	0.545	0.652	0.333	0.000	1.000	0.857	0.271	0.994	0.502	0.667	0.238	0.048	1.000	0.622	0.528	1.000	0.226	0.495	1.000	1.000	0.656	1	0.794	0.231	1.000	0.579	0.889
1.000	1.000	1.000	1.000	0.719	0	1.000	1.000	1.000	0.965	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	1.000	0.611	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.545	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	0.659	0.652	0.965	1.000	1.000	1.000	0	1.000	0.985	1.000	1.000	1.000	1.000	1.000	1.000	0.762	1.000	1.000	0.955	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	0	1.000	0.933	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	0.933	1.000	1.000	0.933	1.000
1.000	1.000	0.880	1.000	0.000	1.000	1.000	1.000	1.000	0.985	1.000	0	1.000	1.000	1.000	1.000	0.861	1.000	1.000	0.952	1.000	1.000	0.991	1.000	1.000	1.000	1.000	1.000	0.938	1	1.000	0.718	1.000	0.991	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	0	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1	0.897	1.000	1.000	0.888	1.000
1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
0.583	1.000	1.000	0.977	0.271	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.994	0.000	1.000	0.952	1.000	1.000	0.987	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.994	1.000
1.000	1.000	1.000	1.000	0.994	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.994	0	0.994	1.000	1.000	1.000	1.000	0.994	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
0.583	1.000	0.000	0.977	0.502	1.000	1.000	1.000	1.000	1.000	0.933	0.861	0.000	1.000	0.000	0.994	0	1.000	0.952	1.000	1.000	0.974	0.934	1.000	1.000	0.871	1.000	1.000	0.000	1	0.897	0.000	1.000	0.860	1.000
0.833	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.900	1.000	1.000	1.000	1	1.000	1.000	1.000	0.900	1.000
1.000	1.000	1.000	0.000	0.238	1.000	1.000	1.000	1.000	0.762	1.000	1.000	1.000	1.000	0.952	1.000	0.952	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	1.000	0.048	1.000	1.000	1.000	1.000	1.000	1.000	0.952	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.994	0.909	0.622	1.000	1.000	1.000	0.909	0.955	1.000	1.000	1.000	0.857	0.987	0.994	0.974	1.000	1.000	1.000	1.000	0	0.994	1.000	1.000	1.000	1.000	1.000	0.969	1	1.000	0.974	1.000	0.968	0.926
0.667	1.000	1.000	1.000	0.528	0.333	1.000	1.000	1.000	1.000	1.000	0.991	1.000	1.000	0.923	1.000	0.934	0.800	1.000	1.000	1.000	0.994	0	1.000	0.968	0.896	1.000	1.000	1.000	1	1.000	1.000	1.000	0.717	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
0.667	1.000	1.000	1.000	0.226	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.968	1.000	0	1.000	1.000	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.658	1.000	0.495	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	0.871	0.900	1.000	1.000	1.000	1.000	0.896	1.000	1.000	0	1.000	1.000	1.000	1	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.969	1.000	0.656	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.969	1.000	1.000	1.000	1.000	1.000	1.000	0	1	1.000	1.000	1.000	1.000	1.000
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.794	1.000	1.000	1.000	1.000	1.000	0.933	1.000	0.897	1.000	1.000	1.000	0.897	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.000	1.000
1.000	1.000	0.000	1.000	0.231	1.000	1.000	1.000	1.000	1.000	1.000	0.718	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.974	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.000	1.000
1.000	1.000	0.658	0.000	0.579	0.000	1.000	1.000	0.000	0.000	0.933	0.991	0.888	0.000	0.994	1.000	0.860	0.900	0.000	1.000	1.000	0.968	0.717	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	0	1.000
1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.926	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
