"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111119231","GO:0030833","regulation of actin filament polymerization",61,1,0.02,0.0245,"Biological Processes",0.0163934426229508
"2","LOC111128694","GO:0002181","cytoplasmic translation",52,1,0.02,0.0209,"Biological Processes",0.0192307692307692
"3","LOC111133824","GO:0006956","complement activation",8,1,0,0.0032,"Biological Processes",0.125
"4","LOC111134583","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",103,1,0.04,0.0411,"Biological Processes",0.00970873786407767
"5","LOC111134583","GO:0007409","axonogenesis",105,1,0.04,0.0419,"Biological Processes",0.00952380952380952
"6","LOC111134583","GO:0033674","positive regulation of kinase activity",64,1,0.03,0.0257,"Biological Processes",0.015625
"7","LOC111128694","GO:0022625","cytosolic large ribosomal subunit",49,1,0.02,0.0179,"Cellular Components",0.0204081632653061
"8","LOC111134583","GO:0043235","receptor complex",137,1,0.05,0.04942,"Cellular Components",0.0072992700729927
"9","LOC111135796","GO:0031464","Cul4A-RING E3 ubiquitin ligase complex",2,1,0,0.00074,"Cellular Components",0.5
"10","LOC111119231","GO:0031267","small GTPase binding",75,1,0.02,0.0227,"Molecular Functions",0.0133333333333333
"11","LOC111133824","GO:0004252","serine-type endopeptidase activity",119,1,0.04,0.0359,"Molecular Functions",0.00840336134453781
"12","LOC111135796","GO:0019902","phosphatase binding",18,1,0.01,0.0055,"Molecular Functions",0.0555555555555556
