"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111100470","GO:0051726","regulation of cell cycle",249,2,0.32,0.04,"Biological Processes",0.00803212851405622
"2","LOC111108150","GO:0000724","double-strand break repair via homologous recombination",159,2,0.2,0.0174,"Biological Processes",0.0125786163522013
"3","LOC111108225","GO:0006310","DNA recombination",305,5,0.39,0.0051,"Biological Processes",0.0163934426229508
"4","LOC111108225","GO:0015074","DNA integration",275,2,0.35,0.0479,"Biological Processes",0.00727272727272727
"5","LOC111109813","GO:0042446","hormone biosynthetic process",16,1,0.02,0.0204,"Biological Processes",0.0625
"6","LOC111109813","GO:0042448","progesterone metabolic process",6,1,0.01,0.0077,"Biological Processes",0.166666666666667
"7","LOC111119666","GO:0090161","Golgi ribbon formation",2,1,0,0.0026,"Biological Processes",0.5
"8","LOC111121716","GO:0000724","double-strand break repair via homologous recombination",159,2,0.2,0.0174,"Biological Processes",0.0125786163522013
"9","LOC111121716","GO:0007131","reciprocal meiotic recombination",34,1,0.04,0.0428,"Biological Processes",0.0294117647058824
"10","LOC111126611","GO:0030431","sleep",19,1,0.02,0.0241,"Biological Processes",0.0526315789473684
"11","LOC111126611","GO:0032222","regulation of synaptic transmission, cholinergic",19,1,0.02,0.0241,"Biological Processes",0.0526315789473684
"12","LOC111126611","GO:1903818","positive regulation of voltage-gated potassium channel activity",19,1,0.02,0.0241,"Biological Processes",0.0526315789473684
"13","LOC111126792","GO:0006310","DNA recombination",305,5,0.39,0.0051,"Biological Processes",0.0163934426229508
"14","LOC111126792","GO:0015074","DNA integration",275,2,0.35,0.0479,"Biological Processes",0.00727272727272727
"15","LOC111130818","GO:0051726","regulation of cell cycle",249,2,0.32,0.04,"Biological Processes",0.00803212851405622
"16","LOC111131487","GO:0000717","nucleotide-excision repair, DNA duplex unwinding",2,1,0,0.0026,"Biological Processes",0.5
"17","LOC111131487","GO:0045951","positive regulation of mitotic recombination",2,1,0,0.0026,"Biological Processes",0.5
"18","LOC111133635","GO:0043025","neuronal cell body",29,1,0.02,0.023,"Cellular Components",0.0344827586206897
"19","LOC111109812","GO:0005506","iron ion binding",188,2,0.26,0.0274,"Molecular Functions",0.0106382978723404
"20","LOC111109812","GO:0020037","heme binding",209,2,0.29,0.0333,"Molecular Functions",0.00956937799043062
"21","LOC111109813","GO:0004508","steroid 17-alpha-monooxygenase activity",6,1,0.01,0.0082,"Molecular Functions",0.166666666666667
"22","LOC111109813","GO:0005506","iron ion binding",188,2,0.26,0.0274,"Molecular Functions",0.0106382978723404
"23","LOC111109813","GO:0020037","heme binding",209,2,0.29,0.0333,"Molecular Functions",0.00956937799043062
"24","LOC111109813","GO:0047442","17-alpha-hydroxyprogesterone aldolase activity",6,1,0.01,0.0082,"Molecular Functions",0.166666666666667
"25","LOC111121716","GO:0015616","DNA translocase activity",5,1,0.01,0.0069,"Molecular Functions",0.2
"26","LOC111133635","GO:0005516","calmodulin binding",35,1,0.05,0.0471,"Molecular Functions",0.0285714285714286
"27","LOC111133635","GO:0016286","small conductance calcium-activated potassium channel activity",10,1,0.01,0.0137,"Molecular Functions",0.1
