"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"829","LOC111135642",5.79043767822473,6.8216193150248e-09,4.87268267672221e-06,"UP"
"1213","LOC111126062",7.91129050996853,1.37346418931897e-08,9.61828892578963e-06,"UP"
"1563","LOC111131917",5.79301124589549,1.10384779157355e-07,6.91647787299113e-05,"UP"
"1845","MSTRG.20407",-24.380883171295,1.52326859426049e-14,2.2021328256029e-11,"DOWN"
"1951","MSTRG.10440",-23.5164922849385,1.21372727158632e-16,3.09630496462181e-13,"DOWN"
"2131","MSTRG.68249",2.16029977707628,6.57047688659473e-08,4.26662876372238e-05,"UP"
"2774","MSTRG.63771",-1.76661396218571,4.57174802069852e-08,3.08075435017448e-05,"DOWN"
"4045","MSTRG.56142",-23.2365426586566,2.42661686619521e-13,2.54901827576947e-10,"DOWN"
"4143","MSTRG.54175",-14.2266681499237,1.34442715935276e-09,1.02162161694221e-06,"DOWN"
"4533","MSTRG.56262",-24.7245306397524,6.50334473919771e-15,1.05575889709294e-11,"DOWN"
"4538","MSTRG.56264",-23.0256001206632,3.61175506295217e-15,6.81670864146933e-12,"DOWN"
"5600","MSTRG.45649",6.52787793414183,2.52404222130314e-09,1.83971771293554e-06,"UP"
"6238","MSTRG.68807",-28.0770177279039,3.78407693919093e-25,3.3787076970801e-21,"DOWN"
"6889","MSTRG.51991",22.9129756028166,7.04528177375971e-13,6.62163785657442e-10,"UP"
"9841","MSTRG.1258",26.0893884906368,2.87178096260486e-16,6.83771047196217e-13,"UP"
"10273","MSTRG.52631",-4.50968975037205,1.62481959614897e-06,0.000753641972421563,"DOWN"
"15406","LOC111128694",-2.99449643026134,1.03237388751862e-06,0.000510070509547696,"DOWN"
"15973","LOC111137455",25.63394515909,9.33061559518002e-16,1.96025256459914e-12,"UP"
"16895","MSTRG.16668",-8.73110959998964,9.95188202826338e-07,0.00050060769949215,"DOWN"
"18379","MSTRG.674",23.921042235168,6.48831625184582e-14,7.72434049782244e-11,"UP"
"20177","MSTRG.61779",22.3674940640078,2.40617972612979e-12,2.19897101941585e-09,"UP"
"20555","MSTRG.81651",-26.8214291846269,2.76580062509318e-17,8.98005175683664e-14,"DOWN"
"23043","LOC111120009",-11.5734869325461,1.14168828246354e-07,7.03024086348026e-05,"DOWN"
"24659","MSTRG.46213",-2.06138924544125,8.78215207301638e-07,0.000448077944696829,"DOWN"
"25232","MSTRG.25361",24.453158953454,1.78187626964904e-14,2.35702633224132e-11,"UP"
"27435","MSTRG.68308",-8.85678701804213,1.00727556295901e-07,6.42407977340736e-05,"DOWN"
"28513","MSTRG.19204",23.4935424935084,1.79699720730087e-13,1.94484106844699e-10,"UP"
"28790","MSTRG.61597",22.1060641250015,4.25936684635176e-12,3.62198302184412e-09,"UP"
"28791","MSTRG.61596",21.9936297350434,2.58412595935422e-19,1.31845798054766e-15,"UP"
"28824","MSTRG.69746",-24.3186096110822,1.7780669373974e-14,2.35702633224132e-11,"DOWN"
"28928","MSTRG.34514",6.09789766767725,7.45710247059832e-07,0.0003859861083151,"UP"
"30332","MSTRG.45178",22.2758904335665,2.97099261818608e-12,2.58802442337844e-09,"UP"
"30361","MSTRG.18749",-1.5481024603715,4.24531861008619e-07,0.000244550893805207,"DOWN"
"30731","MSTRG.82729",-22.9120289042358,5.20860920365408e-13,5.16737438079182e-10,"DOWN"
"31409","MSTRG.46358",-23.3902111137016,4.85612072262933e-15,8.25887388612889e-12,"DOWN"
"33053","LOC111136349",3.81831565738361,1.05684495888365e-06,0.000510070509547696,"UP"
"34367","LOC111119231",-4.23879547144353,1.05615921878254e-06,0.000510070509547696,"DOWN"
"35154","LOC111127981",4.79131444727951,4.63076558473991e-07,0.000262520306125375,"UP"
"35970","MSTRG.17200",23.876638976354,7.1803068786925e-14,8.27240839266138e-11,"UP"
"36865","MSTRG.76130",-24.4165165949194,1.39360521687626e-14,2.16402653568416e-11,"DOWN"
"37055","MSTRG.39517",-6.24622166638817,1.95343350624342e-06,0.000883125033866884,"DOWN"
"37598","MSTRG.81653",-24.8886064443555,4.29772929773815e-15,7.67467009343591e-12,"DOWN"
"37618","MSTRG.60563",22.3498330507235,2.46279828578004e-12,2.19897101941585e-09,"UP"
"37755","LOC111134583",-27.7627512109601,2.13025329944565e-18,9.51024957371269e-15,"DOWN"
"38612","MSTRG.79839",23.3213368183258,3.62641646893231e-15,6.81670864146933e-12,"UP"
"39477","MSTRG.50467",-24.297137605698,1.86559771136962e-14,2.37963650934164e-11,"DOWN"
"39897","MSTRG.61338",21.5044748453868,1.60533935383333e-11,1.30306125050358e-08,"UP"
"39944","LOC111133035",-5.43496339907518,1.54835678750739e-06,0.000727625824550348,"DOWN"
"40332","MSTRG.1000",-13.2626780975145,7.99226705460777e-11,6.20530038815905e-08,"DOWN"
"42609","LOC111126571",23.892879506011,2.13605695121627e-20,1.27148790021148e-16,"UP"
"42789","LOC111134088",-22.3819477970455,4.43863469517713e-16,9.90786488364071e-13,"DOWN"
"43989","LOC111133824",-23.1511811520688,2.88252121593542e-18,1.14388050252371e-14,"DOWN"
"45351","MSTRG.25254",-13.071336971587,7.8034971598243e-11,6.19337557918055e-08,"DOWN"
"47542","MSTRG.78895",-1.73244092754477,5.24412589950597e-07,0.000283778721970993,"DOWN"
"47851","MSTRG.36954",-21.4986222065703,1.24334899244051e-11,1.03270254104681e-08,"DOWN"
"49549","MSTRG.7374",23.5696924224203,1.50107317342435e-13,1.67533838715158e-10,"UP"
