"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"100","MSTRG.44250",24.7181972386247,3.12592006456149e-10,2.5117833373319e-07,"UP"
"891","MSTRG.43796",-3.15978487815504,1.504743605574e-06,0.000537383460069411,"DOWN"
"947","MSTRG.58567",29.9421324857566,1.14708810505057e-10,1.03989419225937e-07,"UP"
"1004","MSTRG.4716",17.4687407095403,2.55929371477944e-06,0.000874252260221108,"UP"
"1045","LOC111133635",16.1639553638922,4.34185785733247e-11,4.26412654096995e-08,"UP"
"1111","MSTRG.71451",15.4171527662009,3.16885977248188e-11,3.20104633388523e-08,"UP"
"1326","LOC111099481",17.8471437725983,1.03347572500604e-09,7.69243178851601e-07,"UP"
"1696","LOC111111285",-5.55880334341027,8.69297337034886e-09,5.25375076915161e-06,"DOWN"
"1947","MSTRG.74809",-21.6499040449513,2.54174358931727e-06,0.000872471994874823,"DOWN"
"2416","LOC111130818",19.5072013377951,5.81593468935071e-24,8.22501115637357e-20,"UP"
"2507","MSTRG.57053",-21.1068642597162,2.2121392143278e-16,6.84857674388083e-13,"DOWN"
"3298","MSTRG.28537",4.67232213664907,2.48726779356038e-07,0.000111314679082562,"UP"
"3484","LOC111122647",29.9777077108659,3.93802352627676e-22,2.78461581566556e-18,"UP"
"3528","MSTRG.4172",19.372525900137,8.58770982204118e-19,4.04830366150902e-15,"UP"
"3862","LOC111108749",16.8685660418616,1.32725640880279e-07,6.42819369334619e-05,"UP"
"3997","MSTRG.18042",22.3834230257904,1.26113728673951e-06,0.000464289486184503,"UP"
"4318","MSTRG.56142",23.4905056447466,5.58874839873506e-09,3.43639989585178e-06,"UP"
"4650","MSTRG.37910",2.39463769325386,1.87922003276097e-07,8.74220577214215e-05,"UP"
"5584","MSTRG.54902",-18.4341852974574,2.11891429592879e-10,1.78369700927882e-07,"DOWN"
"5939","LOC111118346",29.9991306474276,1.85167815185186e-13,2.78583008075738e-10,"UP"
"6083","MSTRG.23492",-18.5593263199648,1.59404182652484e-10,1.35802760958311e-07,"DOWN"
"6126","MSTRG.41916",4.786435309183,2.85118279738052e-08,1.56286811461685e-05,"UP"
"6208","MSTRG.8190",16.8167791546521,1.38054194827472e-08,8.00159850036509e-06,"UP"
"7056","LOC111123527",-21.8387615738247,2.704497219105e-06,0.000919412032981411,"DOWN"
"7080","MSTRG.39527",29.9635357523003,4.48044362799957e-15,1.0219891915467e-11,"UP"
"7089","MSTRG.39528",29.9842785051717,4.73517398020244e-36,3.34828887314095e-31,"UP"
"7581","MSTRG.45883",17.6063528863894,1.21169201365076e-22,1.08107379850024e-18,"UP"
"7863","LOC111106409",27.6731483985833,4.73672656606381e-21,2.57645132471491e-17,"UP"
"8459","MSTRG.8687",18.5310240395544,1.17792436718492e-08,6.88365371305892e-06,"UP"
"8660","MSTRG.53477",-6.15190521513838,2.81684825063833e-08,1.55611059883506e-05,"DOWN"
"9429","LOC111132121",-4.94714318966622,8.88952110584273e-08,4.42666849940314e-05,"DOWN"
"9852","MSTRG.75761",-24.6580082943661,8.33355733999694e-08,4.20910123620374e-05,"DOWN"
"9863","MSTRG.47341",26.1973165715977,5.83519604387494e-15,1.25034105290437e-11,"UP"
"10042","MSTRG.25510",-23.5351455226839,3.1414587633821e-07,0.000135663997486344,"DOWN"
"11003","MSTRG.83852",16.5728203879044,1.35667457560907e-06,0.00048944804038721,"UP"
"11021","MSTRG.55363",24.1046142794665,1.80376991102881e-07,8.44677974693764e-05,"UP"
"11228","LOC111126792",16.3371018722297,1.42976161254295e-11,1.5796855216332e-08,"UP"
"11306","MSTRG.22732",-21.7730502438381,2.22166888064325e-06,0.000766324040093488,"DOWN"
"11469","MSTRG.50582",25.9618334416305,2.45865448677287e-08,1.37979299535077e-05,"UP"
"12751","MSTRG.23707",17.7601304477531,2.05376310343094e-14,4.14924693733444e-11,"UP"
"13814","MSTRG.81222",30,3.73854725024946e-14,6.60891036530974e-11,"UP"
"13817","MSTRG.81225",30,5.73919457286893e-15,1.25034105290437e-11,"UP"
"14136","MSTRG.59229",21.5619636401516,3.4419702271792e-21,2.02820963945057e-17,"UP"
"14419","LOC111125988",-4.90241222369581,1.77782149820946e-07,8.3807690639926e-05,"DOWN"
"14828","MSTRG.65853",28.2913686191858,9.44056237782021e-10,7.10161283295792e-07,"UP"
"15232","MSTRG.64467",15.2881729039436,2.51381433515206e-07,0.000111795173240841,"UP"
