"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"368","LOC111128348",-20.14658948511,2.43712598809386e-12,7.49267894539585e-09,"DOWN"
"1045","LOC111133635",21.356880246234,7.58622657680095e-08,5.53020275744507e-05,"UP"
"1111","MSTRG.71451",23.4578782360922,1.98596539665693e-10,3.34356188483352e-07,"UP"
"2416","LOC111130818",24.3697220135707,1.18743756384854e-15,1.39941495962157e-11,"UP"
"2507","MSTRG.57053",-19.91915822691,1.59771201107715e-06,0.000733609181917379,"DOWN"
"2546","MSTRG.48811",-20.5225321912604,1.95635251187599e-08,1.77353387778542e-05,"DOWN"
"2910","MSTRG.79111",-28.4956082650602,9.27385282425239e-18,5.1867707298164e-13,"DOWN"
"3298","MSTRG.28537",8.46647088448075,7.59178143348792e-09,7.92739516608862e-06,"UP"
"3528","MSTRG.4172",19.8905719549063,1.87015275264035e-08,1.71740741937599e-05,"UP"
"5813","MSTRG.10253",-17.9697772592596,1.36392265163006e-08,1.28592446159218e-05,"DOWN"
"6083","MSTRG.23492",-26.8482835604698,3.15919963824897e-08,2.6914477785569e-05,"DOWN"
"6161","MSTRG.69651",-17.875827041016,1.28633256522841e-08,1.23296756888188e-05,"DOWN"
"7304","MSTRG.34023",3.36766578280515,8.61540588941503e-07,0.000451262196923279,"UP"
"7439","MSTRG.69521",-18.7803255596869,1.7036141877014e-07,0.000110517672317939,"DOWN"
"7581","MSTRG.45883",19.9073485730152,2.24575663585743e-12,7.27963767924804e-09,"UP"
"7700","MSTRG.81661",-18.7166154747165,1.20842301738389e-06,0.000581284353620626,"DOWN"
"8004","LOC111120197",-16.6571453826924,1.28870799273396e-08,1.23296756888188e-05,"DOWN"
"8129","MSTRG.82412",-19.4354510956719,1.08717751505491e-06,0.00053385700879894,"DOWN"
"8459","MSTRG.8687",25.4415767176725,1.29688212796891e-06,0.000611358881005396,"UP"
"9429","LOC111132121",-7.55636488900647,7.93208201042899e-07,0.000421718384240184,"DOWN"
"9744","MSTRG.4924",-20.6774048459297,6.47832246404324e-11,1.24763050668093e-07,"DOWN"
"10282","MSTRG.1117",1.53302711163198,1.97216499855222e-06,0.000860825674152011,"UP"
"10592","MSTRG.74689",-20.0003849790219,2.14486760116646e-06,0.000919186260279282,"DOWN"
"10693","MSTRG.44850",-22.806079854779,1.19115350651338e-07,8.12646776663397e-05,"DOWN"
"11512","MSTRG.54931",27.6865260706077,7.45567052039949e-07,0.000402441158906846,"UP"
"11760","LOC111115945",-14.9673389970619,1.4322909616267e-06,0.000666307409128854,"DOWN"
"12665","MSTRG.48328",-19.5221126951445,1.30308059140399e-10,2.2473690658236e-07,"DOWN"
"12751","MSTRG.23707",22.8908889614607,6.25546407352922e-10,9.82955822451833e-07,"UP"
"13013","MSTRG.21077",-21.6443818949102,3.09158555079886e-12,9.10871274510575e-09,"DOWN"
"13475","MSTRG.34960",-2.61079483253757,3.62645457980894e-07,0.000207849426597003,"DOWN"
"14419","LOC111125988",-7.48411514677699,1.6201024694908e-06,0.000739090746581703,"DOWN"
"14993","MSTRG.63479",17.5170790793252,7.7145768504353e-09,7.92739516608862e-06,"UP"
"15905","MSTRG.73381",-23.6172203835565,1.01972240950876e-08,1.03007987569677e-05,"DOWN"
"16449","LOC111113107",-23.1768167199842,1.777384544106e-11,4.18935461660932e-08,"DOWN"
"16646","MSTRG.53416",-17.6778499320457,1.74691411536889e-09,2.33068007569527e-06,"DOWN"
"17041","LOC111135790",-23.425286519643,2.26488140379088e-12,7.27963767924804e-09,"DOWN"
"17457","MSTRG.66970",23.1673768830065,6.85214384286391e-07,0.000372709187132885,"UP"
"17961","LOC111134064",4.16016367839007,3.4781348915538e-07,0.00020159212812841,"UP"
"18162","LOC111130497",20.3218631524359,1.06767178270194e-06,0.000529070022957594,"UP"
"19003","MSTRG.73800",-27.0733890715598,1.64988396282142e-06,0.000747852210865805,"DOWN"
"19807","MSTRG.60694",-22.4504496979927,3.6372993745065e-08,3.02584795377328e-05,"DOWN"
"19811","MSTRG.60690",19.826522090186,1.06994687223962e-06,0.000529070022957594,"UP"
"20373","MSTRG.11668",-30,7.52999253170568e-07,0.000403373713567758,"DOWN"
"20508","MSTRG.82828",-17.1934299331708,1.18208826428927e-06,0.000572511255179169,"DOWN"
"21283","MSTRG.55671",-30,2.5110137184619e-09,3.1706480543957e-06,"DOWN"
"21586","MSTRG.27763",-21.0531572300874,2.95358622252515e-09,3.60087992036165e-06,"DOWN"
"21733","MSTRG.44157",23.3080651786338,1.75775767168992e-06,0.000791673902693413,"UP"
"22016","MSTRG.67412",-15.3000312734528,1.78555035234343e-06,0.000799101588383265,"DOWN"
"23011","LOC111106442",-21.051721198089,5.72434459135674e-15,4.4974903377714e-11,"DOWN"
"23064","MSTRG.69407",-18.9255071682335,4.72298190569389e-09,5.38656086344388e-06,"DOWN"
"23656","MSTRG.59744",20.5542045846574,1.19522089594254e-07,8.12646776663397e-05,"UP"
"23683","MSTRG.64933",-18.6598472142296,1.82916165733427e-07,0.000116524189145733,"DOWN"
"23993","MSTRG.45938",21.0945601269405,2.23112843795281e-12,7.27963767924804e-09,"UP"
"24021","MSTRG.63313",11.5608614044525,2.12693070261109e-06,0.00091705729824593,"UP"
"24123","MSTRG.77558",20.0082481119775,2.21577161177882e-06,0.000938200158326298,"UP"
"24420","MSTRG.76262",-22.6240601464567,3.46977782455643e-11,7.66723311725656e-08,"DOWN"
"25042","MSTRG.79718",29.811987040399,3.80920691455115e-08,3.13200965273054e-05,"UP"
"25237","MSTRG.51999",-22.3290694388704,1.08958199761489e-12,4.5320842725498e-09,"DOWN"
"25324","MSTRG.69715",20.8068476492996,3.64109991066983e-09,4.36382738615888e-06,"UP"
"26414","MSTRG.64984",-21.6424100262796,5.491073366758e-09,6.06686388807539e-06,"DOWN"
"27131","MSTRG.9199",-20.809024836207,3.8358015399742e-11,8.21919280888229e-08,"DOWN"
"27421","MSTRG.79822",-29.7761363226808,2.3969045948912e-13,1.30375016007194e-09,"DOWN"
"27748","LOC111112602",-20.9391603648171,1.73471867676439e-07,0.000111512447593352,"DOWN"
"27815","MSTRG.60630",-20.4743063971103,5.67371780705269e-08,4.31391677262906e-05,"DOWN"
"27965","MSTRG.52604",-21.1830404578886,4.16142511265949e-09,4.90430885235441e-06,"DOWN"
"28043","MSTRG.14601",-19.3439685912221,2.88123382842589e-07,0.00017265671630663,"DOWN"
"28559","MSTRG.8162",-24.9755926382475,3.14828882707409e-13,1.59013322322312e-09,"DOWN"
"28922","MSTRG.59715",28.7939788454537,7.00701977988529e-09,7.62266731777645e-06,"UP"
"29572","MSTRG.81148",-23.4640863214376,5.3424533132264e-09,5.99635263859607e-06,"DOWN"
"30175","MSTRG.68733",16.9849885790914,1.92639098246617e-06,0.000846068526466866,"UP"
"30410","MSTRG.72644",-18.3645237807998,3.96212478337892e-11,8.24017075169138e-08,"DOWN"
"30580","MSTRG.51961",20.3037319339708,2.98555406252667e-07,0.000177404633038087,"UP"
"30662","MSTRG.47213",6.9367228982485,1.4494463685685e-07,9.66903794036293e-05,"UP"
"30690","LOC111107407",-20.7327107482204,5.51950253149987e-07,0.000302550033724719,"DOWN"
"30858","LOC111121850",-5.65136444097481,1.00965445023663e-07,7.21148240713961e-05,"DOWN"
"30898","LOC111123599",20.0600302236671,1.35748324404774e-11,3.42817848820927e-08,"UP"
"30948","MSTRG.66032",-29.982226284178,6.53735869144379e-08,4.81524135865294e-05,"DOWN"
"31197","LOC111117921",-8.33918267350375,5.74491613235972e-08,4.32158260250306e-05,"DOWN"
"31324","LOC111115132",-17.9572896709412,8.321472948922e-10,1.25195675253452e-06,"DOWN"
"31420","MSTRG.60833",-18.9903272332743,2.61012111226639e-07,0.000160490673016929,"DOWN"
"31810","MSTRG.81892",-14.7239162065431,1.06706967681426e-07,7.54535639172134e-05,"DOWN"
"31910","MSTRG.71818",-22.0624861298874,1.53340250523544e-07,0.000101334976212807,"DOWN"
"31951","MSTRG.27477",-24.0748928682294,6.88114256352707e-17,1.10321362962889e-12,"DOWN"
"32034","LOC111117570",10.2277695969265,6.57117860178632e-10,1.01011871763242e-06,"UP"
"32352","MSTRG.60462",-16.6457003350132,2.69169066124786e-07,0.000164079429609911,"DOWN"
"32758","MSTRG.82722",-23.1145323516358,6.12328824017865e-11,1.23709667071792e-07,"DOWN"
"33265","MSTRG.84239",-19.085974758698,2.53532866531864e-08,2.21327932411539e-05,"DOWN"
