"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"915","MSTRG.33703",-23.2288460213922,9.6020601053691e-08,0.000112318995395189,"DOWN"
"1131","MSTRG.6596",-30,1.26198317673778e-06,0.000560068133836225,"DOWN"
"2857","LOC111102883",-22.275296496756,2.81833786592494e-09,7.72539565966095e-06,"DOWN"
"2910","MSTRG.79111",-27.6335371750434,5.08138792220302e-07,0.000307516358164596,"DOWN"
"3561","MSTRG.47963",-29.6771235783541,1.16555286971095e-06,0.000532486256624124,"DOWN"
"4452","MSTRG.14832",-30,3.13331146428092e-11,2.92018361848053e-07,"DOWN"
"4631","LOC111119901",-22.1412690474952,1.83591211244357e-06,0.00075709441175007,"DOWN"
"4793","MSTRG.57139",-20.1263708102989,3.44079161544602e-09,8.43881307832469e-06,"DOWN"
"4976","MSTRG.75031",-30,3.25447868796095e-07,0.000233316080585065,"DOWN"
"5813","MSTRG.10253",-30,8.68727948412722e-08,0.000109410415319147,"DOWN"
"6424","MSTRG.60684",-22.3553787396942,1.44442936103821e-07,0.000140227007906291,"DOWN"
"6502","MSTRG.55546",-30,4.04430331960077e-07,0.000269229271985823,"DOWN"
"7894","MSTRG.33617",-19.2816476320592,1.83210120914313e-07,0.000161083177820492,"DOWN"
"8004","LOC111120197",-30,8.06685527311472e-09,1.7086699494176e-05,"DOWN"
"8038","LOC111130837",-25.5060532233411,2.82958833517579e-07,0.000213647309761078,"DOWN"
"8646","MSTRG.67421",-21.2630193098215,2.4616042432588e-09,7.62471619447482e-06,"DOWN"
"11625","MSTRG.79721",-21.0712662682705,4.8252275481322e-10,2.81063473144265e-06,"DOWN"
"11760","LOC111115945",-28.0377953023195,3.5970152244694e-07,0.000253965624916741,"DOWN"
"12353","MSTRG.32871",-20.0748945886917,8.79035658468873e-07,0.000435767900521181,"DOWN"
"13488","MSTRG.17316",-24.1188785596427,1.13526235090558e-06,0.000523783072176726,"DOWN"
"14063","LOC111103658",-29.9946348302273,6.89840186374637e-07,0.000372072816745009,"DOWN"
"14138","MSTRG.59227",-24.6837190839316,6.15964294549166e-10,3.18925779574406e-06,"DOWN"
"14549","MSTRG.4090",-22.396449640758,2.36846984124077e-08,3.67894420439929e-05,"DOWN"
"14637","MSTRG.69110",-30,8.31082427918418e-07,0.000416425914608283,"DOWN"
"15260","MSTRG.35317",-20.1190868125945,6.99087160035467e-07,0.000372072816745009,"DOWN"
"15280","MSTRG.48982",-24.0735280508083,6.64839973744701e-07,0.000372072816745009,"DOWN"
"15736","MSTRG.46318",-26.1274233336389,1.02453942734425e-08,1.83625049133902e-05,"DOWN"
"16221","MSTRG.58988",-21.4808274545729,1.62755599920046e-07,0.000148710749032828,"DOWN"
"16646","MSTRG.53416",-30,9.14328971961263e-09,1.81831437468199e-05,"DOWN"
"16685","MSTRG.56806",-22.5215831240708,2.47509776225286e-06,0.000953199013415051,"DOWN"
"17647","MSTRG.16937",-23.4258185769184,2.68700547713338e-07,0.000212223335981252,"DOWN"
