"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"61","MSTRG.74621",2.35492548379495,0.000301320708144027,0.0259542397020397,"UP"
"231","MSTRG.17320",5.86833706058454,6.06739136616191e-05,0.00886314640350404,"UP"
"235","MSTRG.17326",-22.727158195569,0.000645894679783269,0.0426317934606524,"DOWN"
"368","LOC111128348",-20.0222111356243,1.92978923359118e-05,0.00392691041467754,"DOWN"
"499","MSTRG.6314",-28.6255626318281,0.000400069054443374,0.0312275006164268,"DOWN"
"575","MSTRG.84341",-18.0219956798317,3.44140763497903e-05,0.00587713633935597,"DOWN"
"706","MSTRG.364",-2.47081884529984,0.000475261468818607,0.0349869023467271,"DOWN"
"801","MSTRG.24794",-19.6006263795014,0.000478086978569552,0.0350759185257578,"DOWN"
"803","LOC111100580",-30,0.000137401715714943,0.0150653707072956,"DOWN"
"915","MSTRG.33703",-23.2288460213922,9.6020601053691e-08,0.000112318995395189,"DOWN"
"921","MSTRG.44681",3.44942571280702,0.000791399181274866,0.0489103586846519,"UP"
"1081","LOC111135801",-17.8690208769314,7.64307739438279e-06,0.00201220205367708,"DOWN"
"1111","MSTRG.71451",23.4609948130039,0.000214892122044959,0.0203118823431502,"UP"
"1131","MSTRG.6596",-30,1.26198317673778e-06,0.000560068133836225,"DOWN"
"1246","LOC111131462",-30,3.23743561698662e-06,0.00112583031579074,"DOWN"
"1421","MSTRG.38524",-30,1.0152545383432e-05,0.00245128736954689,"DOWN"
"1443","LOC111135528",-8.98101284200298,0.000785463403841655,0.0486726185580017,"DOWN"
"1449","LOC111124305",-22.6498606312964,9.19885588663804e-05,0.0116800404757887,"DOWN"
"1497","LOC111135214",-11.6642165457326,0.000336897469254879,0.0279343152487689,"DOWN"
"1505","MSTRG.77617",-18.3108474245964,0.000190709209433766,0.0186698706941262,"DOWN"
"1603","MSTRG.70903",-20.4943320562745,0.000299898638684591,0.0259276004899133,"DOWN"
"1703","MSTRG.2588",-9.04613270510913,0.000363551498620849,0.029309924367185,"DOWN"
"1736","MSTRG.63404",-21.2207482118297,2.70645843631801e-05,0.00493105558679251,"DOWN"
"1828","MSTRG.84031",-20.6465216562767,6.92485167960889e-05,0.00957540544267344,"DOWN"
"1854","MSTRG.73125",-29.8470968543207,0.000326687776491602,0.0273800785912449,"DOWN"
"2083","LOC111099801",-19.2947584742344,2.30927736302425e-05,0.00442741907445231,"DOWN"
"2092","MSTRG.10440",-30,3.03086574919332e-06,0.00108495856454278,"DOWN"
"2125","MSTRG.17946",-22.1747450713531,0.000502557710811532,0.0361221311987586,"DOWN"
"2126","MSTRG.17949",-29.1301101911237,4.94949179929138e-06,0.00148800882809793,"DOWN"
"2377","MSTRG.74530",-11.0996374281555,0.000702839199687706,0.0454883387031214,"DOWN"
"2425","LOC111117040",-15.7585467075378,0.000600162430338832,0.0407088341941182,"DOWN"
"2578","LOC111105568",-12.1197302069538,0.000751402656223167,0.0472531880935808,"DOWN"
"2613","LOC111128671",-30,0.000185312163904239,0.0183731096293056,"DOWN"
"2678","MSTRG.12380",-30,2.29745334303703e-05,0.00442392679058606,"DOWN"
"2832","MSTRG.81125",-18.3826189954611,0.000373909627505898,0.0299893541000815,"DOWN"
"2857","LOC111102883",-22.275296496756,2.81833786592494e-09,7.72539565966095e-06,"DOWN"
"2910","MSTRG.79111",-27.6335371750434,5.08138792220302e-07,0.000307516358164596,"DOWN"
"3125","MSTRG.12467",-25.8752218497067,0.000317927867186565,0.0270491298880464,"DOWN"
"3273","LOC111119450",7.69868179124795,4.89467847730048e-05,0.00770564602580153,"UP"
"3440","LOC111135232",-21.0665187432068,4.92270322946972e-05,0.00772367164276294,"DOWN"
"3441","MSTRG.68711",-29.0238570175918,0.000140191415436021,0.0152635041306148,"DOWN"
"3537","LOC111124301",-20.8303152018112,0.000605908237999039,0.0409792713824633,"DOWN"
"3561","MSTRG.47963",-29.6771235783541,1.16555286971095e-06,0.000532486256624124,"DOWN"
"3656","MSTRG.2102",-10.2265229771594,5.5635224148555e-05,0.00836305100031778,"DOWN"
"3666","MSTRG.35587",1.98402795410118,0.000719259970481037,0.0459614472519794,"UP"
"3739","MSTRG.29569",-27.6063149636815,0.000265211181398927,0.0237207603858359,"DOWN"
"3745","MSTRG.29560",-27.3438235879168,1.03673812742467e-05,0.00249025567009598,"DOWN"
"3747","MSTRG.29567",-30,0.000378864609927412,0.0302825247993267,"DOWN"
"3935","MSTRG.8063",1.20265944557657,0.000242528465661547,0.022142120950685,"UP"
"3962","MSTRG.2692",-21.1112482551869,6.71832496977211e-05,0.00937842043167299,"DOWN"
"4140","MSTRG.79623",-22.5283375181529,9.28290152097215e-06,0.00231322956136781,"DOWN"
"4146","MSTRG.71438",-29.0766407412985,5.73287587634122e-05,0.00846649488482016,"DOWN"
"4347","MSTRG.39592",-6.53348896473687,0.00069486587534419,0.0450348469056522,"DOWN"
"4452","MSTRG.14832",-30,3.13331146428092e-11,2.92018361848053e-07,"DOWN"
"4631","LOC111119901",-22.1412690474952,1.83591211244357e-06,0.00075709441175007,"DOWN"
"4648","MSTRG.37918",1.03881012863174,0.000166782134448108,0.0171186799188268,"UP"
"4693","MSTRG.66882",-30,4.10472018274623e-06,0.00132830455413744,"DOWN"
"4696","MSTRG.66888",-30,0.000537079497873084,0.0374661190439938,"DOWN"
"4793","MSTRG.57139",-20.1263708102989,3.44079161544602e-09,8.43881307832469e-06,"DOWN"
"4852","LOC111103974",-30,0.000493339060341726,0.0357528878271603,"DOWN"
"4890","MSTRG.73085",-23.3266306316968,0.000272218822107196,0.0242082536094908,"DOWN"
"4893","MSTRG.41667",7.26165378425333,0.000128423105483535,0.0144202127528367,"UP"
"4976","MSTRG.75031",-30,3.25447868796095e-07,0.000233316080585065,"DOWN"
"5102","MSTRG.72582",-30,0.000536873431747965,0.0374661190439938,"DOWN"
"5320","MSTRG.40475",-18.0740859090433,0.000154973527314977,0.0163384873288475,"DOWN"
"5429","MSTRG.57887",-1.95481601278895,0.000396267041305705,0.0309826306339003,"DOWN"
"5452","MSTRG.75917",-9.65070486758945,9.46400821183587e-05,0.0118551967382618,"DOWN"
"5584","MSTRG.54902",-30,0.000280599650091477,0.024624600931474,"DOWN"
"5683","MSTRG.69010",-13.3097925128227,0.00027756228222459,0.0244964484647418,"DOWN"
"5801","LOC111115912",-12.5180892927962,9.22536191434128e-05,0.0116818652132171,"DOWN"
"5813","MSTRG.10253",-30,8.68727948412722e-08,0.000109410415319147,"DOWN"
"6066","MSTRG.34657",-11.9920812655594,0.000770727667863692,0.0480791681322359,"DOWN"
"6083","MSTRG.23492",-30,0.000234519878158173,0.0215550134167509,"DOWN"
"6103","MSTRG.25899",-4.09926128190328,5.45145703667736e-05,0.00827467252287062,"DOWN"
"6161","MSTRG.69651",-19.0068260481615,0.000263853012195079,0.0236447817601509,"DOWN"
"6262","MSTRG.49375",-25.425182610301,0.000181991660027107,0.0181497963813719,"DOWN"
"6263","MSTRG.49377",-22.1033892715252,0.000151486120830758,0.016043413055892,"DOWN"
"6424","MSTRG.60684",-22.3553787396942,1.44442936103821e-07,0.000140227007906291,"DOWN"
"6502","MSTRG.55546",-30,4.04430331960077e-07,0.000269229271985823,"DOWN"
"6545","LOC111125215",-30,2.00626602598884e-05,0.00401244594613965,"DOWN"
"6586","MSTRG.10041",-25.3869466169255,5.25235091556796e-05,0.00811976886618022,"DOWN"
"6593","MSTRG.49825",-30,0.00011070524545387,0.0130591277092216,"DOWN"
"6765","MSTRG.71069",-23.2512723685133,9.80338170001053e-05,0.0120170620032567,"DOWN"
"6994","LOC111123327",-30,0.000286023580718082,0.0249129211923026,"DOWN"
"7063","MSTRG.68104",-30,0.000206101902728024,0.0197616102165086,"DOWN"
"7154","MSTRG.81548",-29.7350054402095,4.60912281979017e-06,0.00142238751178412,"DOWN"
"7439","MSTRG.69521",-20.0007687510514,0.00076357332350433,0.0477607426872192,"DOWN"
"7558","MSTRG.15380",-7.04151336942833,7.84732946614301e-06,0.0020385025830754,"DOWN"
"7608","MSTRG.2362",-21.5163525684807,0.000759771732265398,0.0475868319245098,"DOWN"
"7778","MSTRG.17467",-22.0141234104992,0.000136719017091809,0.0150258714091066,"DOWN"
"7814","LOC111103361",-17.1850749816137,0.000404871788329029,0.031392047361638,"DOWN"
"7894","MSTRG.33617",-19.2816476320592,1.83210120914313e-07,0.000161083177820492,"DOWN"
"7959","MSTRG.53626",-10.4651838741696,0.000319697505991832,0.0270491298880464,"DOWN"
"7974","MSTRG.49786",-29.5938852195974,1.52075244493147e-05,0.0033270208066367,"DOWN"
"7975","MSTRG.49787",-30,4.53009184450757e-06,0.00141676342189401,"DOWN"
"8004","LOC111120197",-30,8.06685527311472e-09,1.7086699494176e-05,"DOWN"
"8038","LOC111130837",-25.5060532233411,2.82958833517579e-07,0.000213647309761078,"DOWN"
"8309","MSTRG.70628",-21.0556784329448,0.000160730909077936,0.0167185259645597,"DOWN"
"8344","MSTRG.24434",-30,6.26443758214822e-05,0.009009769348473,"DOWN"
"8425","MSTRG.33443",-10.6541301355091,0.000508630104247907,0.0362965608389713,"DOWN"
"8444","LOC111099728",-29.7856853776043,2.69709443349328e-05,0.00493105558679251,"DOWN"
"8449","MSTRG.40360",-29.20617652505,5.30558353023228e-05,0.00815956722525722,"DOWN"
"8548","LOC111135598",-9.46179586990517,0.000787722111679079,0.0487477592060205,"DOWN"
"8646","MSTRG.67421",-21.2630193098215,2.4616042432588e-09,7.62471619447482e-06,"DOWN"
"8661","MSTRG.53479",-30,4.4668845581628e-05,0.00722751227520238,"DOWN"
"8824","MSTRG.74076",-23.8722031283008,1.18618232879145e-05,0.00270955442839964,"DOWN"
"8853","MSTRG.29025",-9.53051279176126,0.000222825282495351,0.020865909520795,"DOWN"
"8874","MSTRG.59895",-4.05529494838735,1.11634933890698e-05,0.00259912468593255,"DOWN"
"8927","MSTRG.2154",-30,0.000323031325995738,0.0272205004702991,"DOWN"
"8981","MSTRG.71369",-30,7.97181014079597e-05,0.0105732470358339,"DOWN"
"9095","MSTRG.67323",-24.07773208176,1.01495046386145e-05,0.00245128736954689,"DOWN"
"9096","MSTRG.67320",-30,0.000165498139815801,0.0170243881176082,"DOWN"
"9193","MSTRG.13356",-30,9.70136759733855e-05,0.0120170620032567,"DOWN"
"9352","LOC111135258",-10.4832745199842,0.000308168927393924,0.0264951362502389,"DOWN"
"9386","MSTRG.39638",-19.6734356139392,7.7115823870599e-05,0.0103858967530232,"DOWN"
"9718","MSTRG.69411",-20.7558622755131,0.000434048464841399,0.0330493862959875,"DOWN"
"9744","MSTRG.4924",-20.1629662365656,0.000206771952246368,0.0197851462068348,"DOWN"
"9981","LOC111131601",-22.4784184344736,0.0004176967541303,0.0320663114426982,"DOWN"
"10020","MSTRG.65380",-20.4291195691855,4.15125555441408e-06,0.00133162159198102,"DOWN"
"10029","MSTRG.66870",-19.2399122508549,0.000659250181943041,0.0432073125574736,"DOWN"
"10125","MSTRG.41839",2.7571728539253,0.000375757684197025,0.0300857943743938,"UP"
"10143","MSTRG.38713",-27.7926202924159,7.63638291455483e-05,0.0103144292010244,"DOWN"
"10282","MSTRG.1117",2.09387754882083,0.000143392648766576,0.015510807470876,"UP"
"10393","MSTRG.77010",-30,1.96676141924558e-05,0.00398071240855953,"DOWN"
"10535","MSTRG.4579",-22.0609889695289,5.6126842078082e-06,0.00158512406908881,"DOWN"
"11218","MSTRG.21847",-3.83845453935497,0.000223776312857934,0.020865909520795,"DOWN"
"11625","MSTRG.79721",-21.0712662682705,4.8252275481322e-10,2.81063473144265e-06,"DOWN"
"11760","LOC111115945",-28.0377953023195,3.5970152244694e-07,0.000253965624916741,"DOWN"
"11996","MSTRG.83432",-30,2.71651586623429e-06,0.00101269538280521,"DOWN"
"12098","MSTRG.71458",-13.9068675007546,0.000605042677857191,0.0409792713824633,"DOWN"
"12353","MSTRG.32871",-20.0748945886917,8.79035658468873e-07,0.000435767900521181,"DOWN"
"12393","MSTRG.40084",-30,1.05702658323118e-05,0.00252596829497383,"DOWN"
"12425","MSTRG.54191",-23.9639561290488,0.00016956566351379,0.0172172052022407,"DOWN"
"12542","LOC111132214",-30,3.64579589031374e-06,0.0012237033284967,"DOWN"
"12552","MSTRG.81736",-3.36662600616095,0.000345077777130071,0.0282110163797968,"DOWN"
"12553","MSTRG.81731",-15.7477044248083,0.00034427281624007,0.0282110163797968,"DOWN"
"12606","MSTRG.55878",-25.8005212056332,0.000320417169857757,0.0270491298880464,"DOWN"
"12665","MSTRG.48328",-20.2996087531692,4.79292784458536e-05,0.00759679063366779,"DOWN"
"12741","MSTRG.58081",-21.9801043605631,0.000624458500598409,0.0416569292659507,"DOWN"
"12749","MSTRG.58088",-29.8517205953054,0.00024553026959453,0.0223466113922569,"DOWN"
"12763","MSTRG.57190",-30,4.1721228444651e-06,0.00133162159198102,"DOWN"
"13013","MSTRG.21077",-21.7454869229879,2.67229447960998e-05,0.00493105558679251,"DOWN"
"13084","MSTRG.69681",-22.0763994915293,2.37344477086822e-05,0.00451429195419136,"DOWN"
"13192","LOC111130018",-30,0.000275825264295714,0.0243893386924402,"DOWN"
"13198","LOC111108387",-26.9593695276753,0.000357780167218303,0.0289524467095453,"DOWN"
"13335","MSTRG.74659",-30,0.000221144401446552,0.020776427344774,"DOWN"
"13488","MSTRG.17316",-24.1188785596427,1.13526235090558e-06,0.000523783072176726,"DOWN"
"13598","MSTRG.39206",-4.61870207498698,0.000572749070940191,0.039337705129466,"DOWN"
"13705","MSTRG.769",-19.2305103683425,1.42461346794625e-05,0.00316683242143187,"DOWN"
"13732","MSTRG.9180",-3.80228147461718,0.00012555334821529,0.0142006322171949,"DOWN"
"13980","MSTRG.79856",-21.3941776150219,6.49412066030246e-05,0.0091962015884741,"DOWN"
"14048","MSTRG.83914",-22.131609664482,1.11388142228683e-05,0.00259912468593255,"DOWN"
"14063","LOC111103658",-29.9946348302273,6.89840186374637e-07,0.000372072816745009,"DOWN"
"14138","MSTRG.59227",-24.6837190839316,6.15964294549166e-10,3.18925779574406e-06,"DOWN"
"14178","MSTRG.58578",-20.1246541929643,9.82531947732956e-05,0.0120170620032567,"DOWN"
"14344","MSTRG.70893",-19.7226333865954,0.000409696394979163,0.0315561029911306,"DOWN"
"14513","MSTRG.69944",-28.7413041082901,1.45701748220138e-05,0.00321779894090532,"DOWN"
"14549","MSTRG.4090",-22.396449640758,2.36846984124077e-08,3.67894420439929e-05,"DOWN"
"14637","MSTRG.69110",-30,8.31082427918418e-07,0.000416425914608283,"DOWN"
"14703","MSTRG.60393",-16.3794902842619,0.000190363799561459,0.0186698706941262,"DOWN"
"14723","MSTRG.80820",-25.2220733995192,0.000102778187990137,0.0123119814451219,"DOWN"
"14778","LOC111135901",-8.86424759845672,0.000334602409592895,0.0277934718085906,"DOWN"
"14912","MSTRG.16987",-23.7718759042763,5.10685726470497e-06,0.00149669460174835,"DOWN"
"14975","MSTRG.61830",-3.3708804096371,0.000409195044406105,0.0315561029911306,"DOWN"
"15023","LOC111133685",-18.0778734691395,0.000577508232923773,0.0394452035263605,"DOWN"
"15074","LOC111110849",-29.99530773793,2.2010652880001e-05,0.00427364338981319,"DOWN"
"15080","LOC111129431",-20.2269952537435,0.000704321641816536,0.0455210598987639,"DOWN"
"15123","MSTRG.73113",-30,5.54330460886706e-05,0.00836305100031778,"DOWN"
"15260","MSTRG.35317",-20.1190868125945,6.99087160035467e-07,0.000372072816745009,"DOWN"
"15280","MSTRG.48982",-24.0735280508083,6.64839973744701e-07,0.000372072816745009,"DOWN"
"15513","MSTRG.69948",-11.4082877762981,3.44311727857718e-05,0.00587713633935597,"DOWN"
"15736","MSTRG.46318",-26.1274233336389,1.02453942734425e-08,1.83625049133902e-05,"DOWN"
"15905","MSTRG.73381",-23.3634068290905,0.00072621382314625,0.0462306529300438,"DOWN"
"15929","MSTRG.48499",-22.0726826227025,8.27329934575308e-06,0.00212719754579966,"DOWN"
"16075","MSTRG.30693",-26.1773542227278,0.000647305425977852,0.0426374434293991,"DOWN"
"16150","MSTRG.72284",-21.6207069509988,1.23139845961285e-05,0.00278553091356793,"DOWN"
"16221","MSTRG.58988",-21.4808274545729,1.62755599920046e-07,0.000148710749032828,"DOWN"
"16449","LOC111113107",-26.172797884465,5.48290942500259e-06,0.00158512406908881,"DOWN"
"16646","MSTRG.53416",-30,9.14328971961263e-09,1.81831437468199e-05,"DOWN"
"16685","MSTRG.56806",-22.5215831240708,2.47509776225286e-06,0.000953199013415051,"DOWN"
"16784","LOC111116732",-23.9774543239734,6.46779135909553e-05,0.00918879907141746,"DOWN"
"16826","MSTRG.47973",-21.6809405762692,0.000158315739675087,0.0165411550518372,"DOWN"
"16838","MSTRG.74092",-9.74906053377388,8.30811719855657e-06,0.00212719754579966,"DOWN"
"16946","MSTRG.60083",-27.9723134297798,0.000529398848228552,0.0371527965792203,"DOWN"
"17001","MSTRG.27905",-4.4167998696401,6.43531096067952e-05,0.00917119357363957,"DOWN"
"17041","LOC111135790",-24.9843857056919,6.35619288043151e-06,0.00172204786066993,"DOWN"
"17057","MSTRG.22624",-12.9853036121868,0.000157045829241268,0.0164453451613794,"DOWN"
"17404","MSTRG.79632",-18.9205563607007,0.000347660642570955,0.0283227942013355,"DOWN"
"17470","MSTRG.13866",-18.6026710156542,0.000242390534177846,0.022142120950685,"DOWN"
"17647","MSTRG.16937",-23.4258185769184,2.68700547713338e-07,0.000212223335981252,"DOWN"
"17814","MSTRG.6784",-15.1327931510254,0.000608605380156474,0.0410425500867026,"DOWN"
"17842","MSTRG.73701",-29.0013374204518,0.000347490687843815,0.0283227942013355,"DOWN"
"17866","MSTRG.7432",-20.4628431600197,0.000614868667827409,0.0412262806504884,"DOWN"
"17909","MSTRG.76661",-23.8302007587728,0.000461859136459596,0.0344906633010909,"DOWN"
"17959","MSTRG.79396",-19.5833564103679,0.000292310643660072,0.0254130292610368,"DOWN"
"18177","MSTRG.17983",-8.86272911530244,0.00015106297428972,0.0160350422299012,"DOWN"
"18325","MSTRG.13293",-27.8259556882145,0.000452602490584344,0.0340174571915159,"DOWN"
"18506","MSTRG.69226",-16.5510740210382,0.000324449133456254,0.027241450756627,"DOWN"
"18798","MSTRG.7004",-28.4132286358026,7.29239643753071e-07,0.000377575979547215,"DOWN"
"19054","MSTRG.54295",-9.02899252623214,0.000720012371380178,0.0459614472519794,"DOWN"
"19072","LOC111116829",-18.8807046744557,0.000161953412034141,0.0167708156608421,"DOWN"
