"gene_id"	"GO_Annotation"
"LOC111099481"	"GO:0000978; GO:0003700; GO:0006357"
"LOC111100354"	"GO:0008270"
"LOC111100470"	"GO:0005634; GO:0005737; GO:0005876; GO:0043027; GO:0043066; GO:0051726"
"LOC111100935"	"GO:0005515"
"LOC111103265"	"GO:0002224; GO:0004888; GO:0006954; GO:0006955; GO:0016020"
"LOC111106409"	"GO:0005044"
"LOC111106852"	"GO:0005515; GO:0005615"
"LOC111108150"	"GO:0000724; GO:0016579; GO:0043130"
"LOC111108225"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111109812"	"GO:0004497; GO:0005506; GO:0016705; GO:0020037"
"LOC111109813"	"GO:0004508; GO:0005506; GO:0020037; GO:0042446; GO:0042448; GO:0047442"
"LOC111113280"	"GO:0005509"
"LOC111115369"	"GO:0005515"
"LOC111115487"	"GO:0004674; GO:0005524; GO:0005737; GO:0005794; GO:0006468"
"LOC111116824"	"GO:0008270"
"LOC111117305"	"GO:0000978; GO:0003700; GO:0006357"
"LOC111118237"	"GO:0004930; GO:0007166; GO:0007186; GO:0016020"
"LOC111119666"	"GO:0016020; GO:0016192; GO:0090161"
"LOC111121716"	"GO:0000724; GO:0005524; GO:0005634; GO:0007131; GO:0015616; GO:0140658"
"LOC111123512"	"GO:0005509"
"LOC111126571"	"GO:0005509"
"LOC111126611"	"GO:0030431; GO:0032222; GO:1903818"
"LOC111126792"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111127041"	"GO:0008028; GO:0015718; GO:0055085"
"LOC111129820"	"GO:0003729; GO:0005634; GO:0005737; GO:1990904"
"LOC111130818"	"GO:0051726"
"LOC111131487"	"GO:0000717; GO:0003678; GO:0003678; GO:0003684; GO:0005524; GO:0005634; GO:0005634; GO:0006289; GO:0006289; GO:0006366; GO:0008168; GO:0008270; GO:0016818; GO:0045951"
"LOC111132730"	"GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111133635"	"GO:0005516; GO:0005516; GO:0005886; GO:0016286; GO:0016286; GO:0043005; GO:0043025; GO:0071805"
"LOC111135112"	"GO:0005737; GO:0016020; GO:0016020"
"LOC111136017"	"GO:0004713; GO:0004713; GO:0005524; GO:0006468"
