"gene_id"	"GO_Annotation"
"LOC111105102"	"GO:0005737; GO:0006446"
"LOC111105298"	"GO:0005783; GO:0005829; GO:0006979; GO:0008379; GO:0033554; GO:0042744; GO:0045454"
"LOC111106442"	"GO:0005515; GO:0008270"
"LOC111107407"	"GO:0008270"
"LOC111108101"	"GO:0005615; GO:0062023"
"LOC111108955"	"GO:0005576; GO:0030414"
"LOC111111685"	"GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111112602"	"GO:0046592"
"LOC111115132"	"GO:0003735; GO:0005840; GO:0006412"
"LOC111117921"	"GO:0005515; GO:0005634; GO:0006355; GO:0008270"
"LOC111120197"	"GO:0004930; GO:0007186; GO:0016020"
"LOC111125896"	"GO:0005524; GO:0015421; GO:0016020; GO:0016887; GO:0055085"
"LOC111125988"	"GO:0005375; GO:0005375; GO:0016020; GO:0016020; GO:0035434; GO:0035434"
"LOC111129694"	"GO:0005515"
"LOC111135790"	"GO:0005634"
"LOC111136991"	"GO:0003677; GO:0003899; GO:0003899; GO:0005665; GO:0006351; GO:0006351; GO:0032549; GO:0032549"
