"gene_id"	"GO_Annotation"
"LOC111103658"	"GO:0005515"
"LOC111106442"	"GO:0005515; GO:0008270"
"LOC111106627"	"GO:0005515; GO:0008270"
"LOC111106716"	"GO:0005044"
"LOC111110122"	"GO:0005515; GO:0005615"
"LOC111110896"	"GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630"
"LOC111111461"	"GO:0002020; GO:0005615; GO:0008191; GO:0008191; GO:0010033; GO:0010951; GO:0031012; GO:0051045"
"LOC111112151"	"GO:0002224; GO:0004888; GO:0005515; GO:0006954; GO:0006955; GO:0016020"
"LOC111115132"	"GO:0003735; GO:0005840; GO:0006412"
"LOC111120197"	"GO:0004930; GO:0007186; GO:0016020"
"LOC111122156"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111124626"	"GO:0005515"
"LOC111129694"	"GO:0005515"
"LOC111130251"	"GO:0000977; GO:0000981; GO:0005634; GO:0006357"
"LOC111130837"	"GO:0051126; GO:0051126"
"LOC111133546"	"GO:0005634; GO:0005839; GO:0006511; GO:0019773; GO:0019773"
"LOC111136991"	"GO:0003677; GO:0003899; GO:0003899; GO:0005665; GO:0006351; GO:0006351; GO:0032549; GO:0032549"
