"","MEblue","MEbrown","MEturquoise","MEyellow"
"J1_14SC1_1",-0.188751315245645,0.470609658301359,-0.187073202758913,-0.141587123742402
"J1_14SC1_2",-0.116514954257214,0.216972117229008,-0.0554013933714252,-0.136065505611264
"J1_14SC1_3",0.101614643866363,-0.0325955051896046,0.0886223574037248,-0.124935005982233
"J1_14SC1_4",0.149238955344582,-0.218853972771406,0.0121392757371475,0.0365757915105249
"J1_14SC2_1",0.37836955567995,-0.17212435836155,0.25434373260001,-0.144570890029513
"J1_14SC2_2",0.291454780709438,-0.212504645303046,-0.241484232272603,-0.0841102607304245
"J1_14SC2_3",0.424645709655802,-0.0490070492811074,-0.128722233633631,-0.0644641900300371
"J1_14SC3_1",-0.0932400237785711,0.0882155447325329,0.109242195293127,-0.0848853248985133
"J1_14SC3_2",0.0873154869613961,-0.0806013219892786,-0.116091656139954,-0.150737713230308
"J1_14SC3_3",-0.120424685015602,0.251617905025159,-0.136465874664208,0.0170550494674176
"J1_14SC3_4",0.242453860878816,-0.16928349499013,-0.15283399937161,0.141276350104725
"J1_14SS1_1",-0.245419216309533,0.491503814697594,-0.192949766698949,-0.0441853145122757
"J1_14SS1_2",-0.307958362813978,0.190221716529291,-0.0341424301921539,-0.0934024706202623
"J1_14SS1_3",0.264185185557384,-0.223349491912777,-0.149346756730107,-0.0840222681794599
"J1_14SS1_4",-0.230986221532488,0.20869615113035,0.0276351683203386,-0.0457598793999694
"J1_14SS2_1",0.0411135616777178,-0.158052573110236,-0.0242824378216627,0.852038731304329
"J1_14SS2_2",-0.0676200869012688,-0.142713771405131,0.426671977568282,-0.096367595649488
"J1_14SS2_3",0.00729612887637264,-0.161382169740525,0.222573026906167,-0.0440243769101274
"J1_14SS2_4",-0.106784470135286,0.0407262445197605,0.333540866629301,-0.123392397615523
"J1_14SS3_1",-0.260453663282348,0.0541575653996691,-0.383291435279622,0.0598043873223604
"J1_14SS3_2",-0.0616287234785078,-0.119085708510557,0.39680949826372,-0.0240243081304731
"J1_14SS3_3",-0.226122322366915,-0.150401383523648,0.0980897842450954,0.107241863434251
"J1_14SS3_4",0.038216175909534,-0.122765271475725,-0.167582464032074,0.272542452128665
