"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"J1_14SC1_1",-0.0807511823359871,-0.0842141004012757,0.139509313757153,-0.0583509172625955,0.0736699836240524,-0.0486422314654483,-0.0432148742349715,0.270330148165346,-0.0496180874761229,-0.0190664410872037,-0.0414102535210434,-0.0708289511312555,-0.0701323803390884,-0.0651441814614154,0.349538832716839,-0.150169237287825,-0.0353414509587819,0.0374598331843977
"J1_14SC1_2",-0.0599394589775386,-0.0321196521776712,0.0964708505265013,-0.0365620896037127,0.0428941175391758,-0.10643091643243,-0.0326349351540312,-0.0242614087161594,-0.0338869466677301,-0.0217928421103185,-0.0351193638311476,-0.0562127952798459,-0.0350049311295189,0.179062929867448,-0.0371410679947174,-0.148600064783404,0.00507758654852791,0.0653847277942946
"J1_14SC1_3",-0.060803126540579,0.118817715436063,-0.0731056559943022,-0.0423010958538782,-0.106909270813529,-0.0542451404483079,-0.0333168805174309,0.368925146434704,-0.0464840614607563,-0.0548059362728023,-0.0194571995193814,-0.0617687263354678,-0.0431514808928821,-0.0524400014110656,-0.0243009772663031,0.00519956133724875,-0.0158070500109907,0.175722030621715
"J1_14SC1_4",0.325937548935442,0.0945406610647367,-0.130285661556204,-0.0248722312249547,-0.0944853427927169,0.0900455095989562,-0.039295171065577,-0.0383669428497919,0.0131521335251994,-0.0463217515086891,-0.0310701311885817,-0.0417973094506327,0.434307156827645,-0.0476946234501729,-0.0692128841012344,0.187725831705532,-0.0598861400008935,0.137589190196064
"J1_14SC2_1",-0.03713771498398,0.187229154851393,-0.132089372303518,0.406613400961956,-0.13238438724217,-0.0621819148329072,-0.0569040954328177,-0.033847630307661,-0.0295528013625702,-0.0523513149037597,-0.036625338887642,-0.0384846115895693,-0.0312188910191151,-0.0463004271235902,-0.0569433454784755,0.0557476697331013,-0.0305538288492794,0.236499077450066
"J1_14SC2_2",0.217144514603467,0.130338053844965,-0.125735981386822,0.328224035007699,-0.105442252496179,0.018466852885425,-0.0529235990944923,-0.0602538674040871,-0.0287882965543433,-0.038631732132394,-0.0426384034724147,-0.0353463204308597,-0.046323328002574,-0.0722628456711549,-0.0729334625388964,0.131864841757105,-0.0527944152499749,-0.00200127301196032
"J1_14SC2_3",0.206785187774203,0.221303131764724,-0.0779173652802099,-0.0371051213828085,-0.139149600622689,-0.0797922693941852,-0.035267506306042,0.0733373356199063,-0.0270851646224063,-0.0188852027052772,-0.0430310232419439,0.227297619543184,-0.055897379630636,-0.0628224291974651,-0.0557149722602542,0.0664995367154881,-0.0195014095991815,0.0224905757128731
"J1_14SC3_1",-0.00925207606159716,0.0076203727494547,-0.00349100563517701,-0.0376063406896771,-0.0502697712171696,-0.00778376391873245,0.00114257605719387,-0.0365664433338504,-0.0230892283829409,0.271054298930375,-0.0453877807891646,-0.0433957340937827,-0.025079488183288,0.216909805347939,-0.0149176357304227,0.00669560123577321,-0.0230820240520992,0.129597727118173
"J1_14SC3_2",-0.0556236614573789,0.0623069486590467,-0.0228859654808772,-0.0562066173839762,-0.0827895395303817,-0.0922906947938204,0.0086900799691888,-0.0220486195089193,-0.0363208410478713,-0.0677923469993164,0.321688458748025,-0.0576111041642546,-0.0504228212230198,-0.0628330115839236,-0.0415615345711527,-0.0474135091744176,0.0364490447024658,0.0638016527504671
"J1_14SC3_3",-0.076300017405824,-0.00533606633946006,-0.0380820591455053,-0.0442015031769857,0.0285523323651746,0.118753856384255,-0.0414685902895556,0.283988740783486,-0.0370599316809288,0.00236349074746139,-0.0468399093696217,-0.0673534802229346,-0.0646485135399994,-0.0616409016138832,0.228569741967731,0.0386712063479332,-0.0997354189487836,0.0328445104481408
