"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111100040","GO:0010960","magnesium ion homeostasis",2,1,0.01,0.0062,"Biological Processes",0.5
"2","LOC111100230","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"3","LOC111100230","GO:0030154","cell differentiation",470,4,1.46,0.0204,"Biological Processes",0.00851063829787234
"4","LOC111103593","GO:0035567","non-canonical Wnt signaling pathway",10,1,0.03,0.0307,"Biological Processes",0.1
"5","LOC111104407","GO:0006880","intracellular sequestering of iron ion",4,1,0.01,0.0124,"Biological Processes",0.25
"6","LOC111105807","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"7","LOC111106200","GO:0000226","microtubule cytoskeleton organization",245,3,0.76,0.0405,"Biological Processes",0.0122448979591837
"8","LOC111106649","GO:0008285","negative regulation of cell population proliferation",15,1,0.05,0.0457,"Biological Processes",0.0666666666666667
"9","LOC111118092","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"10","LOC111118493","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"11","LOC111118849","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",18,2,0.06,0.0014,"Biological Processes",0.111111111111111
"12","LOC111118849","GO:0016310","phosphorylation",563,5,1.75,0.0405,"Biological Processes",0.0088809946714032
"13","LOC111119359","GO:0006412","translation",662,5,2.06,0.042,"Biological Processes",0.00755287009063444
"14","LOC111120889","GO:0009653","anatomical structure morphogenesis",239,3,0.74,0.0166,"Biological Processes",0.0125523012552301
"15","LOC111120889","GO:0030154","cell differentiation",470,4,1.46,0.0204,"Biological Processes",0.00851063829787234
"16","LOC111123994","GO:0010608","post-transcriptional regulation of gene expression",381,2,1.18,0.0247,"Biological Processes",0.005249343832021
"17","LOC111124264","GO:0000226","microtubule cytoskeleton organization",245,3,0.76,0.0405,"Biological Processes",0.0122448979591837
"18","LOC111124992","GO:0042060","wound healing",9,1,0.03,0.0277,"Biological Processes",0.111111111111111
"19","LOC111124992","GO:0045104","intermediate filament cytoskeleton organization",4,1,0.01,0.0124,"Biological Processes",0.25
"20","LOC111125017","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"21","LOC111125017","GO:0007179","transforming growth factor beta receptor signaling pathway",12,1,0.04,0.0367,"Biological Processes",0.0833333333333333
"22","LOC111125017","GO:0009653","anatomical structure morphogenesis",239,3,0.74,0.0166,"Biological Processes",0.0125523012552301
"23","LOC111125017","GO:0030154","cell differentiation",470,4,1.46,0.0204,"Biological Processes",0.00851063829787234
"24","LOC111125427","GO:0006895","Golgi to endosome transport",5,1,0.02,0.0155,"Biological Processes",0.2
"25","LOC111125427","GO:0042742","defense response to bacterium",9,1,0.03,0.0277,"Biological Processes",0.111111111111111
"26","LOC111125427","GO:0090382","phagosome maturation",4,1,0.01,0.0124,"Biological Processes",0.25
"27","LOC111128115","GO:0019941","modification-dependent protein catabolic process",757,2,2.35,0.0222,"Biological Processes",0.00264200792602378
"28","LOC111128758","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"29","LOC111129065","GO:0000395","mRNA 5'-splice site recognition",3,1,0.01,0.0093,"Biological Processes",0.333333333333333
"30","LOC111129219","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",18,2,0.06,0.0014,"Biological Processes",0.111111111111111
"31","LOC111129868","GO:0000226","microtubule cytoskeleton organization",245,3,0.76,0.0405,"Biological Processes",0.0122448979591837
"32","LOC111130094","GO:0006412","translation",662,5,2.06,0.042,"Biological Processes",0.00755287009063444
"33","LOC111130707","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",6,1,0.02,0.0185,"Biological Processes",0.166666666666667
"34","LOC111130707","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",6,1,0.02,0.0185,"Biological Processes",0.166666666666667
"35","LOC111132903","GO:0006412","translation",662,5,2.06,0.042,"Biological Processes",0.00755287009063444
"36","LOC111133044","GO:0050806","positive regulation of synaptic transmission",11,1,0.03,0.0337,"Biological Processes",0.0909090909090909
"37","LOC111133044","GO:0051965","positive regulation of synapse assembly",2,1,0.01,0.0062,"Biological Processes",0.5
"38","LOC111135192","GO:0033353","S-adenosylmethionine cycle",4,1,0.01,0.0124,"Biological Processes",0.25
"39","LOC111136714","GO:0006990","positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein re...",2,1,0.01,0.0062,"Biological Processes",0.5
"40","LOC111137155","GO:0006357","regulation of transcription by RNA polymerase II",865,9,2.69,0.0059,"Biological Processes",0.0104046242774566
"41","LOC111100230","GO:0005634","nucleus",3442,16,11.4,0.01079,"Cellular Components",0.00464846019755956
"42","LOC111105526","GO:0005634","nucleus",3442,16,11.4,0.01079,"Cellular Components",0.00464846019755956
"43","LOC111105807","GO:0005634","nucleus",3442,16,11.4,0.01079,"Cellular Components",0.00464846019755956
"44","LOC111106649","GO:0005634","nucleus",3442,16,11.4,0.01079,"Cellular Components",0.00464846019755956
