"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.01,0.00575,"Biological Processes",1
"2","LOC111100598","GO:0006457","protein folding",130,5,0.75,0.00117,"Biological Processes",0.0384615384615385
"3","LOC111100692","GO:1902600","proton transmembrane transport",82,4,0.47,0.00126,"Biological Processes",0.0487804878048781
"4","LOC111102237","GO:0010468","regulation of gene expression",2215,12,12.73,0.04083,"Biological Processes",0.0054176072234763
"5","LOC111102237","GO:0051252","regulation of RNA metabolic process",1695,10,9.74,0.04548,"Biological Processes",0.00589970501474926
"6","LOC111103150","GO:0002181","cytoplasmic translation",47,2,0.27,0.02986,"Biological Processes",0.0425531914893617
"7","LOC111103250","GO:0006102","isocitrate metabolic process",8,1,0.05,0.04507,"Biological Processes",0.125
"8","LOC111105692","GO:0070125","mitochondrial translational elongation",7,1,0.04,0.03955,"Biological Processes",0.142857142857143
"9","LOC111108193","GO:0015986","proton motive force-driven ATP synthesis",11,3,0.06,0.00112,"Biological Processes",0.272727272727273
"10","LOC111112645","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",8,1,0.05,0.04507,"Biological Processes",0.125
"11","LOC111112645","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",7,3,0.04,6.3e-06,"Biological Processes",0.428571428571429
"12","LOC111112645","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",7,1,0.04,0.03955,"Biological Processes",0.142857142857143
"13","LOC111114597","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",2,1,0.01,0.01146,"Biological Processes",0.5
"14","LOC111114597","GO:1902600","proton transmembrane transport",82,4,0.47,0.00126,"Biological Processes",0.0487804878048781
"15","LOC111118769","GO:0006334","nucleosome assembly",52,4,0.3,0.00022,"Biological Processes",0.0769230769230769
"16","LOC111118797","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"17","LOC111118797","GO:0060294","cilium movement involved in cell motility",20,5,0.11,2.2e-06,"Biological Processes",0.25
"18","LOC111119190","GO:0033387","putrescine biosynthetic process from ornithine",1,1,0.01,0.00575,"Biological Processes",1
"19","LOC111120591","GO:0006457","protein folding",130,5,0.75,0.00117,"Biological Processes",0.0384615384615385
"20","LOC111120591","GO:0034976","response to endoplasmic reticulum stress",79,3,0.45,0.00113,"Biological Processes",0.0379746835443038
"21","LOC111121573","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"22","LOC111121573","GO:0060294","cilium movement involved in cell motility",20,5,0.11,2.2e-06,"Biological Processes",0.25
"23","LOC111121806","GO:0006334","nucleosome assembly",52,4,0.3,0.00022,"Biological Processes",0.0769230769230769
"24","LOC111122423","GO:0045739","positive regulation of DNA repair",8,1,0.05,0.04507,"Biological Processes",0.125
"25","LOC111122423","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",1,1,0.01,0.00575,"Biological Processes",1
"26","LOC111123124","GO:0015986","proton motive force-driven ATP synthesis",11,3,0.06,0.00112,"Biological Processes",0.272727272727273
"27","LOC111124697","GO:0007517","muscle organ development",6,1,0.03,0.034,"Biological Processes",0.166666666666667
"28","LOC111124927","GO:0006883","intracellular sodium ion homeostasis",5,1,0.03,0.02841,"Biological Processes",0.2
"29","LOC111124927","GO:0030007","intracellular potassium ion homeostasis",5,1,0.03,0.02841,"Biological Processes",0.2
"30","LOC111124927","GO:0036376","sodium ion export across plasma membrane",5,1,0.03,0.02841,"Biological Processes",0.2
"31","LOC111124927","GO:1902600","proton transmembrane transport",82,4,0.47,0.00126,"Biological Processes",0.0487804878048781
"32","LOC111127104","GO:0006208","pyrimidine nucleobase catabolic process",3,1,0.02,0.01714,"Biological Processes",0.333333333333333
"33","LOC111127354","GO:0002181","cytoplasmic translation",47,2,0.27,0.02986,"Biological Processes",0.0425531914893617
"34","LOC111128509","GO:0019228","neuronal action potential",7,1,0.04,0.03955,"Biological Processes",0.142857142857143
"35","LOC111128509","GO:0086010","membrane depolarization during action potential",4,1,0.02,0.02279,"Biological Processes",0.25
"36","LOC111128544","GO:0006457","protein folding",130,5,0.75,0.00117,"Biological Processes",0.0384615384615385
"37","LOC111128544","GO:0034976","response to endoplasmic reticulum stress",79,3,0.45,0.00113,"Biological Processes",0.0379746835443038
"38","LOC111129250","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"39","LOC111129250","GO:0060294","cilium movement involved in cell motility",20,5,0.11,2.2e-06,"Biological Processes",0.25
"40","LOC111131637","GO:0006334","nucleosome assembly",52,4,0.3,0.00022,"Biological Processes",0.0769230769230769
"41","LOC111131637","GO:0030261","chromosome condensation",24,2,0.14,0.0083,"Biological Processes",0.0833333333333333
"42","LOC111131637","GO:0045910","negative regulation of DNA recombination",16,2,0.09,0.00372,"Biological Processes",0.125
"43","LOC111131719","GO:0006334","nucleosome assembly",52,4,0.3,0.00022,"Biological Processes",0.0769230769230769
"44","LOC111131719","GO:0030261","chromosome condensation",24,2,0.14,0.0083,"Biological Processes",0.0833333333333333
"45","LOC111131719","GO:0045910","negative regulation of DNA recombination",16,2,0.09,0.00372,"Biological Processes",0.125
"46","LOC111131801","GO:0000413","protein peptidyl-prolyl isomerization",24,3,0.14,0.00034,"Biological Processes",0.125
"47","LOC111132762","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",7,3,0.04,6.3e-06,"Biological Processes",0.428571428571429
"48","LOC111132799","GO:0007017","microtubule-based process",416,10,2.39,0.02615,"Biological Processes",0.0240384615384615
"49","LOC111132799","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"50","LOC111133070","GO:0042407","cristae formation",4,1,0.02,0.02279,"Biological Processes",0.25
"51","LOC111133136","GO:1902600","proton transmembrane transport",82,4,0.47,0.00126,"Biological Processes",0.0487804878048781
"52","LOC111133662","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",7,3,0.04,6.3e-06,"Biological Processes",0.428571428571429
"53","LOC111133928","GO:0001666","response to hypoxia",8,1,0.05,0.04507,"Biological Processes",0.125
"54","LOC111133928","GO:0035331","negative regulation of hippo signaling",1,1,0.01,0.00575,"Biological Processes",1
"55","LOC111133928","GO:2000637","positive regulation of miRNA-mediated gene silencing",1,1,0.01,0.00575,"Biological Processes",1
"56","LOC111134148","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"57","LOC111134441","GO:0031119","tRNA pseudouridine synthesis",4,1,0.02,0.02279,"Biological Processes",0.25
"58","LOC111134441","GO:1990481","mRNA pseudouridine synthesis",3,1,0.02,0.01714,"Biological Processes",0.333333333333333
"59","LOC111135089","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"60","LOC111135089","GO:0060294","cilium movement involved in cell motility",20,5,0.11,2.2e-06,"Biological Processes",0.25
"61","LOC111135173","GO:0006679","glucosylceramide biosynthetic process",3,1,0.02,0.01714,"Biological Processes",0.333333333333333
"62","LOC111135732","GO:0070262","peptidyl-serine dephosphorylation",7,1,0.04,0.03955,"Biological Processes",0.142857142857143
"63","LOC111135859","GO:0010468","regulation of gene expression",2215,12,12.73,0.04083,"Biological Processes",0.0054176072234763
"64","LOC111136666","GO:0045901","positive regulation of translational elongation",2,1,0.01,0.01146,"Biological Processes",0.5
"65","LOC111136666","GO:0045905","positive regulation of translational termination",6,1,0.03,0.034,"Biological Processes",0.166666666666667
"66","LOC111136776","GO:1904158","axonemal central apparatus assembly",2,1,0.01,0.01146,"Biological Processes",0.5
"67","LOC111137410","GO:0000413","protein peptidyl-prolyl isomerization",24,3,0.14,0.00034,"Biological Processes",0.125
"68","LOC111137548","GO:0000413","protein peptidyl-prolyl isomerization",24,3,0.14,0.00034,"Biological Processes",0.125
"69","LOC111137548","GO:0006457","protein folding",130,5,0.75,0.00117,"Biological Processes",0.0384615384615385
"70","LOC111138059","GO:0060271","cilium assembly",165,8,0.95,8.3e-05,"Biological Processes",0.0484848484848485
"71","LOC111138059","GO:0060296","regulation of cilium beat frequency involved in ciliary motility",1,1,0.01,0.00575,"Biological Processes",1
"72","LOC111099184","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"73","LOC111099982","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"74","LOC111101152","GO:0009361","succinate-CoA ligase complex (ADP-forming)",1,1,0.01,0.00684,"Cellular Components",1
"75","LOC111102237","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"76","LOC111103150","GO:0022625","cytosolic large ribosomal subunit",49,4,0.34,0.00034,"Cellular Components",0.0816326530612245
"77","LOC111106383","GO:0022625","cytosolic large ribosomal subunit",49,4,0.34,0.00034,"Cellular Components",0.0816326530612245
"78","LOC111107343","GO:0022627","cytosolic small ribosomal subunit",35,2,0.24,0.02382,"Cellular Components",0.0571428571428571
"79","LOC111108187","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"80","LOC111108187","GO:0005721","pericentric heterochromatin",4,1,0.03,0.0271,"Cellular Components",0.25
"81","LOC111108193","GO:0045261","proton-transporting ATP synthase complex, catalytic core F(1)",5,2,0.03,0.00046,"Cellular Components",0.4
"82","LOC111114597","GO:0005753","mitochondrial proton-transporting ATP synthase complex",8,2,0.05,0.02019,"Cellular Components",0.25
"83","LOC111114597","GO:0045261","proton-transporting ATP synthase complex, catalytic core F(1)",5,2,0.03,0.00046,"Cellular Components",0.4
"84","LOC111117964","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"85","LOC111118348","GO:0022627","cytosolic small ribosomal subunit",35,2,0.24,0.02382,"Cellular Components",0.0571428571428571
"86","LOC111118769","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"87","LOC111118797","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"88","LOC111118797","GO:0015630","microtubule cytoskeleton",453,8,3.1,0.00021,"Cellular Components",0.0176600441501104
"89","LOC111119449","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"90","LOC111119982","GO:0005952","cAMP-dependent protein kinase complex",5,1,0.03,0.03376,"Cellular Components",0.2
"91","LOC111120648","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"92","LOC111121573","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"93","LOC111121573","GO:0015630","microtubule cytoskeleton",453,8,3.1,0.00021,"Cellular Components",0.0176600441501104
"94","LOC111121806","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"95","LOC111122423","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"96","LOC111123124","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",5,1,0.03,0.03376,"Cellular Components",0.2
"97","LOC111124552","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"98","LOC111124697","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"99","LOC111124707","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"100","LOC111124903","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"101","LOC111124903","GO:0034663","endoplasmic reticulum chaperone complex",3,1,0.02,0.0204,"Cellular Components",0.333333333333333
"102","LOC111125573","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"103","LOC111126163","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"104","LOC111126614","GO:0022625","cytosolic large ribosomal subunit",49,4,0.34,0.00034,"Cellular Components",0.0816326530612245
"105","LOC111127354","GO:0022625","cytosolic large ribosomal subunit",49,4,0.34,0.00034,"Cellular Components",0.0816326530612245
"106","LOC111128509","GO:0001518","voltage-gated sodium channel complex",4,1,0.03,0.0271,"Cellular Components",0.25
"107","LOC111129250","GO:0001534","radial spoke",5,1,0.03,0.03376,"Cellular Components",0.2
"108","LOC111129928","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"109","LOC111131637","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"110","LOC111131637","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"111","LOC111131719","GO:0000786","nucleosome",116,7,0.79,1.4e-05,"Cellular Components",0.0603448275862069
"112","LOC111131719","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"113","LOC111132179","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"114","LOC111132762","GO:0005751","mitochondrial respiratory chain complex IV",7,2,0.05,0.00095,"Cellular Components",0.285714285714286
"115","LOC111133070","GO:0061617","MICOS complex",5,1,0.03,0.03376,"Cellular Components",0.2
"116","LOC111133662","GO:0005751","mitochondrial respiratory chain complex IV",7,2,0.05,0.00095,"Cellular Components",0.285714285714286
"117","LOC111133766","GO:0005747","mitochondrial respiratory chain complex I",31,2,0.21,0.01895,"Cellular Components",0.0645161290322581
"118","LOC111133928","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
"119","LOC111134148","GO:0005940","septin ring",6,1,0.04,0.04038,"Cellular Components",0.166666666666667
"120","LOC111134148","GO:0015630","microtubule cytoskeleton",453,8,3.1,0.00021,"Cellular Components",0.0176600441501104
"121","LOC111134148","GO:0031105","septin complex",6,1,0.04,0.04038,"Cellular Components",0.166666666666667
"122","LOC111134441","GO:0005634","nucleus",3442,28,23.56,0.00507,"Cellular Components",0.00813480534572923
