"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111108855","GO:0007098","centrosome cycle",49,1,0.04,0.036,"Biological Processes",0.0204081632653061
"2","LOC111108855","GO:0051225","spindle assembly",30,1,0.02,0.022,"Biological Processes",0.0333333333333333
"3","LOC111114718","GO:0002181","cytoplasmic translation",47,1,0.03,0.034,"Biological Processes",0.0212765957446809
"4","LOC111114718","GO:0006414","translational elongation",34,1,0.03,0.025,"Biological Processes",0.0294117647058824
"5","LOC111119804","GO:0009058","biosynthetic process",4478,3,3.33,0.024,"Biological Processes",0.000669941938365342
"6","LOC111124710","GO:0006334","nucleosome assembly",52,1,0.04,0.038,"Biological Processes",0.0192307692307692
"7","LOC111138040","GO:0006826","iron ion transport",59,1,0.04,0.043,"Biological Processes",0.0169491525423729
"8","LOC111138040","GO:0006880","intracellular sequestering of iron ion",4,1,0,0.003,"Biological Processes",0.25
"9","LOC111108855","GO:0070652","HAUS complex",11,1,0.01,0.0089,"Cellular Components",0.0909090909090909
"10","LOC111114718","GO:0022625","cytosolic large ribosomal subunit",49,1,0.04,0.039,"Cellular Components",0.0204081632653061
"11","LOC111123030","GO:0043005","neuron projection",399,2,0.32,0.0397,"Cellular Components",0.0050125313283208
"12","LOC111125539","GO:0043005","neuron projection",399,2,0.32,0.0397,"Cellular Components",0.0050125313283208
"13","LOC111125836","GO:0016471","vacuolar proton-transporting V-type ATPase complex",5,1,0,0.004,"Cellular Components",0.2
"14","LOC111108855","GO:0051011","microtubule minus-end binding",11,1,0.01,0.0073,"Molecular Functions",0.0909090909090909
"15","LOC111114718","GO:0030295","protein kinase activator activity",19,1,0.01,0.0125,"Molecular Functions",0.0526315789473684
"16","LOC111114718","GO:0043021","ribonucleoprotein complex binding",51,1,0.03,0.0333,"Molecular Functions",0.0196078431372549
"17","LOC111119804","GO:0016212","kynurenine-oxoglutarate transaminase activity",6,1,0,0.004,"Molecular Functions",0.166666666666667
"18","LOC111119804","GO:0030170","pyridoxal phosphate binding",77,1,0.05,0.0499,"Molecular Functions",0.012987012987013
"19","LOC111125539","GO:0005005","transmembrane-ephrin receptor activity",3,1,0,0.002,"Molecular Functions",0.333333333333333
"20","LOC111125836","GO:0046961","proton-transporting ATPase activity, rotational mechanism",23,1,0.02,0.0151,"Molecular Functions",0.0434782608695652
"21","LOC111138040","GO:0008198","ferrous iron binding",20,1,0.01,0.0132,"Molecular Functions",0.05
"22","LOC111138040","GO:0008199","ferric iron binding",8,1,0.01,0.0053,"Molecular Functions",0.125
"23","LOC111138280","GO:0004601","peroxidase activity",66,1,0.04,0.0429,"Molecular Functions",0.0151515151515152
