"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099693","GO:0045944","positive regulation of transcription by RNA polymerase II",128,3,0.55,0.0172,"Biological Processes",0.0234375
"2","LOC111103314","GO:0046620","regulation of organ growth",6,1,0.03,0.0253,"Biological Processes",0.166666666666667
"3","LOC111103558","GO:0099536","synaptic signaling",348,2,1.48,0.0338,"Biological Processes",0.00574712643678161
"4","LOC111103866","GO:0051013","microtubule severing",3,1,0.01,0.0127,"Biological Processes",0.333333333333333
"5","LOC111104368","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"6","LOC111104442","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"7","LOC111107306","GO:0000122","negative regulation of transcription by RNA polymerase II",77,2,0.33,0.0426,"Biological Processes",0.025974025974026
"8","LOC111107306","GO:0045944","positive regulation of transcription by RNA polymerase II",128,3,0.55,0.0172,"Biological Processes",0.0234375
"9","LOC111112160","GO:0043401","steroid hormone mediated signaling pathway",3,1,0.01,0.0127,"Biological Processes",0.333333333333333
"10","LOC111112160","GO:0046464","acylglycerol catabolic process",9,1,0.04,0.0377,"Biological Processes",0.111111111111111
"11","LOC111112160","GO:0048240","sperm capacitation",2,1,0.01,0.0085,"Biological Processes",0.5
"12","LOC111112160","GO:0051792","medium-chain fatty acid biosynthetic process",3,1,0.01,0.0127,"Biological Processes",0.333333333333333
"13","LOC111112160","GO:0051793","medium-chain fatty acid catabolic process",4,1,0.02,0.0169,"Biological Processes",0.25
"14","LOC111112299","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"15","LOC111113296","GO:1904684","negative regulation of metalloendopeptidase activity",1,1,0,0.0043,"Biological Processes",1
"16","LOC111118678","GO:0042060","wound healing",9,1,0.04,0.0377,"Biological Processes",0.111111111111111
"17","LOC111118678","GO:0045104","intermediate filament cytoskeleton organization",4,1,0.02,0.0169,"Biological Processes",0.25
"18","LOC111118832","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"19","LOC111119371","GO:0030036","actin cytoskeleton organization",204,6,0.87,0.0166,"Biological Processes",0.0294117647058824
"20","LOC111120138","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"21","LOC111121024","GO:0006556","S-adenosylmethionine biosynthetic process",3,1,0.01,0.0127,"Biological Processes",0.333333333333333
"22","LOC111121141","GO:0030036","actin cytoskeleton organization",204,6,0.87,0.0166,"Biological Processes",0.0294117647058824
"23","LOC111121141","GO:0032233","positive regulation of actin filament bundle assembly",4,1,0.02,0.0169,"Biological Processes",0.25
"24","LOC111122316","GO:0036371","protein localization to T-tubule",1,1,0,0.0043,"Biological Processes",1
"25","LOC111122316","GO:0055117","regulation of cardiac muscle contraction",1,1,0,0.0043,"Biological Processes",1
"26","LOC111123211","GO:0045944","positive regulation of transcription by RNA polymerase II",128,3,0.55,0.0172,"Biological Processes",0.0234375
"27","LOC111124875","GO:0035567","non-canonical Wnt signaling pathway",10,1,0.04,0.0418,"Biological Processes",0.1
"28","LOC111125384","GO:0030154","cell differentiation",470,8,2,0.0125,"Biological Processes",0.0170212765957447
"29","LOC111125386","GO:0030970","retrograde protein transport, ER to cytosol",6,1,0.03,0.0253,"Biological Processes",0.166666666666667
"30","LOC111125747","GO:0042407","cristae formation",4,1,0.02,0.0169,"Biological Processes",0.25
"31","LOC111125850","GO:0035499","carnosine biosynthetic process",2,1,0.01,0.0085,"Biological Processes",0.5
"32","LOC111126911","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"33","LOC111126911","GO:0030154","cell differentiation",470,8,2,0.0125,"Biological Processes",0.0170212765957447
"34","LOC111128063","GO:0030036","actin cytoskeleton organization",204,6,0.87,0.0166,"Biological Processes",0.0294117647058824
"35","LOC111128063","GO:0055001","muscle cell development",10,2,0.04,0.0084,"Biological Processes",0.2
"36","LOC111129841","GO:0034605","cellular response to heat",5,1,0.02,0.0211,"Biological Processes",0.2
"37","LOC111129841","GO:0050821","protein stabilization",11,1,0.05,0.0459,"Biological Processes",0.0909090909090909
"38","LOC111130257","GO:0006936","muscle contraction",8,3,0.03,0.0123,"Biological Processes",0.375
"39","LOC111130492","GO:0006357","regulation of transcription by RNA polymerase II",865,11,3.68,0.0199,"Biological Processes",0.0127167630057803
"40","LOC111130492","GO:0009653","anatomical structure morphogenesis",239,3,1.02,0.0422,"Biological Processes",0.0125523012552301
"41","LOC111130492","GO:0030154","cell differentiation",470,8,2,0.0125,"Biological Processes",0.0170212765957447
"42","LOC111131178","GO:0019228","neuronal action potential",7,1,0.03,0.0294,"Biological Processes",0.142857142857143
"43","LOC111131178","GO:0086010","membrane depolarization during action potential",4,1,0.02,0.0169,"Biological Processes",0.25
"44","LOC111131563","GO:0006936","muscle contraction",8,3,0.03,0.0123,"Biological Processes",0.375
"45","LOC111131563","GO:0006937","regulation of muscle contraction",4,2,0.02,0.0125,"Biological Processes",0.5
"46","LOC111131563","GO:0045214","sarcomere organization",4,1,0.02,0.0169,"Biological Processes",0.25
"47","LOC111132215","GO:0016320","endoplasmic reticulum membrane fusion",1,1,0,0.0043,"Biological Processes",1
"48","LOC111132215","GO:0035871","protein K11-linked deubiquitination",2,1,0.01,0.0085,"Biological Processes",0.5
"49","LOC111132215","GO:0071108","protein K48-linked deubiquitination",8,1,0.03,0.0336,"Biological Processes",0.125
"50","LOC111132215","GO:0090168","Golgi reassembly",1,1,0,0.0043,"Biological Processes",1
"51","LOC111133043","GO:0050806","positive regulation of synaptic transmission",11,1,0.05,0.0459,"Biological Processes",0.0909090909090909
"52","LOC111133043","GO:0051965","positive regulation of synapse assembly",2,1,0.01,0.0085,"Biological Processes",0.5
"53","LOC111133384","GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway",1,1,0,0.0043,"Biological Processes",1
"54","LOC111133384","GO:0007606","sensory perception of chemical stimulus",3,1,0.01,0.0127,"Biological Processes",0.333333333333333
"55","LOC111135522","GO:0030177","positive regulation of Wnt signaling pathway",8,1,0.03,0.0336,"Biological Processes",0.125
"56","LOC111136084","GO:0000122","negative regulation of transcription by RNA polymerase II",77,2,0.33,0.0426,"Biological Processes",0.025974025974026
"57","LOC111136576","GO:0009653","anatomical structure morphogenesis",239,3,1.02,0.0422,"Biological Processes",0.0125523012552301
"58","LOC111136576","GO:0030154","cell differentiation",470,8,2,0.0125,"Biological Processes",0.0170212765957447
"59","LOC111136762","GO:0090307","mitotic spindle assembly",11,1,0.05,0.0459,"Biological Processes",0.0909090909090909
"60","LOC111138187","GO:0015986","proton motive force-driven ATP synthesis",11,1,0.05,0.0459,"Biological Processes",0.0909090909090909
"61","LOC111099693","GO:0044666","MLL3/4 complex",4,1,0.02,0.01697,"Cellular Components",0.25
"62","LOC111104368","GO:0016514","SWI/SNF complex",8,1,0.03,0.03365,"Cellular Components",0.125
"63","LOC111104368","GO:0035060","brahma complex",2,1,0.01,0.00852,"Cellular Components",0.5
"64","LOC111104368","GO:0071565","nBAF complex",4,1,0.02,0.01697,"Cellular Components",0.25
