"gene_id"	"GO_Annotation"
"LOC111100040"	"GO:0005886; GO:0006810; GO:0010960; GO:0022857"
"LOC111100230"	"GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0006357; GO:0030154"
"LOC111100583"	"GO:0005507"
"LOC111103593"	"GO:0005886; GO:0017147; GO:0035567; GO:0042813; GO:0042813; GO:0060070"
"LOC111104407"	"GO:0005737; GO:0006826; GO:0006879; GO:0006880; GO:0008198; GO:0008199; GO:0008199"
"LOC111105526"	"GO:0003729; GO:0005634; GO:1990904"
"LOC111105807"	"GO:0000978; GO:0000981; GO:0005515; GO:0005634; GO:0006357"
"LOC111106049"	"GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0007264; GO:0016477"
"LOC111106200"	"GO:0000226; GO:0005737"
"LOC111106649"	"GO:0005634; GO:0005737; GO:0008285; GO:0045930"
"LOC111106754"	"GO:0004674; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0006468; GO:0035556; GO:0043408; GO:0050770"
"LOC111110238"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111112758"	"GO:0016491"
"LOC111114173"	"GO:0004441"
"LOC111117050"	"GO:0004674; GO:0004674; GO:0005524; GO:0005634; GO:0018105; GO:0035556"
"LOC111118092"	"GO:0000978; GO:0000981; GO:0002376; GO:0005634; GO:0006357"
"LOC111118384"	"GO:0004791"
"LOC111118493"	"GO:0000978; GO:0000981; GO:0006357; GO:0048856"
"LOC111118849"	"GO:0000184; GO:0004674; GO:0005515; GO:0005634; GO:0016310"
"LOC111119359"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412"
"LOC111119658"	"GO:0005515"
"LOC111119923"	"GO:0005319; GO:0005319; GO:0006869"
"LOC111120889"	"GO:0000978; GO:0000981; GO:0006355; GO:0009653; GO:0030154"
"LOC111120961"	"GO:0016020"
"LOC111122308"	"GO:0003723; GO:0008270"
"LOC111123003"	"GO:0003713; GO:0005912; GO:0007155; GO:0007155; GO:0016342; GO:0019903; GO:0045294; GO:0045296; GO:0045296; GO:0045944"
"LOC111123994"	"GO:0003730; GO:0005634; GO:0005737; GO:0010608"
"LOC111124264"	"GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005200; GO:0005525; GO:0005525; GO:0005737; GO:0005874; GO:0005874"
"LOC111124319"	"GO:0005518; GO:0005524; GO:0006468; GO:0007169; GO:0007275; GO:0033674; GO:0038062; GO:0043235"
"LOC111124992"	"GO:0005198; GO:0005509; GO:0005737; GO:0005882; GO:0008017; GO:0016020; GO:0042060; GO:0045104"
"LOC111125017"	"GO:0000978; GO:0000981; GO:0006357; GO:0007179; GO:0007179; GO:0009653; GO:0030154; GO:0030509; GO:0060395; GO:0070411; GO:0071144"
"LOC111125105"	"GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0031267"
"LOC111125427"	"GO:0003924; GO:0005525; GO:0005794; GO:0005802; GO:0006895; GO:0032456; GO:0042742; GO:0045335; GO:0055037; GO:0090382"
"LOC111126579"	"GO:0000785; GO:0003682; GO:0005634; GO:0005634; GO:0006334; GO:0006334; GO:0042393"
"LOC111126767"	"GO:0016020; GO:0016020; GO:0035725"
"LOC111127607"	"GO:0016020; GO:0016020"
"LOC111128115"	"GO:0005634; GO:0005737; GO:0016567; GO:0019941; GO:0031386; GO:0031625"
"LOC111128694"	"GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0022625"
"LOC111128758"	"GO:0000976; GO:0005634; GO:0006357"
"LOC111129065"	"GO:0000243; GO:0000395; GO:0005515; GO:0005685; GO:0006396; GO:0071004"
"LOC111129219"	"GO:0000184; GO:0000184; GO:0003677; GO:0003723; GO:0003724; GO:0003724; GO:0005524; GO:0005737; GO:0005737; GO:0008270; GO:0016787"
"LOC111129284"	"GO:0016020"
"LOC111129521"	"GO:0003729; GO:0046872"
"LOC111129868"	"GO:0000226; GO:0005930; GO:0036064"
"LOC111130094"	"GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0006412; GO:0022625"
"LOC111130534"	"GO:0005200; GO:0005543; GO:0005886; GO:0008091; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0051015"
"LOC111130707"	"GO:0005741; GO:0008630; GO:0042803; GO:0042981; GO:0042981; GO:0046982; GO:0097192"
"LOC111130848"	"GO:0005509; GO:0005515; GO:0016460"
"LOC111131007"	"GO:0003729; GO:0005737; GO:0061157; GO:1990247"
"LOC111132903"	"GO:0000027; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0019843; GO:0022625"
"LOC111133044"	"GO:0001540; GO:0005509; GO:0005509; GO:0007156; GO:0009986; GO:0019894; GO:0042988; GO:0045211; GO:0050806; GO:0051965"
"LOC111134630"	"GO:0003723; GO:0003723; GO:0005654; GO:0010468"
"LOC111135192"	"GO:0004013; GO:0005829; GO:0033353"
"LOC111135679"	"GO:0008270"
"LOC111135981"	"GO:0004725; GO:0005515; GO:0006470"
"LOC111136225"	"GO:0016491"
"LOC111136596"	"GO:0005815; GO:0005874; GO:0035556"
"LOC111136714"	"GO:0000977; GO:0000981; GO:0005634; GO:0006990"
"LOC111137155"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0007417"
"LOC111137365"	"GO:0005515"
"LOC111138137"	"GO:0005515; GO:0019005; GO:0035556; GO:0043161"
"LOC111138151"	"GO:0016020"
