"gene_id"	"GO_Annotation"
"LOC111099143"	"GO:0006006; GO:0016620; GO:0016620; GO:0050661; GO:0051287"
"LOC111099184"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0046983; GO:0050767"
"LOC111099982"	"GO:0005634; GO:0005737; GO:0031146; GO:0097602"
"LOC111100516"	"GO:0004111; GO:0046314"
"LOC111100598"	"GO:0005524; GO:0005832; GO:0006457; GO:0006457; GO:0016887; GO:0051082; GO:0051082; GO:0140662; GO:0140662"
"LOC111100692"	"GO:0033178; GO:0033178; GO:0046961; GO:0046961; GO:1902600; GO:1902600"
"LOC111101152"	"GO:0004775; GO:0004776; GO:0005739; GO:0006099; GO:0009361"
"LOC111101773"	"GO:0005515"
"LOC111102237"	"GO:0003729; GO:0005634; GO:0005737; GO:0010468; GO:0051252"
"LOC111103150"	"GO:0002181; GO:0003729; GO:0003735; GO:0022625"
"LOC111103250"	"GO:0000287; GO:0004450; GO:0004450; GO:0005739; GO:0006102; GO:0006102; GO:0051287"
"LOC111104164"	"GO:0005737"
"LOC111105692"	"GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0070125"
"LOC111106383"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625"
"LOC111107343"	"GO:0003723; GO:0003735; GO:0022627"
"LOC111107463"	"GO:0005515"
"LOC111108187"	"GO:0000122; GO:0003682; GO:0005634; GO:0005721; GO:0006325; GO:0035064"
"LOC111108193"	"GO:0015986; GO:0015986; GO:0045261; GO:0045261; GO:0046933; GO:0046933"
"LOC111109677"	"GO:0006357; GO:0008301"
"LOC111111615"	"GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893"
"LOC111111843"	"GO:0005739; GO:0009235; GO:0009235"
"LOC111112645"	"GO:0005758; GO:0006122; GO:0006123; GO:0009055; GO:0009055; GO:0020037; GO:0020037; GO:0043280"
"LOC111113850"	"GO:0004222; GO:0006508"
"LOC111114597"	"GO:0005524; GO:0005753; GO:0016887; GO:0042776; GO:0045261; GO:0046933; GO:1902600"
"LOC111115355"	"GO:0005509"
"LOC111117964"	"GO:0003723; GO:0005634; GO:0005737"
"LOC111117989"	"GO:0003723; GO:1990904"
"LOC111118072"	"GO:0005096; GO:0005515; GO:0007165; GO:0043087"
"LOC111118302"	"GO:0005515"
"LOC111118348"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111118769"	"GO:0000786; GO:0003677; GO:0006334; GO:0030527; GO:0046982"
"LOC111118797"	"GO:0005634; GO:0015630; GO:0060271; GO:0060294; GO:0060294"
"LOC111119190"	"GO:0004586; GO:0005737; GO:0033387"
"LOC111119250"	"GO:0005737; GO:0007019; GO:0015631; GO:0031110; GO:0031110; GO:0031175; GO:0043005"
"LOC111119328"	"GO:0008270"
"LOC111119449"	"GO:0000786; GO:0000786; GO:0003677; GO:0003677; GO:0030527; GO:0030527; GO:0046982"
"LOC111119841"	"GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0008061"
"LOC111119982"	"GO:0001932; GO:0005952; GO:0008603"
"LOC111120048"	"GO:0003684; GO:0005654; GO:0005829; GO:0006289; GO:0031593; GO:0043130; GO:0043161; GO:0043161; GO:0070628"
"LOC111120585"	"GO:0005524; GO:0007018; GO:0007018; GO:0008569; GO:0008569; GO:0016887; GO:0030286; GO:0030286; GO:0045505; GO:0051959"
"LOC111120591"	"GO:0003756; GO:0003756; GO:0005783; GO:0006457; GO:0034976"
"LOC111120648"	"GO:0000381; GO:0003729; GO:0005634"
"LOC111120675"	"GO:0005737; GO:0007163; GO:0015629; GO:0016477; GO:0030674; GO:0051015; GO:0051015; GO:0051017"
"LOC111120907"	"GO:0003774; GO:0005524; GO:0016459; GO:0051015"
"LOC111121573"	"GO:0005634; GO:0015630; GO:0060271; GO:0060294; GO:0060294"
"LOC111121806"	"GO:0000786; GO:0003677; GO:0006334; GO:0030527; GO:0046982"
"LOC111122423"	"GO:0004725; GO:0005634; GO:0007275; GO:0030154; GO:0045739; GO:2001240"
"LOC111122517"	"GO:0005509"
"LOC111122663"	"GO:0005515"
"LOC111123124"	"GO:0000276; GO:0015078; GO:0015986"
"LOC111123818"	"GO:0003723; GO:0005515"
"LOC111124265"	"GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005200; GO:0005525; GO:0005525; GO:0005737; GO:0005874; GO:0005874"
"LOC111124552"	"GO:0005634"
"LOC111124697"	"GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0006357; GO:0007517; GO:0048468"
"LOC111124702"	"GO:0005201"
"LOC111124707"	"GO:0000786; GO:0000786; GO:0003677; GO:0003677; GO:0030527; GO:0030527; GO:0046982"
"LOC111124873"	"GO:0003755; GO:0005509"
"LOC111124903"	"GO:0005524; GO:0005524; GO:0005634; GO:0005737; GO:0005788; GO:0016020; GO:0016887; GO:0030433; GO:0030968; GO:0031072; GO:0034620; GO:0034663; GO:0042026; GO:0051082; GO:0051085; GO:0051787; GO:0140662; GO:0140662"
"LOC111124927"	"GO:0005391; GO:0005524; GO:0006883; GO:0016020; GO:0016887; GO:0030007; GO:0036376; GO:1902600; GO:1990573"
"LOC111124961"	"GO:0005515"
"LOC111125573"	"GO:0005634; GO:0016925; GO:0031386; GO:0044389"
"LOC111126163"	"GO:0000786; GO:0000786; GO:0003677; GO:0003677; GO:0030527; GO:0030527; GO:0046982"
"LOC111126614"	"GO:0000027; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0008097; GO:0008097; GO:0022625"
"LOC111127104"	"GO:0004157; GO:0005737; GO:0005829; GO:0006208"
"LOC111127354"	"GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0019843; GO:0019843; GO:0022625"
"LOC111127708"	"GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632"
"LOC111127798"	"GO:0000993; GO:0003682; GO:0006368; GO:0006368; GO:0016570; GO:0016570; GO:0016593; GO:0016593"
"LOC111128509"	"GO:0001518; GO:0001518; GO:0005248; GO:0005248; GO:0005886; GO:0019228; GO:0035725; GO:0086010"
