"gene_id"	"GO_Annotation"
"LOC111103434"	"GO:0003676"
"LOC111103611"	"GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0016538; GO:0044772; GO:1900087"
"LOC111103885"	"GO:0005254; GO:0005737; GO:0006821; GO:0016324"
"LOC111106022"	"GO:0002116; GO:0007162; GO:0008360; GO:0017154; GO:0017154; GO:0030334; GO:0043087; GO:0050772; GO:1902287"
"LOC111106468"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111108086"	"GO:0005388; GO:0005388; GO:0005524; GO:0016020; GO:0016887; GO:0043231; GO:0051480; GO:0070588"
"LOC111108442"	"GO:0005048; GO:0005784; GO:0006616; GO:0008320; GO:0016020; GO:0016020; GO:0031204; GO:0043022"
"LOC111111438"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625"
"LOC111112993"	"GO:0000226; GO:0000278; GO:0005200; GO:0005200; GO:0005525; GO:0005525; GO:0005737; GO:0005874; GO:0005874"
"LOC111114778"	"GO:0000028; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111117607"	"GO:0003723; GO:0005634; GO:0006357; GO:0043565; GO:0050684"
"LOC111118126"	"GO:0003735; GO:0003735; GO:0006412; GO:0019843; GO:0019843; GO:0022627; GO:0045903"
"LOC111118248"	"GO:0003735; GO:0003735; GO:0005840; GO:0006412; GO:0022627"
"LOC111118510"	"GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627"
"LOC111118959"	"GO:0000978; GO:0000981; GO:0005634; GO:0005634; GO:0006357"
"LOC111119071"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625; GO:0070180"
"LOC111119118"	"GO:0000274; GO:0000276; GO:0000276; GO:0015078; GO:0015078; GO:0015986; GO:0015986"
"LOC111119195"	"GO:0003723; GO:0003723; GO:0005654; GO:0010468"
"LOC111119651"	"GO:0000977; GO:0001228; GO:0005634; GO:0006357"
