"gene_id"	"GO_Annotation"
"LOC111100101"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357"
"LOC111108855"	"GO:0007098; GO:0051011; GO:0051011; GO:0051225; GO:0070652"
"LOC111114718"	"GO:0002181; GO:0003735; GO:0003735; GO:0005840; GO:0006414; GO:0022625; GO:0030295; GO:0043021"
"LOC111119804"	"GO:0005737; GO:0005739; GO:0009058; GO:0016212; GO:0030170"
"LOC111121876"	"GO:0005764; GO:0006665"
"LOC111123030"	"GO:0004888; GO:0004888; GO:0005230; GO:0007165; GO:0007268; GO:0016020; GO:0016020; GO:0030594; GO:0034220; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877"
"LOC111124710"	"GO:0000786; GO:0003677; GO:0006334; GO:0030527; GO:0046982"
"LOC111125539"	"GO:0005005; GO:0005515; GO:0007411; GO:0043005"
"LOC111125836"	"GO:0016471; GO:0016471; GO:0046961; GO:0046961; GO:1902600; GO:1902600"
"LOC111132189"	"GO:0005515"
"LOC111135086"	"GO:0004674; GO:0005524; GO:0006468"
"LOC111138040"	"GO:0005737; GO:0006826; GO:0006879; GO:0006880; GO:0008198; GO:0008199; GO:0008199"
"LOC111138280"	"GO:0004601; GO:0004601; GO:0005829; GO:0020037; GO:0020037"
"LOC111138500"	"GO:0005509"
