"gene_id"	"GO_Annotation"
"LOC111099693"	"GO:0003713; GO:0042393; GO:0042800; GO:0044666; GO:0045944"
"LOC111100034"	"GO:0004713; GO:0005524; GO:0005634; GO:0006468; GO:0006468; GO:0043484"
"LOC111101025"	"GO:0003723; GO:0003724; GO:0003724; GO:0005524"
"LOC111101507"	"GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625"
"LOC111103314"	"GO:0000082; GO:0004674; GO:0004674; GO:0005524; GO:0018105; GO:0035329; GO:0043065; GO:0046620"
"LOC111103558"	"GO:0005515; GO:0005886; GO:0008270; GO:0099536"
"LOC111103866"	"GO:0005524; GO:0008017; GO:0008568; GO:0015630; GO:0015630; GO:0016887; GO:0016887; GO:0051013; GO:0051013"
"LOC111104368"	"GO:0003677; GO:0005654; GO:0006338; GO:0006357; GO:0016514; GO:0031491; GO:0035060; GO:0045893; GO:0071565"
"LOC111104442"	"GO:0000978; GO:0000981; GO:0000981; GO:0006357"
"LOC111104669"	"GO:0005524; GO:0005832; GO:0006457; GO:0006457; GO:0016887; GO:0051082; GO:0051082; GO:0140662; GO:0140662"
"LOC111106506"	"GO:0005515"
"LOC111107306"	"GO:0000122; GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0008270; GO:0045165; GO:0045944"
"LOC111107482"	"GO:0003676; GO:0008270"
"LOC111108074"	"GO:0007015; GO:0008064; GO:0031209; GO:0044877; GO:0048870"
"LOC111112160"	"GO:0003677; GO:0008126; GO:0008270; GO:0036126; GO:0043401; GO:0046464; GO:0047372; GO:0048240; GO:0051792; GO:0051793; GO:0097524"
"LOC111112299"	"GO:0003690; GO:0003712; GO:0005634; GO:0006357"
"LOC111113296"	"GO:0005515; GO:0005886; GO:0008191; GO:0030198; GO:1904684"
"LOC111114019"	"GO:0005515; GO:0005615; GO:0031012"
"LOC111114937"	"GO:0000054; GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0005634; GO:0005737; GO:0006606"
"LOC111115506"	"GO:0003677; GO:0006310; GO:0015074"
"LOC111116264"	"GO:0005634; GO:0005737; GO:0008073; GO:0008073; GO:0045732"
"LOC111116616"	"GO:0005515"
"LOC111118678"	"GO:0005198; GO:0005509; GO:0005737; GO:0005856; GO:0005882; GO:0008017; GO:0016020; GO:0042060; GO:0045104"
"LOC111118832"	"GO:0000978; GO:0000981; GO:0005634; GO:0006357"
"LOC111118916"	"GO:0003774; GO:0005524; GO:0016459; GO:0051015"
"LOC111119123"	"GO:0000786; GO:0000786; GO:0003677; GO:0003677; GO:0030527; GO:0030527; GO:0046982"
"LOC111119371"	"GO:0030036; GO:0051015"
"LOC111119586"	"GO:0003779; GO:0005198; GO:0005856; GO:0005886"
"LOC111119592"	"GO:0003723; GO:0003723; GO:1990904"
"LOC111119647"	"GO:0004725; GO:0005515; GO:0006470"
"LOC111119941"	"GO:0005509; GO:0005615; GO:0035592"
"LOC111120138"	"GO:0000978; GO:0000981; GO:0005667; GO:0006357; GO:0008134; GO:0042127; GO:0051726"
"LOC111120641"	"GO:0003729; GO:0003729; GO:0005685; GO:0005685; GO:0006376; GO:0006376; GO:0071004"
"LOC111121024"	"GO:0004478; GO:0004478; GO:0005524; GO:0005524; GO:0005829; GO:0006556; GO:0006556"
"LOC111121141"	"GO:0001725; GO:0003779; GO:0005634; GO:0005912; GO:0015629; GO:0030018; GO:0030036; GO:0031941; GO:0032233; GO:0051371; GO:0061061"
"LOC111121527"	"GO:0000289; GO:0004535; GO:0005634; GO:0005737; GO:0030014"
"LOC111122172"	"GO:0005515; GO:0042981"
"LOC111122316"	"GO:0005515; GO:0007165; GO:0030315; GO:0036371; GO:0055117"
"LOC111122911"	"GO:0005515; GO:0016324; GO:0043495; GO:0072659"
"LOC111123211"	"GO:0000123; GO:0000123; GO:0003713; GO:0003713; GO:0004402; GO:0004402; GO:0005515; GO:0005634; GO:0005667; GO:0008270; GO:0016573; GO:0016573; GO:0031490; GO:0045944"
"LOC111123831"	"GO:0004672; GO:0005515; GO:0005524; GO:0006468"
"LOC111124016"	"GO:0016459"
"LOC111124621"	"GO:0003774; GO:0005524; GO:0016459; GO:0051015"
"LOC111124673"	"GO:0003743; GO:0003924; GO:0005525"
"LOC111124875"	"GO:0005886; GO:0017147; GO:0035567; GO:0042813; GO:0060070"
"LOC111124989"	"GO:0015193; GO:0016020; GO:0016020; GO:0035725"
"LOC111125288"	"GO:0005509"
"LOC111125384"	"GO:0030154"
"LOC111125386"	"GO:0005789; GO:0005789; GO:0030433; GO:0030968; GO:0030970; GO:0036502; GO:0036513"
"LOC111125747"	"GO:0042407; GO:0061617"
"LOC111125850"	"GO:0005524; GO:0016887; GO:0035499; GO:0046872; GO:0047730"
"LOC111126277"	"GO:0005829; GO:0008104; GO:0016020; GO:0019901"
"LOC111126911"	"GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565"
"LOC111128063"	"GO:0005509; GO:0005886; GO:0030018; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0051015; GO:0055001"
"LOC111128364"	"GO:0003777; GO:0003777; GO:0005524; GO:0007018; GO:0007018; GO:0008017"
"LOC111128416"	"GO:0003700; GO:0006355; GO:0008270; GO:0043565"
"LOC111129071"	"GO:0016020; GO:0016020"
"LOC111129147"	"GO:0000287; GO:0004722; GO:0005634; GO:0005829; GO:0006470; GO:0030145"
"LOC111129603"	"GO:0003950; GO:0005515"
"LOC111129841"	"GO:0005524; GO:0005524; GO:0005829; GO:0005886; GO:0006457; GO:0006457; GO:0016887; GO:0016887; GO:0032991; GO:0034605; GO:0048471; GO:0050821; GO:0051082; GO:0051082; GO:0097718; GO:0140662; GO:0140662"
"LOC111129958"	"GO:0003924; GO:0005525"
"LOC111130257"	"GO:0005884; GO:0006936; GO:0007015; GO:0051015"
"LOC111130492"	"GO:0000978; GO:0000981; GO:0006357; GO:0008134; GO:0009653; GO:0019904; GO:0030154"
"LOC111130626"	"GO:0005178; GO:0007160; GO:0007229; GO:0030055"
"LOC111131178"	"GO:0001518; GO:0001518; GO:0005248; GO:0005248; GO:0005886; GO:0019228; GO:0035725; GO:0086010"
"LOC111131330"	"GO:0046983"
"LOC111131563"	"GO:0005523; GO:0005861; GO:0005861; GO:0006936; GO:0006937; GO:0045214"
"LOC111131747"	"GO:0042981"
"LOC111132215"	"GO:0004843; GO:0016320; GO:0016567; GO:0035871; GO:0071108; GO:0090168"
"LOC111133043"	"GO:0001540; GO:0005509; GO:0005509; GO:0007156; GO:0009986; GO:0019894; GO:0042988; GO:0045211; GO:0050806; GO:0051965"
"LOC111133384"	"GO:0001664; GO:0003924; GO:0003924; GO:0005525; GO:0005834; GO:0007191; GO:0007606; GO:0031683; GO:0031683"
"LOC111134153"	"GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0005886; GO:0007264; GO:0019003"
"LOC111135475"	"GO:0005737; GO:0007165"
"LOC111135522"	"GO:0009897; GO:0016020; GO:0016020; GO:0030177; GO:0038023; GO:0038023"
"LOC111135857"	"GO:0046983"
"LOC111136084"	"GO:0000122; GO:0000785; GO:0003677; GO:0003677; GO:0003682; GO:0005524; GO:0005634; GO:0006338; GO:0006338; GO:0016887; GO:0042393; GO:0140658; GO:0140658"
"LOC111136245"	"GO:0005509; GO:0005859"
"LOC111136389"	"GO:0004867; GO:0004867; GO:0005615"
"LOC111136576"	"GO:0000978; GO:0000981; GO:0006355; GO:0006355; GO:0009653; GO:0030154"
"LOC111136586"	"GO:0005737; GO:0007165"
"LOC111136667"	"GO:0003723; GO:0003723; GO:0005654; GO:0010468"
"LOC111136762"	"GO:0005815; GO:0005876; GO:0005881; GO:0008017; GO:0072686; GO:0090307"
"LOC111138187"	"GO:0000276; GO:0015078; GO:0015078; GO:0015986; GO:0015986; GO:1902600"
